Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,2024,2025,2026,2027.0,2028.0,2029.0,2030.0,2031.0,2032,2033.0,2034.0,2035.0,2036.0,2037.0
,ITCI,,,,22.53,81.708,249.132,462.175,,,,,,,
,,,,,,,,,,,,,,,
,Revenue,Phase III,Phase III,Filing,22.53,81.708,249.132,462.175,693.2625,,,,,,
,COGS,,,,2.253,8.1708,24.913200000000003,46.2175,69.32625,,,,,,
,Gross Profit,,,,20.277,73.5372,224.2188,415.9575,623.9362500000001,,,,,,
,SG&A,,,,89.6955,89.6955,89.6955,102.466,100.0,,,,,,
,Operating Income,,-50,-50,-69.4185,-16.158299999999997,134.5233,313.4915,523.9362500000001,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,Discount,0.15,,,,
,,,,,,,,,,NPV,263.21212929891516,,,,
,,,,,,,,,,SO,70.0,,,,
,,,,,,,,,,Share,3.760173275698788,,,,
