Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425
,Cash,,,,,,,,27697,,,,,,,,,,23759,,
,Deposits,,,,,,,,539537,,,,,,,,,,396568,,
,Federal Funds Sold & Securities Purchased under Resale Agreements,,,,,,,,315592,,,,,,,,,,470589,,
,Securities Borrowed,,,,,,,,185369,,,,,,,,,,223976,,
,Trading Assets,,,,,,,,453799,,,,,,,,,,889856,,
,Securities,,,,,,,,631162,,,,,,,,,,745939,,
,Loans,,,,,,,,1115921,,,,,,,,,,1387039,,
,Accrued Interest,,,,,,,,125189,,,,,,,,,,124463,,
,PP&E,,,,,,,,27734,,,,,,,,,,33562,,
,Goodwill,,,,,,,,60859,,,,,,,,,,64465,,
,Other,,,,,,,,182884,,,,,,,,,,192266,,
,Assets,,,,,,,,3665743,,,,,,,,,,4552482,,
,,,,,,,,,,,,,,,,,,,,,
,Deposits,,,,,,,,2340179,,,,,,,,,,2562380,,
,Federal Funds Purchased,,,,,,,,202613,,,,,,,,,,595340,,
,Debt,,,,,,,,339892,,,,,,,,,,485095,,
,Trading Liabilities,,,,,,,,177976,,,,,,,,,,221402,,
,AP,,,,,,,,300141,,,,,,,,,,303641,,
,VIEs,,,,,,,,12610,,,,,,,,,,27700,,
,Liabilities,,,,,,,,3373411,,,,,,,,,,4195558,,
,,,,,,,,,,,,,,,,,,,,,
,BOOK VALUE,,,,,,,,292332,,,,,,,,,,356924,,
,TANGIBLE BOOK VALUE,,,,,,,,231473,,,,,,,,,,292459,,
