Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43
,,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,,,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0
,WeChat MAU,,,1251.4,,1241.6,1251.4,1262.6,1268.2,1288.3,1299.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,QQ MAU,,,617.4,,606.4,590.9,573.7,552.1,563.8,568.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fee-based Subs,,,213.4,,225.7,229.4,235.4,236.3,239.1,234.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VAS,62429,65002,69802,66979,72443,72013,75203,71913,72738,71683,74450.97,74070.39,,,,,,,,,,,,,,,264212.0,291572.0,292942.36,,,,,,,,,,,,,
,  Mobile Games,,,,,,,,,40300,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  PC Games,,,,,,,,,12100,11600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  Other VAS (Social),,,,,,,,,20338,20083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  Domestic Games,,,,,,,,,33000,31800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  International Games,,,,,,,,,10600,10700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  Social Networks,,,,,,,,,29100,29200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ads,17713,18552,21351,24655,21820,22833,22495,21518,17988,18638,22270.05,21302.82,,,,,,,,,,,,,,,82271.0,88666.0,80198.87,,,,,,,,,,,,,
,Fintech,26475,29862,33255,38494,39028,41892,43317,47958,42768,42208,43750.17,48437.58,,,,,,,,,,,,,,,128086.0,172195.0,177163.75,,,,,,,,,,,,,
,Others,1448,1467,1039,3541,2012,1521,1353,2799,1977,1505,1366.53,2826.9900000000002,,,,,,,,,,,,,,,7495.0,7685.0,7675.52,,,,,,,,,,,,,
,Revenue,108065,114883,125447,133669,135303,138259,142368,144188,135471,134034,141837.72,146637.78,,,,,,,,,,,,,,,482064.0,560118.0,557980.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,
,COGS,55271,61673,68800,74788,72668,75514,79621,86371,78397,76167,79429.1232,82117.1568,,,,,,,,,,,,,,,260532.0,314174.0,316110.28,,,,,,,,,,,,,
,Gross Profit,52794,53210,56647,58881,62635,62745,62747,57817,57074,57867,62408.5968,64520.6232,,,,,,,,,,,,,,,221532.0,245944.0,241870.21999999997,,,,,,,,,,,,,
