Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,,2021.0,2022.0,2023.0,2024.0,2025.0
,Customers,,,,,,,,,,,,,,,,,,,3062.0,3243.0,,
,Enterprise Customers,,,,,,,,,,,,,,,,,,,533.0,578.0,,
,Enterprise ASP,,,,,,,,,,,,,,,,,,,822.0,880.0,,
,ARR,,,,,,,,,,,,,,,,,,,0.989,0.992,,
,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,,,,,117.564,122.831,127.816,137.77700000000002,133.52,132.371,137.206,140.579,138,142.96068000000002,148.18248,151.82532,,354.33,432.725,505.988,543.6759999999999,580.96848
,COGS,,,,,57.31,58.617,61.73,62.003000000000014,60.286,59.47,62.466,64.66634,,,,,,167.002,222.944,239.66,246.88834000000003,261.435816
,Gross Profit,,,,,60.25399999999999,64.214,66.08600000000001,75.774,73.23400000000001,72.90100000000001,74.73999999999998,75.91266,,,,,,187.32799999999997,209.78100000000003,266.328,296.7876599999999,319.532664
,R&D,,,,,37.431,37.421,39.068,38.269999999999996,38.248,35.106,31.884,39.418099999999995,,,,,,126.859,155.308,152.19,144.65609999999998,148.995783
,S&M,,,,,44.271,47.797,51.043,48.66199999999999,49.607,52.959,45.994,50.12185999999999,,,,,,152.645,179.869,191.773,198.68186,204.6423158
,G&A,,,,,25.827,28.823,30.001,31.42599999999999,31.639,28.433,27.173,32.368779999999994,,,,,,126.845,120.803,116.077,119.61377999999999,123.2021934
,Operating Expenses,,,,,107.529,114.041,120.112,118.35799999999998,119.49399999999999,116.49799999999999,105.051,121.90873999999997,,,,,,406.34900000000005,455.98,460.03999999999996,462.95174,476.84029219999996
,Operating Income,,,,,-47.275000000000006,-49.827,-54.02599999999998,-42.583999999999975,-46.25999999999998,-43.59699999999998,-30.31100000000002,-45.996079999999964,,,,,,-219.02100000000007,-246.19899999999998,-193.712,-166.16408000000007,-157.30762819999995
,Interest Income,,,,,2.723,2.473,4.03,3.077,3.18,3.666,3.029,3.16931,,,,,,-3.963,1.157,12.302999999999999,13.04431,13.04431
,Pretax Income,,,,,-44.55200000000001,-47.354,-49.99599999999998,-39.50699999999998,-43.07999999999998,-39.93099999999998,-27.28200000000002,-42.82676999999996,,,,,,-222.98400000000007,-245.04199999999997,-181.409,-153.11977000000007,-144.26331819999996
,Taxes,,,,,0.135,0.11,0,-0.466,0.347,0.661,0,0,,,,,,0.069,0.094,-0.221,1.008,1.008
,Net Income,,,,,-44.687000000000005,-47.464,-49.99599999999998,-39.040999999999976,-43.42699999999998,-40.591999999999985,-27.28200000000002,-42.82676999999996,,,,,,-223.05300000000005,-245.13599999999997,-181.188,-154.12777000000008,-145.27131819999997
,EPS,,,,,-0.35630451769283517,-0.3712098105003011,-0.3849606923686985,-0.30318397142191483,-0.3226686084094302,-0.29533482727510835,-0.19593929774413427,-0.30758182092403574,,,,,,-1.9219925378921705,-2.013883982484822,-1.40706686339986,-1.1199009636606396,-1.055549491466926
,Shares,,,,,125.418,127.863,129.873,128.77,134.587,137.444,139.237,139.237,,,,,,116.053,121.723,128.77,137.62624999999997,137.62624999999997
,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,,,0.13572181960464103,0.07766768975258698,0.07346498091005804,0.020337211581032966,0.03355302576393049,,,,,,0.2212485536082185,0.1693061413137673,0.07448397985722965,0.06859320624783893
,Gross Margin,,,,,0.5125208397128372,0.5227833364541524,0.5170401201727484,0.5499756853466108,0.5484871180347514,0.5507324111776749,0.5447283646487762,,,,,,,0.528682301809048,0.4847905713790514,0.5263524036143149,0.5458906775358853,0.55
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,-8.861,24.990000000000002,-8.39,,11.132,-4.9479999999999995,5.002000000000001,,,,,,,,,,,
,CapEx,,,,,3.494,4.464,0.32499999999999885,,1.603,1.7620000000000002,1.9959999999999993,,,,,,,-38.482,-69.632,0.362,16.406,25.406
,FCF,,,,,-12.355,20.526000000000003,-8.715,,9.529,-6.71,3.006000000000001,,,,,,,34.816,19.975,10.976,10.33,10.33
,,,,,,,,,,,,,,,,,,,-73.298,-89.607,-10.614,6.075999999999999,15.075999999999999
