Main,Unnamed: 1,Unnamed: 2,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00
,AP,,,,,,,,,,,,,,,,,,177.545,,,,
,Accrued,,,,,,,,,,,,,,,,,,577.359,,,,
,DR,,,,,,,,,,,,,,,,,,2114.736,,,,
,Lease,,,,,,,,,,,,,,,,,,263.427,,,,
,Debt,,,,,,,,,,,,,,,,,,985.911,,,,
,DTA,,,,,,,,,,,,,,,,,,20.387,,,,
,ONCL,,,,,,,,,,,,,,,,,,39.917,,,,
,SE,,,,,,,,,,,,,,,,,,1032.851,,,,
,L+SE,,,,,,,,,,,,,,,,,,5212.133,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Model NI,,,,,,,,,,,,,,,,,,-196.91899999999993,,,,
,Reported NI,,,,,,,,,,,,,,,,,,-196.919,,,,
,D&A,,,,,,,,,,,,,,,,,,23.178,,,,
,SBC,,,,,,,,,,,,,,,,,,273.488,,,,
,DT,,,,,,,,,,,,,,,,,,0.217,,,,
,Debt Discount,,,,,,,,,,,,,,,,,,0.566,,,,
,Interest Rate,,,,,,,,,,,,,,,,,,-4.166,,,,
,Strategic,,,,,,,,,,,,,,,,,,1.587,,,,
,FX,,,,,,,,,,,,,,,,,,2.159,,,,
,Other,,,,,,,,,,,,,,,,,,0.041,,,,
,WC,,,,,,,,,,,,,,,,,,326.068,,,,
,CFFO,,123.341,79.465,200.462,377.036,184.367,78.386,221.684,353.029,,92.442,150.525,352.369,272.775,166.956,289.594,565.39,426.219,,,,
,TTM CFFO,,,,,,,,,,,,,,868.111,942.625,1081.694,1294.7150000000001,1448.1589999999999,,,,
