Main,Unnamed: 1,Unnamed: 2,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00
,,FQ320,FQ420,FQ121,FQ221,FQ321,FQ421,FQ122,FQ222,FQ322,FQ422,FQ123,FQ223,FQ323,FQ423,FQ124,FQ224,FQ324,FQ424,FQ424,FQ424,FQ424,FQ424
,Customers,,,166180,174948,188033,204754,216500,226521,234575,242623,249173,253177,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Cloud,,,207.32,230.412,249.879,,317.903,364.099,399.453,,,512.335,,,604.647,653.21,,,792.306,846.962,,
,Data Center,,,66.349,76.06,94.739,,111.195,139.108,151.095,,,194.264,,,242.943,274.758,,,335.594,362.281,,
,Server,,,149.831,153.339,164.229,,139.547,135.519,132.333,,,106.168,,,78.752,69.173,,,,,,
,Marketplace,,,36.006,41.488,59.881,,45.379,49.8,57.61,,,59.937,,,51.433,62.969,,,59.881,77.22,,
,,,,,,,,,,,,,,,,,,,,,,,
,Subscription,,257.521,277.964,310.675,349.915,385.51,435.296,508.987,555.126,597.297,650.984,711.199,760.68,799.713,851.982,932.181,1071.355,1068.871,1131.948,1213.248,,
,Maintenance,,122.774,127.694,131.276,132.921,131.08,130.59,127.059,120.333,117.095,113.565,106.023,94.225,85.925,78.598,69.102,29.53,,,,,
,Other,,50.181,53.848,59.408,85.892,42.949000000000005,48.138,52.48,65.032,45.449,42.843,55.482,60.548,53.46,47.195,58.827,88.243,62.719,55.833,73.215,,
,Revenue,,430.476,459.50600000000003,501.35900000000004,568.7280000000001,559.539,614.024,688.5260000000001,740.491,759.841,807.3919999999999,872.704,915.453,939.098,977.775,1060.1100000000001,1189.128,1131.5900000000001,1187.7810000000002,1286.463,0,0
,COGS,,70.121,73.684,79.482,79.334,97.967,98.018,115.161,113.66499999999999,130.404,139.392,131.69499999999994,168.652,169.776,178.029,194.536,213.425,217.505,217.624,223.127,,
,Gross Margin,,360.355,385.822,421.87700000000007,489.39400000000006,461.572,516.006,573.365,626.826,629.437,668,741.009,746.8009999999999,769.3219999999999,799.746,865.5740000000001,975.703,914.0850000000002,970.1570000000002,1063.336,,
,R&D,,210.738,232.235,241.064,244.098,245.929,279.846,374.976,363.746,367.007,399.006,473.676,522.344,474.855,481.738,536.779,576.49,589.104,603.101,680.213,,
,M&S,,77.892,70.286,77.151,89.765,133.429,102.928,134.659,148.494,173.054,160.128,186.191,220.921,202.621,193.567,220.513,223.814,239.603,252.393,271.894,,
,G&A,,75.014,71.369,75.949,78.184,89.74,93.586,130.448,122.707,131.709,142.893,156.131,165.103,142.235,143.31,157.344,157.595,152.328,146.641,168.708,,
,OpEx,,363.644,373.89,394.164,412.047,469.098,476.36,640.083,634.947,671.77,702.027,815.9979999999999,908.3680000000002,819.711,818.615,914.636,957.899,981.0350000000001,1002.135,1120.815,,
,OpInc,,-3.2889999999999873,11.932000000000016,27.71300000000008,77.34700000000004,-7.5260000000000105,39.64599999999996,-66.71799999999996,-8.120999999999981,-42.33299999999997,-34.027000000000044,-74.98899999999992,-161.56700000000023,-50.389000000000124,-18.869000000000028,-49.0619999999999,17.803999999999974,-66.94999999999993,-31.977999999999838,-57.47900000000004,,
,Interest Income,,-9.094,-9.985,2.112,-9.126999999999999,-7.091,-6.8309999999999995,-6.001,-5.416,-4.047000000000001,28.311,-5.2940000000000005,6.126000000000001,4.9830000000000005,7.914999999999997,8.953000000000001,1.9710000000000019,12.831000000000001,1.8140000000000018,10.296,,
,Pretax Income,,-12.382999999999987,1.947000000000017,29.82500000000008,68.22000000000004,-14.617000000000012,32.814999999999955,-72.71899999999997,-13.536999999999981,-46.37999999999997,-5.716000000000044,-80.28299999999992,-155.44100000000023,-45.40600000000012,-10.95400000000003,-40.108999999999895,19.774999999999977,-54.11899999999993,-30.163999999999838,-47.18300000000004,,
,Taxes,,0,0,0,0,0,0,0,0,44.259,8.025,0,53.596,13.506,20.929,44.36,7.023,142.8,93.605,-8.975,,
,Net Income,,-12.382999999999987,1.947000000000017,29.82500000000008,68.22000000000004,-14.617000000000012,32.814999999999955,-72.71899999999997,-13.536999999999981,-90.63899999999997,-13.741000000000044,-80.28299999999992,-209.03700000000023,-58.91200000000012,-31.88300000000003,-84.4689999999999,12.751999999999978,-196.91899999999993,-123.76899999999983,-38.20800000000004,,
,EPS,,-0.050152080321089906,0.007850331633167418,0.11968874905693726,0.26739518986547944,-0.0581738728986246,0.1301635026536455,-0.28747232764073355,-0.05335346026966409,-0.35617057395022034,-0.053851007379481064,-0.3137598974495256,-0.8139277718290674,-0.2288831302036999,-0.12362208082758526,-0.32663833473188386,0.0487130316527744,-0.7564323194763486,-0.47516287426528964,-0.14630840101552015,,
,Shares,,246.909,248.015,249.188,255.128,251.264,252.106,252.96,253.723,254.482,255.167,255.874,256.825,257.389,257.907,258.601,261.778,260.326,260.477,261.147,,
,,,,,,,,,,,,,,,,,,,,,,,
,Revenue Growth,,,,,,0.2998146238117805,0.33626982019821283,0.373319318093422,0.30201256136501087,0.35797683450125906,0.3149192865425454,0.26749607131756803,0.2362783612494952,0.235913829340612,0.21102884348618778,0.21474176811381662,0.298950355725526,0.20497541257674934,0.21477947380532347,0.21351840846704562,,
,Cloud Growth,,,,,,,0.5333928226895621,0.5802084960852731,0.5985857154862952,,,,,,,,,,,,,
,Gross Margin,,0.8371082243841701,0.8396451841760498,0.8414668929848672,0.8605062525495492,0.8249147959302211,0.8403678032129037,0.8327426996220911,0.8465004976427803,0.8283798847390441,0.8273552376045342,0.8490954550454679,0.8157720822368816,0.8192137561788013,0.8179243691033213,0.8164945147201705,0.820519742197644,0.8077881564877739,0.8167810396024183,0.8265577789644941,,
,Operating Margin,,-0.007640379486893549,0.025967016752773665,0.05527576048300734,0.13599998593352186,-0.013450358241337978,0.06456750876187244,-0.09689975396717038,-0.010967047540078111,-0.055712971529569964,-0.0421443363322897,-0.08592718722499258,-0.17648857997079068,-0.05365680685082933,-0.01929789573265836,-0.046280103008178294,0.014972315848251807,-0.059164538392880744,-0.026922471398346862,-0.04467987031107777,,
,,,,,,,,,,,,,,,,,,,,,,,
,Cash,,,,,,,,,,,,,,,,,,2562.124,,,,
,AR,,,,,,,,,,,,,,,,,,628.049,,,,
,Prepaids,,,,,,,,,,,,,,,,,,109.312,,,,
,PP&E,,,,,,,,,,,,,,,,,,86.315,,,,
,Lease,,,,,,,,,,,,,,,,,,172.468,,,,
,Goodwill,,,,,,,,,,,,,,,,,,1587.813,,,,
,DTA,,,,,,,,,,,,,,,,,,3.934,,,,
,ONCA,,,,,,,,,,,,,,,,,,62.118,,,,
,Assets,,,,,,,,,,,,,,,,,,5212.133000000001,,,,
,,,,,,,,,,,,,,,,,,,,,,,
