Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,Brand,Generic,Status,Indication,Mechanism,Dosing
,,belcesiran,discontinued due to portfolio considerations,AAT1D,,
,,,,discontinued in favor of single molecule,GIP analog,
,,,,discontinued,SGLT2+sema,qd FDC
,PYY 1875,,,discontinued,,
,,,,,,
,ocedurenone,Hypertension,,"Terminated, failed to meet PE in HTN P3. May be developed in other indications.",,
,MASH,VAP-1i,I,Stopped due to portfolio considerations,UBE Corporation,
,AM833,,I,,,
,LA-GDF15,,,,,
,NN6434,,,,PCSK9,
,PYY1875,,,Obesity,,
,PYY1562,,,Obesity,,
,NN1436,,,,,
,NN1406 (PI406),,,,,
,NN7170,,,Hemophilia A,,
,NN9023 (OG2023SC),,,,GLP-1,
,NN9775 (PYY 1875),,,,,
,NN7415,concizumab,,,,
