Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,Name,Repo,Type,Link,Stars,,Implementation,Authors,,,,,
,Whisper,https://github.com/openai/whisper,ASR,,56200,,,OpenAI,,,,,
,SV TL TTS,https://github.com/CorentinJ/Real-Time-Voice-Cloning,"Resemble AI employee cloning tool, outdated.",,50000,,,Corentin Jemine,,,,,
,FFmpeg,https://github.com/FFmpeg/Ffmpeg,Common utility for audio.,,41000,,,"Fabrice Bellard, Bobby Bingham",,,,,
,Mockingbird (Chinese),https://github.com/babysor/MockingBird,Chinese fork of Corentin's repo,,33200,,,Chinese Anon,,,,,
,Bark,https://github.com/suno-ai/bark,"TTS/TTA library, doesn't work well.",,30600,,doesn't work well,Suno,,,,,
,TTS (Coqui),https://github.com/coqui-ai/TTS,TTS,,27000,,up next?,Coqui (RIP),,,,,
,MPV,https://github.com/mpv-player/mpv,Terminal audio output.,,25200,,,Large OS project,,,,,
,DeepSpeech,https://github.com/mozilla/DeepSpeech,,,23900,,,Mozilla,,,,,
,So-Vits-SVC,https://github.com/svc-develop-team/so-vits-svc,,,22800,,,Chinese OS Anons,,,,,
,Audiocraft,https://github.com/facebookresearch/audiocraft,,,18800,,,Meta,,,,,
,RVC,https://github.com/RVC-Project/Retrieval-based-Voice-Conversion-WebUI,,,16500,,,,,,,,
,GPT-SoVITS,https://github.com/RVC-Boss/GPT-SoVITS,,,14400,,,,,,,,
,OpenVoice,https://github.com/myshell-ai/OpenVoice,,,14300,,,,,,,,
,Vocal Remover,https://github.com/Anjok07/ultimatevocalremovergui,,,13700,,,,,,,,
,Kaldi,https://github.com/kaldi-asr/kaldi,,,13500,,,,,,,https://github.com/resemble-ai/Resemblyzer,
,PaddleHub,https://github.com/PaddlePaddle/PaddleHub,,,12400,,,,,,,,
,Tortoise,https://github.com/neonbjb/tortoise-tts,,www.nonint.com,11100,"Slow, need to speed up diffuser. Used in ElevenLabs, Play.ht.","Limited, retrain",James Betker,,,,,
,PaddleSpeech,https://github.com/PaddlePaddle/PaddleSpeech,,,9700,,,,,,,,
,Seamless,https://github.com/facebookresearch/seamless_communication,,,9700,,doesn't work well,Meta,,,,,
,AudioGPT,https://github.com/AIGC-Audio/AudioGPT,,,9700,,,,,,,,
,Nemo,https://github.com/NVIDIA/NeMo,Not specifically TTS,https://docs.nvidia.com/deeplearning/nemo/user-guide/docs/en/stable/tts/intro.html,9300,,,Nvidia,,,,,
,Mozilla TTS,https://github.com/mozilla/TTS,,,8600,,,Mozilla,,,,,
,PyDub,https://github.com/jiaaro/pydub,,,8200,,,,,,,,
,so-vits-svc,https://github.com/voicepaw/so-vits-svc-fork,,,8000,,,,,,,,
,whisperX,https://github.com/m-bain/whisperX,ASR,,7900,,,,,,,,
,Uberi SR,https://github.com/Uberi/speech_recognition,ASR,,7900,,,,,,,,
,Espnet,https://github.com/espnet/espnet,,,7600,,,,,,,,
,Jukebox,https://github.com/openai/jukebox,,,7400,,,OpenAI,,,,,
,ASRT,https://github.com/nl8590687/ASRT_SpeechRecognition,,,7300,,,,,,,,
,SpeechBrain,https://github.com/speechbrain/speechbrain,,,7300,,,,,,,,
,VALL-E,https://github.com/Plachtaa/VALL-E-X,,,6900,,,,,,,,
,PaddlePaddle,https://github.com/PaddlePaddle/models,,,6900,,,,,,,,
,Vosk API,https://github.com/alphacep/vosk-api,,,6700,,,,,,,,
,Annyang,https://github.com/TalAter/annyang,,,6500,,,,,,,,
,Librosa,https://github.com/librosa/librosa,,,6500,,,,,,,,
,C++ Whisper,https://github.com/Const-me/Whisper,ASR,,6500,,,,,,,,
,wav2letter,https://github.com/flashlight/wav2letter,,,6300,,,,,,,,
,VITS,https://github.com/jaywalnut310/vits,TTS,,6000,,Production,,,,,,
,Bert-VITS2,https://github.com/fishaudio/Bert-VITS2,,,5900,,,,,,,,
,EmotiVoice (Netease),https://github.com/netease-youdao/EmotiVoice,,,5900,,,,,,,,
,Py Audio Analysis,https://github.com/tyiannak/pyAudioAnalysis,,,5600,,,,,,,,
,CloneVoice (Coqui fork),https://github.com/jianchang512/clone-voice,,,5500,,,,,,,,
,Wukong-Robot,https://github.com/wzpan/wukong-robot,,,5500,,,,,,,,
,Pedalboard,https://github.com/spotify/pedalboard,,,4700,,,Spotify,,,,,
,Pyannote,https://github.com/pyannote/pyannote-audio,,,4600,,,,,,,,
,Silero,https://github.com/snakers4/silero-models,,,4400,,,,,,,,
,VITS-fast-fine-tuning,https://github.com/Plachtaa/VITS-fast-fine-tuning,,,4300,,,,,,,,
,DiffSinger,,,,4000,,,,,,,,
,STT WaveNet,https://github.com/buriburisuri/speech-to-text-wavenet,,,3900,,,,,,,,
,Lyra,https://github.com/google/lyra,,,3700,,,Google,,,,,
,TensorFlowTTS,,,,3600,,,,,,,,
,StyleTTS2,https://github.com/yl4579/StyleTTS2,,,3600,Fast but not expressive,Production,Aaron,,,,,
,wenet,https://github.com/wenet-e2e/wenet,,,3600,,,,,,,,
,Amphion,https://github.com/open-mmlab/Amphion,,,3500,,,,,,,,
,Piper,https://github.com/rhasspy/piper,,,3100,,,,,,,,
,WhisperSpeech,,,,3000,,,,,,,,
