Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,Females,,,,,62m,37m,25m,12m,,
,Age,Mean,5th,10th,50th,75th,85th,90th,95th,,
,20-29,164.78000000000003,106.7,113.08000000000001,152.9,190.08000000000004,216.48000000000002,235.4,260.48,,30.0
,30-39,174.46,110.66,118.36,161.26000000000002,201.3,223.74000000000004,243.76000000000002,280.72,,12.0
,40-49,177.76000000000002,117.26,125.4,165.44000000000003,202.62,227.26000000000002,249.04000000000002,272.36,,42.0
,50-59,173.14000000000001,108.24000000000001,121.44000000000001,164.12,198.22,215.16000000000003,230.56,266.42,,
,60-69,172.04000000000002,111.76,124.30000000000001,165.22,196.46,215.82,228.14000000000001,247.94000000000003,,
,70-79,164.34000000000003,111.54000000000002,119.46000000000001,161.04000000000002,184.58000000000004,196.46,209.22,236.06,,
,80+,149.38000000000002,102.08,110.00000000000001,145.86,167.86,181.06,189.86,212.96,,
,,,,,,,,,,,
,Males,,,,,,,,,,
,Age,Mean,5th,10th,50th,75th,85th,90th,95th,,
,20-29,188.6,128.5,135.6,179.1,216.5,242.1,255.7,282.3,,
,30-39,208.1,143.4,154.9,197.7,230.6,256.2,273,308.5,,
,40-49,206.9,146.3,154.5,199.5,229.2,250.6,263.6,293.9,,
,50-59,202.5,139.3,151.1,197.5,224.8,243.4,273.2,288,,
,60-69,201.2,137.3,149.1,197.2,226.8,241.7,257.3,282.5,,
,70-79,193.4,133.4,147.8,188,216.1,233.2,239.7,262.5,,
,80+,177.5,123.9,136.7,175.6,198.4,214.3,218.6,238,,
,,,,,,,,,,,
,,,,,,,,,,,
,18% are 0-14,,12.599999999999998,12.2,24.8,,,,,,
,,,,,,,,,,,
,US Population,331000,,,,49.8,,make 75k+,,,
,Over 20,248250,,,,37.5,,make 100k+,,,
,,,,,,21.1,,make 150k+,,,
,,,,,,11.9,,make 200k+,,,
