Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
,,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,,,,2020.0,2021.0,2022.0,2023.0,2024.0
,100k,,,,,1406,1570,,,2250,2420,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,,,154.675,177.531,198.549,233.549,270.488,326.198,363.03,406.138,436.533,469.399,481.714,509.46,547.536,589.649,611.253,645.279,690.016,737.727,761.553,790,,,,,,,,1675.1,,
,COGS,,,33.984,40.856,46.666,57.098,63.332,67.149,74.462,81.925,93.599,96.757,99.914,101.846,103.319,104.829,110.098,123.499,137.756,144.178,157.628,158,,,,,,,,,,
,Gross Profit,,,120.691,136.675,151.883,176.45100000000002,207.156,259.049,288.568,324.21299999999997,342.934,372.642,381.8,407.614,444.2169999999999,484.82,501.15500000000003,521.78,552.26,593.549,603.925,632,,,,,,,,,,
,R&D,,,56.44,67.698,79.266,94.779,112.675,133.049,150.608,177.699,205.388,218.656,229.478,239.494,240.225,253.25,269.988,274.599,291.802,316.314,341.061,342.061,,,,,,,,,,
,S&M,,,57.142,60.034,64.353,70.412,75.827,88.905,101.166,115.27,129.493,149.359,144.971,147.455,156.87,159.98,173.881,187.005,187.772,207.947,214.291,215.291,,,,,,,,,,
,G&A,,,16.376,17.881,21.094,21.146,23.549,28.64,26.38,34.383,39.395,39.255,42.321,42.671,51.352,43.848,45.29,47.558,52.408,59.896,60.993,61.993,,,,,,,,,,
