Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,Operating Income,,,,,2731,3231,,2889,3045,3444,,,,11459.0,10597.0,11741.0,12975.0,12246.0,12221.0,,,,,,,,,,,,
,Interest Expense,,,,,-230,-297,,-299,-299,-329,,,,-665.0,-570.0,-618.0,-628.0,-588.0,-1061.0,,,,,,,,,,,,
,Pretax Income,,,,,2501,2934,,2590,2746,3115,,,,10794.0,10027.0,11123.0,12347.0,11658.0,11160.0,,,,,,,,,,,,
,Taxes,,,,,428,560,,676,676,734,,,,2445.0,2293.0,2377.0,2671.0,2244.0,2339.0,,,,,,,,,,,,
,Net Income,,,,,2073,2374,,1914,2070,2381,,,,8349.0,7734.0,8746.0,9676.0,9414.0,8821.0,,,,,,,,,,,,
,MI,,,,,107,114,,98,98,122,,,,375.0,543.0,536.0,601.0,479.0,455.0,,,,,,,,,,,,
,NI - MI,,,,,1966,2260,,1816,1972,2259,,,,7974.0,7191.0,8210.0,9075.0,8935.0,8366.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue Growth %,,,,,,,,,0.09652076318742986,0.05587152893944469,,,,,0.006075949367088551,-0.03727562489515179,0.09447968216351854,0.011367616621557053,0.10742396574523005,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Cash,,,,,,,,,-41501,-39371,,,,,,,,,,,,,,,,,,,,,
,Cash,,,,,,,,,8886,9768,,,,,,,,,,,,,,,,,,,,,
,AR,,,,,,,,,4188,4240,,,,,,,,,,,,,,,,,,,,,
,Other Receivables,,,,,,,,,864,877,,,,,,,,,,,,,,,,,,,,,
,Inventories,,,,,,,,,9970,9382,,,,,,,,,,,,,,,,,,,,,
,OCA,,,,,,,,,1884,1722,,,,,,,,,,,,,,,,,,,,,
,PP&E,,,,,,,,,7201,7264,,,,,,,,,,,,,,,,,,,,,
,Goodwill,,,,,,,,,25906,28990,,,,,,,,,,,,,,,,,,,,,
,DT,,,,,,,,,950,918,,,,,,,,,,,,,,,,,,,,,
,OA,,,,,,,,,5466,2621,,,,,,,,,,,,,,,,,,,,,
,Assets,,,,,,,,,65315,65782,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Debt,,,,,,,,,50387,49139,,,,,,,,,,,,,,,,,,,,,
,AP,,,,,,,,,3648,3591,,,,,,,,,,,,,,,,,,,,,
,AL,,,,,,,,,9585,13332,,,,,,,,,,,,,,,,,,,,,
,Other,,,,,,,,,2409,1001,,,,,,,,,,,,,,,,,,,,,
,DT,,,,,,,,,5025,3838,,,,,,,,,,,,,,,,,,,,,
,Employment,,,,,,,,,2824,2823,,,,,,,,,,,,,,,,,,,,,
,S/E,,,,,,,,,-8563,-7942,,,,,,,,,,,,,,,,,,,,,
,L+S/E,,,,,,,,,65315,65782,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Model NI,,,,,,,,,1972,,,,,,,,,,,,,,,,,,,,,,
,Reported NI,,,,,,,,,2246,,,,,,,,,,,,,,,,,,,,,,
,D&A,,,,,,,,,367,,,,,,,,,,,,,,,,,,,,,,
,Impairment,,,,,,,,,175,,,,,,,,,,,,,,,,,,,,,,
,DT,,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,
,WC,,,,,,,,,-2623,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,,,,,241,,,,,9478.0,10090.0,9812.0,11967.0,10803.0,9204.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CapEx,,,,,,,,,-417,,,,,1436.0,852.0,602.0,748.0,1077.0,1321.0,,,,,,,,,,,,
,Investments,,,,,,,,,-20,,,,,,,,,,,,,,,,,,,,,,
,Collateral,,,,,,,,,310,,,,,,,,,,,,,,,,,,,,,,
,Other,,,,,,,,,-66,,,,,,,,,,,,,,,,,,,,,,
,CFFI,,,,,,,,,-193,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Debt,,,,,,,,,3000,,,,,,,,,,,,,,,,,,,,,,
,Dividends,,,,,,,,,-2037,,,,,,,,,,,,,,,,,,,,,,
,Collateral,,,,,,,,,260,,,,,,,,,,,,,,,,,,,,,,
,NCI,,,,,,,,,-88,,,,,,,,,,,,,,,,,,,,,,
,CFFF,,,,,,,,,1135,,,,,,,,,,,,,,,,,,,,,,
,FX,,,,,,,,,-230,,,,,,,,,,,,,,,,,,,,,,
,CIC,,,,,,,,,953,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FCF,,,,,,,,,658,,,,,8042.0,9238.0,9210.0,11219.0,9726.0,7883.0,,,,,,,,,,,,
