2. Product Sales Analysis (vs PY Reported Actual) (continued)                     Sales amount includes royalty income and service income,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Table of Contents
,■ Q2,,,,,,,,,,,,,,
,,Reported,,,,,,,,,,,,,
,,FY20 Q2,FY21 Q2,YOY,US,YOY,,,,,,,Ex-US,YOY,
,(Bn JPY),,,,,,Japan,YOY,EUCAN,YOY,GEM*5,YOY,,,
GI,,192.9,218.6,0.133,123.2,0.113,26.3,0.219,48,0.167,17.2,0.083,3.9,0.065,
,ENTYVIO,105.7,130.5,0.23399999999999999,87.6,0.223,2.9,0.42100000000000004,33.9,0.237,6.2,0.315,,,
,TAKECAB-F *1,19.7,24.8,0.259,0,-,23.1,0.192,0,-,1.7,4.1339999999999995,,,
,GATTEX/REVESTIVE,15.7,18.7,0.188,15.4,0.161,0.1,-,2.6,0.14300000000000002,0.6,1.76,,,
,DEXILANT,14.8,14.9,0.008,8.7,-0.040999999999999995,0,-,2.6,0.11699999999999999,3.6,0.066,,,
,PANTOLOC/CONTROLOC*2,12.3,9.4,-0.23399999999999999,0.4,-0.22399999999999998,0,-,6.1,-0.059000000000000004,2.9,-0.452,,,
,LIALDA/MEZAVANT *3,6.1,5.3,-0.131,1.4,-0.429,,,,,,,3.9,0.065,
,PENTASA,5.5,5.2,-0.055999999999999994,5.2,-0.055999999999999994,,,,,,,,,
,AMITIZA,6.2,1.8,-0.716,1.5,-0.755,,,0,-,0.3,0.922,,,
,RESOLOR/MOTEGRITY,2.2,3.2,0.433,2.4,0.684,0,-,0.8,0.018000000000000002,0,-1,,,
,ALOFISEL,0.3,0.4,0.522,0,-,0,-,0.3,0.439,0.1,0.935,,,
,Others,4.3,4.3,-0.0%,0.7,-0.139,0.2,-0.004,1.6,0.019,1.9,0.044000000000000004,,,
Rare Diseases,,140.4,144.6,0.03,62.1,-0.021,6.6,-0.17300000000000001,37.8,0.092,26.2,0.214,11.9,-0.07,
Rare Metabolic,,39.7,40,0.006,9.1,0.016,0.3,-0.628,12,0.121,6.7,0.019,11.9,-0.07,
,ELAPRASE,16.7,16.2,-0.027999999999999997,4.9,-0.06,-0.1,-,6.7,0.07400000000000001,4.6,-0.045,,,
,REPLAGAL *3,12.8,11.9,-0.07,0,-,,,,,,,11.9,-0.07,
,VPRIV,9.5,10.5,0.11,4.2,0.067,0.3,-0.098,4,0.135,2.1,0.197,,,
,NATPARA/NATPAR,0.8,1.3,0.721,0,-,0,-,1.3,0.39,0,0.076,,,
Rare Hematology,,66.1,69.4,0.05,28.1,-0.001,6,-0.13,17.1,-0.009000000000000001,18.2,0.319,,,
,ADVATE,29.8,30.6,0.028999999999999998,13.3,-0.04,1.4,-0.13699999999999998,7.1,-0.139,8.8,0.469,,,
,ADYNOVATE/ADYNOVI,14.2,14.6,0.026000000000000002,6.5,0.114,3.6,-0.125,3.2,-0.053,1.4,0.41000000000000003,,,
,FEIBA *4,7.7,8.8,0.13699999999999998,2.2,-0.135,0.2,-0.233,2.8,0.392,3.6,0.227,,,
,RECOMBINATE,3.2,2.6,-0.185,2.4,-0.132,0,-,0.2,-0.395,0,-0.762,,,
,HEMOFIL/IMMUNATE/IMMUNINE*4,4.9,5.1,0.03,0.8,-0.195,0,-,1.3,0.32799999999999996,3,0.012,,,
,Other PDT Products *4 *6,0.8,1.1,0.313,0,-,0,-,0.9,0.195,0.2,1.243,,,
,Others *7,5.4,6.6,0.225,2.8,0.38200000000000006,0.8,-0.11699999999999999,1.7,0.023,1.3,0.627,,,
Hereditary Angioedema,,34.6,35.2,0.018000000000000002,24.9,-0.054000000000000006,0.4,-0.129,8.7,0.303,1.3,0.07200000000000001,,,
,TAKHZYRO,20.5,22.1,0.076,16.6,-0.022000000000000002,0,-,5,0.5670000000000001,0.4,0.36700000000000005,,,
,FIRAZYR,7.1,7.5,0.059000000000000004,4.1,0.071,0.4,-0.129,2.4,0.147,0.6,-0.138,,,
,CINRYZE *4,6.1,4.6,-0.24300000000000002,3.1,-0.319,0,-,1.3,-0.065,0.2,0.542,,,
