Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Product,,,,3587.7,4400.1,4561.7,4520.5,4331.3,4178.2,4105.4,4067.4,,,3909.5,3933.9,3825.9,3653.5,3785.9,3738,3515.4,3243.2,3407.31,3364.2000000000003,3163.86,,,,,,,,11819.9,17813.6,16218.099999999999,15388.4,14692.8,,,,,,
,Other,,,,35.8,30.2,16.1,16.1,10.3,13.5,11.4,10.8,,,9.1,8,11.4,9.9,10.7,13.2,12.7,11.1,9.629999999999999,11.879999999999999,11.43,,,,,,,,126.1,72.7,44.6,38.5,46.5,,,,,,
,Revenue,,,,3623.5,4430.3,4577.8,4536.6,4341.6,4191.7,4116.799999999999,4078.2000000000003,0,0,3918.6,3941.9,3837.3,3663.4,3796.6,3751.2,3528.1,3254.2999999999997,3416.94,3376.0800000000004,3175.29,,,,,,,,11946.0,17886.3,16262.699999999999,15426.9,14739.3,,,,,,
,COGS,,,,2917.1,3303,3250.1,2962.5,2795.2,2420.5,2413.5,2329.8,,,2310,2250.6,2240.8,2159.4,2351.2,2292,2313.1,2093.1,2186.8415999999997,2160.6912,2032.1856,,,,,,,,8149.3,12310.8,9765.7,8988.3,9115.7,,,,,,
,Gross Profit,,,,706.4000000000001,1127.3000000000002,1327.7000000000003,1574.1000000000004,1546.4000000000005,1771.1999999999998,1703.2999999999993,1748.4,,,1608.6,1691.3000000000002,1596.5,1504,1445.4,1459.1999999999998,1215,1161.1999999999998,1230.0984,1215.3888000000002,1143.1044,,,,,,,,3796.7,5575.5,6496.999999999998,6438.6,5623.5999999999985,,,,,,
,R&D,,,,154.8,184.1,147.7,152.1,267.2,142.3,162.6,174.9,,,208.3,211.2,202.8,199.7,204.1,198.4,206.5,222,204.1,198.4,206.5,,,,,,,,512.6,681.0,662.2,805.2,808.7,,,,,,
,SG&A,,,,1361.4,1186.5,1204.8,1055,1082.9,915.3,981.1,1017.3,,,1031.9,1053.5,1605.8,1017.5,1358,1003.4,1046.7,948.1,1358,1003.4,1046.7,,,,,,,,3344.6,4529.2,4179.1,4650.1,4425.6,,,,,,
,OpEx,,,,1516.2,1370.6,1352.5,1207.1,1350.1000000000001,1057.6,1143.7,1192.2,,,1240.2,1264.7,1808.6,1217.2,1562.1,1201.8,1253.2,1170.1,1562.1,1201.8,1253.2,,,,,,,,3857.2,5210.2,4841.3,5455.3,5234.3,,,,,,
,OpInc,,,,-809.8,-243.29999999999973,-24.799999999999727,367.00000000000045,196.3000000000004,713.5999999999999,559.5999999999992,556.2,,,368.39999999999986,426.60000000000014,-212.0999999999999,286.79999999999995,-116.69999999999982,257.39999999999986,-38.200000000000045,-8.900000000000091,-332.0015999999998,13.58880000000022,-110.0956000000001,,,,,,,,-60.5,365.3000000000002,1655.699999999998,983.3000000000002,389.29999999999836,,,,,,
