Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,Name,Founder,Type,ADV,13F
,Baker Brothers,Felix & Julian Baker,Public Long-Only,21976.23993,7825
,Orbimed,,Mixed,18211.07,
,Deerfield,,Mixed,16117.395447,
,RA Capital,Peter Kolchinsky,"Venture, Hedge",11227.234425,
,Perceptive,,Mixed,9575.682026,
,RTW,Rod Wong,"Venture, Hedge, Royalty",8820.485054,
,Avoro,,,8737.904424,
,Citadel,Ken Griffin,Hedge Fund,,6000
,Armistice,Steve Boyd,Hedge Fund,5911.15,
,Rock Springs,,,5768.717819,
,Millennium,Israel Englander,Hedge Fund,,5600
,Deep Track,,,5116.080002,
,EcoR1,,,5001.74144,
,Braidwell,Alex Karnal,,4902.193,3187.767909
,Cormorant,Bihua Chen,,4012.766085,
,Camber,,,3542.044627,
,Casdin,,,2643.698992,
,Kynam Capital,,,1296.421245,
,Palo Alto,,,1057,
,Tang,Kevin Tang,,981.87468,
,Adar1,,,507.774765,
,Oracle,,,,
,Flagship,,,,
