Main,Unnamed: 1,Unnamed: 2
,Brand,"Otezla, fka CC-10004"
,Generic,apremilast
,Indication,Psoriatic Arthritis
,Regulatory,NDA 205437 filed 3/21/2013 by Celgene.
,Mechanism,PDE4 inhibitor
,Clinical Trials,
,,"Phase II ""PSA-001"" n=204"
,,
,,
,,"Phase III ""PSA-002"" n=504"
,,38% vs. 19% ACR20
,,
,,"Phase III ""PSA-003"" n=488"
,,32% vs. 19% ACR20
,,
,,"Phase III ""PSA-004"" n=505"
,,41% vs. 18% ACR20
,,
,,
,,"Phase III ""PSA-005"" n=528"
