Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,,FQ422,FQ123,FQ223,FQ323,FQ423,FQ124,FQ224,FQ324,FQ424,FQ125,FQ225,FQ325,FQ425,,,FY2019,FY2020,FY2021,FY2022,FY2023,FY2024,FY2025
,$ mil,2022-10-30 00:00:00,2023-01-29 00:00:00,2023-04-30 00:00:00,2023-07-30 00:00:00,2023-10-29 00:00:00,2024-02-04 00:00:00,2024-05-05 00:00:00,2024-08-04 00:00:00,2024-10-28 00:00:00,2025-02-03 00:00:00,2025-05-04 00:00:00,2025-08-03 00:00:00,2025-10-28 00:00:00,,,,,,2022-10-30 00:00:00,2023-10-29 00:00:00,,
,,,,,,,,,,,,,,,,,,,,,,,
,Semiconductors,,,,6941,,,,7274,7374,,,,,,,,,,,,,
,Infrastructure,,,,1935,,,,5798,5898,,,,,,,,,,,,,
,Products,,,,,,,,7439,7939,,,,,,,,,20886,26277,27891,,
,Subscription/Services,,,,,,,,5633,6133,,,,,,,,,6564,6926,7928,,
,Revenue,8930,8915,8733,8876,9295,11961,12487,13072,14054,14916,15004,15952,,,,,,27450,33203,35819,45000,
,COGS,2298,2374,2177,2272,2449,3114,3142,3133,3399,3273,3296,3704,,,,,,6555,7629,9272,11250,
,Gross Profit,6632,6541,6556,6604,6846,8847,9345,9939,10655,11643,11708,12248,,,,,,20895,25574,26547,33750,
,R&D,1197,1195,1312,1358,1388,2308,2415,2353,2234,2253,2693,3050,,,,,,4854,4919,5253,5778.3,
,SG&A,370,348,438,388,418,1572,1277,1100,1010,949,1083,1072,,,,,,1347,1382,1592,1751.2,
,Operating Expenses,1567,1543,1750,1746,1806,3880,3692,3453,3244,3202,3776,4122,,,,,,6201,6301,6845,7529.5,
,Operating Income,5065,4998,4806,4858,5040,4967,5653,6486,7411,8441,7932,8126,,,,,,14694,19273,19702,26220.5,
,Interest Expense,-366,-549,-292,-282,-273,-741,-960,-982,-864,-770,-744,-602,,,,,,-1754,-1791,-1396,-1396,
,Pretax Income,4699,4449,4514,4576,4767,4226,4693,5504,6547,7671,7188,7524,,,,,,12940,17482,18306,24824.5,
,Taxes,261,66,235,271,443,803,-116,4238,1064,1274,120,1145,,,,,,328,1211,1015,2482.4500000000003,
,Net Income,4438,4383,4279,4305,4324,3423,4809,1266,5483,6397,7068,6379,,,,,,12612,16271,17291,22342.05,
,EPS,1.0344988344988344,1.0216783216783216,1.0021077283372366,1.0081967213114753,1.0126463700234192,0.7329764453961456,1.001875,0.2714990349560369,1.1356669428334714,1.3227874276261373,1.4645669291338583,1.312551440329218,,,,,,2.93986013986014,3.8465721040189127,3.9567505720823797,4.65459375,
,Shares,4290,4290,4270,4270,4270,4670,4800,4663,4828,4836,4826,4860,,,,,,4290,4230,4370,4800,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,0.040873460246360516,0.34167134043746494,0.4298637352570709,0.47273546642631814,0.5119956966110812,0.24705292199648854,0.20156963241771453,0.2203182374541004,,,,,,,0.20958105646630232,0.07878806131976024,0.2563164800804043,
,Gross Margin,0.7426651735722285,0.7337072349971957,0.7507156761708462,0.7440288418206399,0.7365250134480904,0.7396538750940557,0.7483783134459838,0.760327417380661,0.7581471467197951,0.7805711987127917,0.7803252466009064,0.7678034102306921,,,,,,0.7612021857923498,0.7702316055778092,0.7411429688154332,0.75,
,Operating Margin,0.5671892497200448,0.5606281547952888,0.5503263483339059,0.5473186119873817,0.5422270037654653,0.41526628208343785,0.4527108192520221,0.4961750305997552,0.5273231820122385,0.5659023866988468,0.5286590242601973,0.5094032096288866,,,,,,0.5353005464480874,0.5804595970243652,0.5500432731232028,0.5826777777777777,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Net Cash,,,,,,,,,,-57272,0,-53511,,,,,,,,,,
,Cash,,,,,,11864,9809,9952,,9307,,10718,,,,,,,,,,
,AR,,,,,,4969,5500,4665,,4955,,6494,,,,,,,,,,
,Inventory,,,,,,1920,1842,1894,,1908,,2180,,,,,,,,,,
,OCA,,,,,,8439,8151,3436,,4820,,5606,,,,,,,,,,
,PP&E,,,,,,2662,2668,2602,,2465,,2451,,,,,,,,,,
,Goodwill,,,,,,144771,143280,140907,,136454,,132145,,,,,,,,,,
,OLTA,,,,,,3245,3961,4510,,5449,,6027,,,,,,,,,,
,Assets,,,,,,177870,175211,167966,0,165358,0,165621,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,AP,,,,,,1496,1441,1757,,1905,,1432,,,,,,,,,,
,Employees,,,,,,1128,1385,1725,,922,,1719,,,,,,,,,,
,Debt,,,,,,75901,74016,79376,,66579,,64229,,,,,,,,,,
,OCL,,,,,,15312,14919,3161,,12430,,12154,,,,,,,,,,
,OLTL,,,,,,13749,13489,16296,,13733,,12810,,,,,,,,,,
,S/E,,,,,,70284,69961,65651,,69789,,73277,,,,,,,,,,
,L+S/E,,,,,,177870,175211,167966,0,165358,0,165621,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
