2. Product Sales Analysis (vs PY Reported Actual) (continued)                     Sales amount includes royalty income and service income,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Table of Contents
,■ Q1,,,,,,,,,,,,,,
,,Reported,,,,,,,,,,,,,
,,FY20 Q1,FY21 Q1,YOY,US,YOY,,,,,,,Ex-US,YOY,
,(Bn JPY),,,,,,Japan,YOY,EUCAN,YOY,GEM*5,YOY,,,
GI,,186.9,210.5,0.126,117.6,0.033,25.6,0.159,47.1,0.36100000000000004,16,0.23600000000000002,4.2,0.20500000000000002,
,ENTYVIO,101.2,125.4,0.239,83.7,0.171,2.5,0.266,32.7,0.35600000000000004,6.4,0.789,,,
,TAKECAB-F *1,20.2,24.3,0.201,0,-,22.9,0.15,0,-,1.4,3.4619999999999997,,,
,GATTEX/REVESTIVE,17.5,18.1,0.037000000000000005,15.2,-0.011000000000000001,0,-,2.7,0.435,0.2,0.036000000000000004,,,
,DEXILANT,13.6,10.8,-0.207,6,-0.313,0,-,2.2,0.18300000000000002,2.5,-0.14300000000000002,,,
,PANTOLOC/CONTROLOC*2,9.2,10.4,0.138,0.7,0.39799999999999996,0,-,6.7,0.374,3.1,-0.19100000000000003,,,
,LIALDA/MEZAVANT *3,5.5,6.4,0.162,2.2,0.086,,,,,,,4.2,0.20500000000000002,
,PENTASA,6.2,4.8,-0.21600000000000003,4.8,-0.21600000000000003,,,,,,,,,
,AMITIZA,6.3,2.1,-0.658,2,-0.6779999999999999,,,0,-,0.1,1.33,,,
,RESOLOR/MOTEGRITY,2.7,3.2,0.16899999999999998,2.2,0.102,0,-,1,0.434,0,-1,,,
,ALOFISEL,0,0.4,35.56,0,-,0,-,0.3,47.96,0.1,15.133,,,
,Others,4.5,4.5,0,0.7,-0.418,0.2,-0.071,1.5,0.266,2.1,0.10800000000000001,,,
Rare Diseases,,155,155.5,0.003,71.2,-0.039,7.5,-0.024,38.6,0.11800000000000001,24.1,-0.09,14.1,0.152,
Rare Metabolic,,39.9,44.3,0.109,9.4,0.055,0.7,-0.026000000000000002,11.8,0.171,8.3,0.037000000000000005,14.1,0.152,
,ELAPRASE,17.6,18.6,0.055,5,0.001,0.4,-0.051,6.7,0.139,6.4,0.025,,,
,REPLAGAL *3,12.2,14.1,0.152,0,-,,,,,,,14.1,0.152,
,VPRIV,9.3,10.5,0.11900000000000001,4.4,0.138,0.3,0.008,3.9,0.127,1.8,0.079,,,
,NATPARA/NATPAR,0.7,1.2,0.568,-0.0,-,0,-,1.2,0.6459999999999999,0,0.451,,,
Rare Hematology,,76.8,72.2,-0.059000000000000004,33.3,-0.004,6.4,-0.026000000000000002,18,-0.06,14.6,-0.17600000000000002,,,
,ADVATE,33.7,30.7,-0.08900000000000001,15.1,-0.111,1.6,-0.054000000000000006,7.1,-0.13,6.9,0.006,,,
,ADYNOVATE/ADYNOVI,15.3,15.4,0.006,6.8,-0.055,3.7,-0.034,3.6,0.061,1.2,0.506,,,
,FEIBA *4,12.9,11.4,-0.113,3.9,0.603,0.2,-0.08800000000000001,3.2,-0.023,4.1,-0.40700000000000003,,,
,RECOMBINATE,3.7,3.7,-0.009000000000000001,3.5,0.049,0,-,0.2,-0.08,0,-0.9109999999999999,,,
,HEMOFIL/IMMUNATE/IMMUNINE*4,4.4,3.3,-0.256,0.9,0.128,0,-,1,-0.36700000000000005,1.4,-0.314,,,
