Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
£ millions,1Q04A,2Q04A,3Q04A,4Q04A,1Q05A,2Q05A,3Q05A,4Q05A,1Q06A,2Q06E,3Q06E,4Q06E,,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0
- USA,126,100,119,105,120,113,139,134,94,30,20,6,,461.0,450.0,506.0,150.0,30.0,12.0,4.8,1.92,0.7680000000000002
- Europe,14,19,12,14,14,19,14,13,13,14.25,14.25,15.5,,56.0,59.0,60.0,57.0,54.15,43.32,34.656,27.724800000000002,22.179840000000002
- RoW,17,14,14,24,37,16,13,24,24,22.5,22.5,21,,77.0,69.0,90.0,90.0,90.0,63.0,44.1,30.87,21.608999999999995
