Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,AMGN,LLY,MRK,PFE,GSK,SNY,NVO,NVS,BMY,AZN,ABBV,GILD,JNJ,TAK,TEVA
,AMGN,x,0.847980255932343,-0.5123284076170518,0.12799918131342503,-1.121379491279956,-0.34209717256400357,1.544955726761898,0.40926082609896003,-1.446959610440012,-0.73018517435342,,,,,
,LLY,0.3556547431948199,x,0.4852013870376183,-0.7134178692741574,-0.05302466312039525,0.580196866577565,0.8720166462772535,0.6285988005334244,-0.4151501035897877,0.2911629678782957,,,,,
,MRK,2.7830578512396693,7.825167256985439,x,-0.3819220912101538,-0.6734339214373108,0.18814616821982982,1.1228692093285997,-0.1740103526137011,-0.992344533722787,-0.2603995662619705,,,,,
,PFE,10.792445631438381,30.345288057993134,0.25787091696182607,x,-1.0715633244972795,-0.2319499884243624,-1.3441428895532663,-0.28448679676721883,-1.4699138161875838,-0.6185183191697881,,,,,
,GSK,8.288016407852329,23.303545268092588,2.9780251977732197,0.7679460884852036,x,0.9174254056438778,0.6562645888273207,-1.013511003424653,0.049034491897393555,0.46286516244268977,,,,,
,SNY,5.833573932769643,16.402351000206227,2.0961022891317795,0.5405238193441947,0.7038564652505671,x,1.2900215105619277,0.03863221288165401,-1.1259230759952352,-0.4922131085925464,,,,,
,NVO,2.6485955056179775,7.447097378277154,1.050767414403778,0.2454119850187266,0.31956928838951315,0.4540262172284644,x,1.3563864427126295,0.15017588040446883,1.0099527778623238,,,,,
,NVS,2.674387822634017,7.519618039141534,0.9609530112508273,0.24780183416847879,0.3226812895906212,0.45844757492672783,1.0097381109955563,x,-1.2428754018723356,-0.5564716246868416,,,,,
,BMY,,,,,,,,,x,0.7985278653411608,,,,,
,AZN,,,,,,,,,,x,,,,,
,ABBV,,,,,,,,,,,x,,,,
,GILD,,,,,,,,,,,,x,,,
,JNJ,,,,,,,,,,,,,x,,
,TAK,,,,,,,,,,,,,,x,
,TEVA,,,,,,,,,,,,,,,
