Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
,,2022-07-28 00:00:00,2022-08-02 00:00:00,2022-08-05 00:00:00,2022-08-22 00:00:00,,,Epi-date,Cases,Cumulative,7 day MA,Epi-date,Cases,Cumulative,,,13057.0,MA,,,14230,
,,,,0.33440514469453375,0.8185705817596749,,,,,,,,,,,2022-05-15,1.0,,,,,
,SUM,21148,23618,28220,42951,0.33440514469453375,,,,,,,,,,2022-05-16,0.0,,,,2022-08-24 00:00:00,
,Andorra,3,3,4,4,,,2022-05-17 00:00:00,1,1,,2022-05-17 00:00:00,1,1,,2022-05-17,1.0,,,2022-05-17,1,
,Argentina,20,20,31,72,,,2022-05-18 00:00:00,0,1,,2022-05-18 00:00:00,0,1,,2022-05-18,0.0,,,2022-05-18,0,
,Australia,44,45,58,89,,,2022-05-19 00:00:00,0,1,,2022-05-19 00:00:00,0,1,,2022-05-19,1.0,,,2022-05-19,1,
,Austria,118,132,160,217,,,2022-05-20 00:00:00,1,2,,2022-05-20 00:00:00,1,2,,2022-05-20,2.0,,,2022-05-20,1,
,Bahamas,1,1,1,2,,,2022-05-21 00:00:00,2,4,,2022-05-21 00:00:00,2,4,,2022-05-21,2.0,1,,2022-05-21,2,
,Barbados,1,1,1,1,,,,,,,2022-05-22 00:00:00,1,5,,2022-05-22,2.0,1.1428571428571428,,2022-05-22,2,
,Belgium,393,393,482,624,,,2022-05-23 00:00:00,2,6,,2022-05-23 00:00:00,4,9,,2022-05-23,3.0,1.5714285714285714,,2022-05-23,3,1.4285714285714286
,Benin,3,3,3,3,,,2022-05-24 00:00:00,2,8,,2022-05-24 00:00:00,1,10,,2022-05-24,1.0,1.5714285714285714,,2022-05-24,1,1.4285714285714286
,Bermuda,1,1,1,1,,,2022-05-25 00:00:00,2,10,,2022-05-25 00:00:00,2,12,,2022-05-25,2.0,1.8571428571428572,,2022-05-25,2,1.7142857142857142
,Bosnia and Herzegovina,1,1,3,37,,,2022-05-26 00:00:00,2,12,12,2022-05-26 00:00:00,2,14,,2022-05-26,2.0,2,,2022-05-26,1,1.7142857142857142
,,,,1,3,,,2022-05-27 00:00:00,1,13,12,2022-05-27 00:00:00,3,17,,2022-05-27,2.0,2,,2022-05-27,3,2.0
,Brazil,696,978,1474,3450,,,,,,,2022-05-28 00:00:00,0,17,,2022-05-28,0.0,1.7142857142857142,,2022-05-28,0,1.7142857142857142
,Bulgaria,4,4,4,4,,,2022-05-29 00:00:00,2,15,13,2022-05-29 00:00:00,1,18,,2022-05-29,2.0,1.7142857142857142,,2022-05-29,2,1.7142857142857142
,Cameroon,7,7,7,7,,,,,,,2022-05-30 00:00:00,0,18,,2022-05-30,1.0,1.4285714285714286,,2022-05-30,1,1.4285714285714286
,Canada,745,803,957,1168,,,2022-05-31 00:00:00,3,18,14,2022-05-31 00:00:00,3,21,,2022-05-31,6.0,2.142857142857143,,2022-05-31,7,2.2857142857142856
,Central African Republic,8,8,8,8,,,2022-06-01 00:00:00,1,19,13,2022-06-01 00:00:00,1,22,,2022-06-01,2.0,2.142857142857143,,2022-06-01,2,2.2857142857142856
,Chile,45,55,69,189,,,2022-06-02 00:00:00,3,22,14,2022-06-02 00:00:00,3,25,,2022-06-02,5.0,2.5714285714285716,,2022-06-02,5,2.857142857142857
,Colombia,12,12,20,164,,,2022-06-03 00:00:00,4,26,16,2022-06-03 00:00:00,6,31,,2022-06-03,6.0,3.142857142857143,,2022-06-03,6,3.2857142857142856
,Costa Rica,3,3,3,3,,,2022-06-04 00:00:00,1,27,15,2022-06-04 00:00:00,2,33,,2022-06-04,1.0,3.2857142857142856,,2022-06-04,1,3.4285714285714284
,Croatia,11,12,12,22,,,,,,,2022-06-05 00:00:00,0,33,,2022-06-05,1.0,3.142857142857143,,2022-06-05,1,3.2857142857142856
,,,,1,1,,,2022-06-06 00:00:00,6,33,20,2022-06-06 00:00:00,5,38,,2022-06-06,7.0,4,,2022-06-06,7,4.142857142857143
,Czechia,19,20,28,4,,,2022-06-07 00:00:00,2,35,20,2022-06-07 00:00:00,4,42,,2022-06-07,9.0,4.428571428571429,,2022-06-07,6,4.0
,Democratic Republic of the Congo,163,163,163,39,,,2022-06-08 00:00:00,5,40,22,2022-06-08 00:00:00,6,48,,2022-06-08,14.0,6.142857142857143,,2022-06-08,8,4.857142857142857
,Denmark,76,99,114,163,,,2022-06-09 00:00:00,2,42,23,2022-06-09 00:00:00,7,55,,2022-06-09,7.0,6.428571428571429,,2022-06-09,6,5.0
,Dominican Republic,3,3,4,169,,,2022-06-10 00:00:00,4,46,24,2022-06-10 00:00:00,4,59,,2022-06-10,12.0,7.285714285714286,,2022-06-10,12,5.857142857142857
,Ecuador,3,3,6,6,,,2022-06-11 00:00:00,4,50,24,2022-06-11 00:00:00,2,61,,2022-06-11,5.0,7.857142857142857,,2022-06-11,6,6.571428571428571
,Estonia,5,6,9,19,,,2022-06-12 00:00:00,2,52,25,2022-06-12 00:00:00,5,66,,2022-06-12,4.0,8.285714285714286,,2022-06-12,4,7.0
,Finland,17,17,22,9,,,2022-06-13 00:00:00,2,54,21,2022-06-13 00:00:00,3,69,,2022-06-13,8.0,8.428571428571429,,2022-06-13,11,7.571428571428571
,France,1837,1955,2423,22,,,2022-06-14 00:00:00,11,65,30,2022-06-14 00:00:00,15,84,,2022-06-14,21.0,10.142857142857142,,2022-06-14,21,9.714285714285714
,Georgia,1,1,1,2889,,,2022-06-15 00:00:00,7,72,32,2022-06-15 00:00:00,10,94,,2022-06-15,15.0,10.285714285714286,,2022-06-15,13,10.428571428571429
,Germany,2540,2677,2887,2,,,2022-06-16 00:00:00,13,85,43,2022-06-16 00:00:00,17,111,,2022-06-16,17.0,11.714285714285714,,2022-06-16,23,12.857142857142858
,Ghana,30,30,30,3295,,,2022-06-17 00:00:00,4,89,43,2022-06-17 00:00:00,8,119,,2022-06-17,13.0,11.857142857142858,,2022-06-17,16,13.428571428571429
,Gibraltar,5,5,5,47,,,2022-06-18 00:00:00,11,100,50,2022-06-18 00:00:00,9,128,,2022-06-18,15.0,13.285714285714286,,2022-06-18,14,14.571428571428571
,Greece,32,32,39,6,,,2022-06-19 00:00:00,5,105,53,2022-06-19 00:00:00,4,132,,2022-06-19,5.0,13.428571428571429,,2022-06-19,6,14.857142857142858
,,,,1,50,,,2022-06-20 00:00:00,7,112,58,2022-06-20 00:00:00,11,143,,2022-06-20,15.0,14.428571428571429,,2022-06-20,14,15.285714285714286
,,,,1,2,,,2022-06-21 00:00:00,15,127,62,2022-06-21 00:00:00,14,157,,2022-06-21,22.0,14.571428571428571,,2022-06-21,20,15.142857142857142
,Hungary,37,39,48,1,,,2022-06-22 00:00:00,19,146,74,2022-06-22 00:00:00,20,177,,2022-06-22,27.0,16.285714285714285,,2022-06-22,27,17.142857142857142
,Iceland,9,9,11,4,,,2022-06-23 00:00:00,19,165,80,2022-06-23 00:00:00,20,197,,2022-06-23,25.0,17.428571428571427,,2022-06-23,24,17.285714285714285
,India,4,4,6,3,,,2022-06-24 00:00:00,35,200,111,2022-06-24 00:00:00,48,245,,2022-06-24,49.0,22.571428571428573,,2022-06-24,35,20.0
,Ireland,85,85,97,63,,,2022-06-25 00:00:00,12,212,112,2022-06-25 00:00:00,12,257,,2022-06-25,25.0,24,,2022-06-25,21,21.0
,Israel,133,146,160,12,,,2022-06-26 00:00:00,12,224,119,2022-06-26 00:00:00,9,266,,2022-06-26,23.0,26.571428571428573,,2022-06-26,16,22.428571428571427
,Italy,426,479,545,9,,,2022-06-27 00:00:00,53,277,165,2022-06-27 00:00:00,60,326,,2022-06-27,91.0,37.42857142857143,,2022-06-27,81,32.0
,Jamaica,2,2,2,1,,,2022-06-28 00:00:00,30,307,180,2022-06-28 00:00:00,40,366,,2022-06-28,59.0,42.714285714285715,,2022-06-28,51,36.42857142857143
,Japan,2,2,2,1,,,2022-06-29 00:00:00,42,349,203,2022-06-29 00:00:00,42,408,,2022-06-29,69.0,48.714285714285715,,2022-06-29,57,40.714285714285715
,Latvia,3,3,3,113,,,2022-06-30 00:00:00,57,406,241,2022-06-30 00:00:00,57,465,,2022-06-30,100.0,59.42857142857143,,2022-06-30,72,47.57142857142857
,Lebanon,4,4,6,208,,,2022-07-01 00:00:00,52,458,258,2022-07-01 00:00:00,54,519,,2022-07-01,115.0,68.85714285714286,,2022-07-01,90,55.42857142857143
,Liberia,1,1,2,689,,,2022-07-02 00:00:00,16,474,262,2022-07-02 00:00:00,15,534,,2022-07-02,74.0,75.85714285714286,,2022-07-02,46,59.0
,,,,3,4,,,2022-07-03 00:00:00,11,485,261,2022-07-03 00:00:00,8,542,,2022-07-03,58.0,80.85714285714286,,2022-07-03,37,62.0
,Luxembourg,23,30,32,4,,,2022-07-04 00:00:00,7,492,215,2022-07-04 00:00:00,24,566,,2022-07-04,81.0,79.42857142857143,,2022-07-04,58,58.714285714285715
,Malta,17,17,17,4,,,2022-07-05 00:00:00,37,529,222,2022-07-05 00:00:00,36,602,,2022-07-05,121.0,88.28571428571429,,2022-07-05,85,63.57142857142857
,Martinique,1,1,1,6,,,2022-07-06 00:00:00,45,574,225,2022-07-06 00:00:00,46,648,,2022-07-06,132.0,97.28571428571429,,2022-07-06,106,70.57142857142857
,Mexico,59,59,91,2,,,2022-07-07 00:00:00,52,626,220,2022-07-07 00:00:00,53,701,,2022-07-07,130.0,101.57142857142857,,2022-07-07,110,76.0
,Morocco,1,1,1,5,,,2022-07-08 00:00:00,37,663,205,2022-07-08 00:00:00,36,737,,2022-07-08,170.0,109.42857142857143,,2022-07-08,161,86.14285714285714
,,,,1,45,,,2022-07-09 00:00:00,37,700,226,2022-07-09 00:00:00,41,778,,2022-07-09,116.0,115.42857142857143,,2022-07-09,103,94.28571428571429
,Netherlands,878,925,959,31,,,2022-07-10 00:00:00,7,707,222,2022-07-10 00:00:00,7,785,,2022-07-10,85.0,119.28571428571429,,2022-07-10,72,99.28571428571429
,New Caledonia,1,1,1,1,,,2022-07-11 00:00:00,100,807,315,2022-07-11 00:00:00,95,880,,2022-07-11,233.0,141,,2022-07-11,217,122.0
,New Zealand,2,2,3,252,,,2022-07-12 00:00:00,212,1019,490,2022-07-12 00:00:00,157,1037,,2022-07-12,169.0,147.85714285714286,,2022-07-12,215,140.57142857142858
,Nigeria,133,133,133,2,,,2022-07-13 00:00:00,140,1159,585,2022-07-13 00:00:00,141,1178,,2022-07-13,212.0,159.28571428571428,,2022-07-13,220,156.85714285714286
,Norway,51,55,64,3,,,2022-07-14 00:00:00,216,1375,749,2022-07-14 00:00:00,209,1387,,2022-07-14,231.0,173.71428571428572,,2022-07-14,242,175.71428571428572
,Panama,1,1,1,2,,,2022-07-15 00:00:00,159,1534,871,2022-07-15 00:00:00,152,1539,,2022-07-15,239.0,183.57142857142858,,2022-07-15,248,188.14285714285714
,Peru,251,305,340,1,,,2022-07-16 00:00:00,7,1541,841,2022-07-16 00:00:00,7,1546,,2022-07-16,133.0,186,,2022-07-16,169,197.57142857142858
,,,1,1,1087,,,2022-07-17 00:00:00,1,1542,835,2022-07-17 00:00:00,1,1547,,2022-07-17,113.0,190,,2022-07-17,97,201.14285714285714
,Poland,53,59,76,1,,,2022-07-18 00:00:00,195,1737,930,2022-07-18 00:00:00,168,1715,,2022-07-18,379.0,210.85714285714286,,2022-07-18,327,216.85714285714286
,Portugal,588,633,710,4,,,2022-07-19 00:00:00,301,2038,1019,2022-07-19 00:00:00,292,2007,,2022-07-19,245.0,221.71428571428572,,2022-07-19,266,224.14285714285714
,Qatar,2,2,2,157,,,2022-07-20 00:00:00,256,2294,1135,2022-07-20 00:00:00,255,2262,,2022-07-20,281.0,231.57142857142858,,2022-07-20,266,230.71428571428572
,Republic of the Congo,2,2,2,76,,,2022-07-21 00:00:00,184,2478,1103,2022-07-21 00:00:00,183,2445,,2022-07-21,245.0,233.57142857142858,,2022-07-21,235,229.71428571428572
,Romania,20,21,22,4,,,2022-07-22 00:00:00,308,2786,1252,2022-07-22 00:00:00,322,2767,,2022-07-22,319.0,245,,2022-07-22,354,244.85714285714286
,Russia,1,1,1,1068,,,2022-07-23 00:00:00,9,2795,1254,2022-07-23 00:00:00,13,2780,,2022-07-23,150.0,247.42857142857142,,2022-07-23,192,248.14285714285714
,Saudi Arabia,3,3,1,3,,,2022-07-24 00:00:00,2,2797,1255,2022-07-24 00:00:00,6,2786,,2022-07-24,110.0,247,,2022-07-24,100,248.57142857142858
,,,,5,114,,,2022-07-25 00:00:00,439,3236,1499,2022-07-25 00:00:00,812,3598,,2022-07-25,407.0,251,,2022-07-25,417,261.42857142857144
,Serbia,10,10,10,810,,,,,,,2022-07-26 00:00:00,586,4184,,2022-07-26,378.0,270,,2022-07-26,372,276.57142857142856
,Singapore,11,11,15,3,,,,,,,2022-07-27 00:00:00,476,4660,,2022-07-27,460.0,295.57142857142856,,2022-07-27,488,308.2857142857143
,Slovakia,3,6,8,3,,,,,,,2022-07-28 00:00:00,184,4844,,2022-07-28,299.0,303.2857142857143,,2022-07-28,361,326.2857142857143
,Slovenia,33,33,37,34,,,,,,,2022-07-29 00:00:00,435,5279,,2022-07-29,400.0,314.85714285714283,,2022-07-29,403,333.2857142857143
,South Africa,3,3,3,1,,,,,,,2022-07-30 00:00:00,16,5295,,2022-07-30,160.0,316.2857142857143,,2022-07-30,233,339.14285714285717
,South Korea,1,1,1,1,,,,,,,2022-07-31 00:00:00,14,5309,,2022-07-31,149.0,321.85714285714283,,2022-07-31,165,348.42857142857144
,Spain,3738,4298,4942,6,,,,,,,2022-08-01 00:00:00,562,5871,,2022-08-01,473.0,331.2857142857143,,2022-08-01,523,363.57142857142856
,,,,1,31,,0.18426416632694664,,,,,2022-08-02 00:00:00,516,6387,,2022-08-02,438.0,339.85714285714283,,2022-08-02,465,376.85714285714283
,Sweden,85,88,111,15,,,,,,,2022-08-03 00:00:00,229,6616,,2022-08-03,426.0,335,,2022-08-03,522,381.7142857142857
,Switzerland,264,272,316,12,,,,,,,,,,,2022-08-04,436.0,354.57142857142856,,2022-08-04,487,399.7142857142857
,Taiwan,2,2,2,43,,,,,,,,,,,2022-08-05,424.0,358,,2022-08-05,410,400.7142857142857
,Thailand,2,2,4,4,,,,,,,,,,,2022-08-06,138.0,354.85714285714283,,2022-08-06,185,393.85714285714283
,Turkey,1,1,1,1,,,,,,,,,,,2022-08-07,78.0,344.7142857142857,,2022-08-07,142,390.57142857142856
,United Arab Emirates,16,16,16,6119,,,,,,,,,,,2022-08-08,754.0,384.85714285714283,,2022-08-08,767,425.42857142857144
,United Kingdom,2432,2546,2859,2,,,,,,,,,,,2022-08-09,409.0,380.7142857142857,,2022-08-09,465,425.42857142857144
,United States,4906,5810,7509,141,,,,,,,,,,,2022-08-10,366.0,372.14285714285717,,2022-08-10,655,444.42857142857144
,Uruguay,1,1,2,416,,,,,,,,,,,2022-08-11,314.0,354.7142857142857,,2022-08-11,402,432.2857142857143
,Venezuela,0,1,1,3,,,,,,,,,,,2022-08-12,280.0,334.14285714285717,,2022-08-12,378,427.7142857142857
,,,,,5,,,,,,,,,,,2022-08-13,39.0,320,,2022-08-13,193,428.85714285714283
,,,,,1,,,,,,,,,,,2022-08-14,10.0,310.2857142857143,,2022-08-14,106,423.7142857142857
,,,,,16,,,,,,,,,,,2022-08-15,670.0,298.2857142857143,,2022-08-15,690,412.7142857142857
,,,,,3081,,,,,,,,,,,2022-08-16,361.0,291.42857142857144,,2022-08-16,334,394.0
,,,,,15432,,,,,,,,,,,2022-08-17,347.0,288.7142857142857,,2022-08-17,438,363.0
,,,,,2,,,,,,,,,,,,,,,2022-08-18,349,355.42857142857144
,,,,,1,,,,,,,,,,,,,,,2022-08-19,377,355.2857142857143
,,,,,,,,,,,,,,,,,,,,2022-08-20,82,339.42857142857144
,,,,,,,,,,,,,,,,,,,,2022-08-21,40,330.0
,,,,,,,,,,,,,,,,,,,,2022-08-22,676,328.0
,,,,,,,,,,,,,,,,,,,,2022-08-23,656,374.0
,,,,,,,,,,,,,,,,,,,,2022-08-24,182,337.42857142857144
