Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
,Net Income,-38909,-32886,-33360,-33451,-38454,-31714,-30741,-28578,-35641,-22999,,,,,,-31752,-76719,-138966,-32310,53612.55,121330.14300000001,198411.3189899999,270188.6868143499,357592.2043024933,434252.0582260182,469540.1751606785,506735.3465823052,545934.3517016493,587238.822954863,630755.4888074185,624447.9339193443,618203.4545801509,612021.4200343494,605901.205834006,599842.193775666,593843.7718379092,587905.3341195302,582026.2807783348,576206.0179705515,570443.957790846,564739.5182129375,559092.1230308082,553501.2018005,547966.189782495,542486.5278846701,537061.6626058234,531691.0459797651,526374.1355199674,521110.39416476776,515899.2902231201,510740.29732088884,505632.89434768,500576.5654042032,495570.7997501612,490615.0917526596,485708.94083513296,480851.8514267816,476043.3329125138,471282.89958338864,466570.0705875548,461904.36988167925,457285.32618286245,452712.4729210338,448185.34819182346,443703.49470990524,439266.4597628062,434873.79516517813,430525.05721352634,426219.8066413911,421957.60857497714,417738.03248922736,413560.6521643351,409425.0456426917,405330.7951862648,401277.48723440216,397264.7123620581,393292.0652384375,389359.1445860531,385465.5531401926,381610.89760879066
,EPS,-0.41725469168900803,-0.34946813597866166,-0.3531317151658216,-0.3522418549796769,-0.39909499444750035,-0.32634286890306646,-0.31406824683285656,-0.289952415255527,-0.35362344723578204,-0.22670504391369062,,,,,,-1.7667482750945915,-2.1984411267444193,-1.4694667385718365,-0.31848515017397905,0.5284679986988536,1.1959717986377392,1.955774024288065,2.663295713258385,3.524847009852175,4.280496192431845,4.628337146356086,4.994976259818285,5.381367501913762,5.788512680803783,6.217463837074969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shares,93250,94103,94469,94966,96353,97180,97880,98561,100788,101449,,,,,,17972,34897,94569,101449,101449,101449.0,101449.0,101449.0,101449.0,101449.0,101449.0,101449.0,101449,101449.0,101449.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue Growth,,,,,0.3133750564552551,0.3364177822154626,0.3310711409395972,0.3271548011147707,0.3308999803497741,0.26403259575872884,0.19397205460001943,,,,,,0.5848819170256541,0.49316697124372477,0.32742117909213175,0.25,0.19999999999999996,0.19999999999999996,0.1499999999999999,0.1499999999999999,0.10000000000000009,0.050000000000000044,0.050000000000000044,0.050000000000000044,0.050000000000000044,0.050000000000000044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Margin,,,,,,,,,,,,,,,,0.6370554826853806,0.6701703530993341,0.674143140906968,0.6949088596863078,0.71,0.72,0.7199999999999999,0.73,0.73,0.74,0.74,0.74,0.74,0.74,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,,,,,,,,,,,,,-2310,-15447,6850,60462.55,181792.69300000003,380204.0119899999,650392.6988043499,1007984.9031068431,1442236.9613328613,1911777.13649354,2418512.483075845,2964446.8347774944,3551685.6577323573,4182441.1465397757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DR,,,,166092,,,,204269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.22985453844857062,,,,,,,,,,,,,,,,,,,,Maturity,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Discount,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPV,4643030.704211392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Share,45.68707653411837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
