Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79
,SG&A,34.382,,,,39.087,,,,,,92.032,117.532,144.304,148.63312000000002,153.09211360000003,157.68487700800003,162.41542331824004,167.28788601778726,172.30652259832087,177.4757182762705,182.79998982455862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Costs,163.047,0,0,0,76.06,,,,,,200.66199999999998,252.483,382.26099999999997,148.63312000000002,153.09211360000003,157.68487700800003,162.41542331824004,167.28788601778726,172.30652259832087,177.4757182762705,182.79998982455862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Income,-139.887,0,0,0,-47.004000000000005,,,,,,-179.15699999999998,-184.357,-265.50199999999995,62.17099999999999,226.35530240000006,525.3204717920001,657.1909952417601,816.2398162542129,1007.9267201280792,1238.8041729954095,1516.7358797014574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interest Income,-1.185,,,,-2.414,,,,,,-1.962,0.243,5.247,5.247,5.247,5.247,5.247,5.247,5.247,5.247,5.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pretax Income,-141.072,0,0,0,-49.418000000000006,,,,,,-177.195,-184.6,-270.74899999999997,56.92399999999999,221.10830240000007,520.0734717920002,651.9439952417601,810.9928162542129,1002.6797201280792,1233.5571729954095,1511.4888797014573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes,0,0,0,0,0,,,,,,0.0,0.0,0.0,,,78.01102076880002,97.79159928626402,121.64892243813193,150.4019580192119,185.03357594931143,226.72333195521858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Income,-141.072,0,0,0,-49.418000000000006,,,,,,-177.195,-184.6,-270.74899999999997,56.92399999999999,221.10830240000007,442.0624510232002,554.1523959554961,689.3438938160809,852.2777621088674,1048.523597046098,1284.7655477462388,963.5741608096791,722.6806206072594,542.0104654554445,406.5078490915834,304.88088681868754,228.66066511401567,171.49549883551174,128.6216241266338,96.46621809497535,72.3496635712315,54.26224767842363,40.69668575881772,30.52251431911329,22.891885739334967,17.168914304501225,12.876685728375918,9.657514296281938,7.243135722211454,5.43235179165859,4.0742638437439425,3.055697882807957,2.2917734121059676,1.7188300590794756,1.2891225443096066,0.966841908232205,0.7251314311741537,0.5438485733806153,0.4078864300354615,0.30591482252659613,0.22943611689494708,0.17207708767121033,0.12905781575340775,0.09679336181505581,0.07259502136129185,0.054446266020968886,0.040834699515726665,0.030626024636795,0.02296951847759625,0.017227138858197186,0.01292035414364789,0.009690265607735917,0.007267699205801938,0.005450774404351454,0.00408808080326359,0.0030660606024476927,0.0022995454518357694,0.001724659088876827,0.0012934943166576203,0.0009701207374932152,0.0007275905531199114,0.0005456929148399336,0.0004092696861299502,0.00030695226459746263,0.00023021419844809697,0.00017266064883607272,0.00012949548662705455,9.712161497029091e-05
,EPS,,,,,,,,,,,-3.39970485047774,-3.2007974320380197,-4.4388571927720735,0.9332537030288478,3.625011277935886,7.247495246072137,9.085179811112626,11.301608136536126,13.97286517984049,17.190262976185767,21.06338635651155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shares,,,,,,,,,,,52.120701,57.673128,60.995204,60.995204,60.995204,60.995204,60.995204,60.995204,60.995204,60.995204,60.995204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,,,,,,2.275573229545647,0.6806064989409517,0.8,,,,,,,,Discount,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Terminal,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,NPV,5224.507859263181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
