Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
,,,,,,,,,,,,,,,,,,,,,,,,,
,,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0
,1L mCRC US Patients,,,,,,,,,,,,,,,,,,,,,,,,
,1L mCRC EU Patients,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,1L mRCC US Patients,15000.0,15150.0,15301.5,15454.515,15609.06015,15765.1507515,15922.802259015,16082.03028160515,16242.850584421201,16405.279090265412,16569.331881168066,16735.025199979747,16902.375451979544,17071.39920649934,17242.113198564333,17414.534330549977,17588.679673855477,17764.566470594033,17942.212135299975,18121.634256652975,18302.850599219506,18485.8791052117,18670.737896263818,18857.445275226455
,1L mRCC EU Patients,15000.0,15150.0,15301.5,15454.515,15609.06015,15765.1507515,15922.802259015,16082.03028160515,16242.850584421201,16405.279090265412,16569.331881168066,16735.025199979747,16902.375451979544,17071.39920649934,17242.113198564333,17414.534330549977,17588.679673855477,17764.566470594033,17942.212135299975,18121.634256652975,18302.850599219506,18485.8791052117,18670.737896263818,18857.445275226455
,1L mRCC ROW Patients,,,,,,,,,,,,,,,,,,,,,,,,
,Total Patients,30000.0,30300.0,30603.0,30909.03,31218.1203,31530.301503,31845.60451803,32164.0605632103,32485.701168842403,32810.558180530825,33138.66376233613,33470.050399959495,33804.75090395909,34142.79841299868,34484.22639712867,34829.068661099955,35177.35934771095,35529.132941188065,35884.42427059995,36243.26851330595,36605.70119843901,36971.7582104234,37341.475792527635,37714.89055045291
,Market Share,0.0,0.25,0.3,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
,Price,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
,RCC Revenue,0.0,189375.0,229522.5,270454.0125,273158.552625,275890.13815124996,278649.0395327625,281435.5299280901,284249.885227371,287092.3840796447,289963.30792044115,292862.94099964557,295791.570409642,298749.48611373844,301736.98097487586,304754.3507846246,307801.8942924708,310879.91323539556,313988.71236774954,317128.59949142707,320299.8854863414,323502.8843412048,326737.91318461683,330005.29231646296
