Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,2020.0,2021.0,2022.0,2023.0,2024.0
,Mobile Customers,241.5,248.2,245.4,252.2,261.4
,,,,,,
,Revenue,100.1,107.8,114.4,112.0,115.8
,COGS,,,,,47.374
,Gross Margin,,,,,68.42599999999999
,Personnel,,,,,19.004
,Other,,,,,5.632
,Operating Costs,0.0,0.0,0.0,0.0,24.636000000000003
,Operating Income,0.0,0.0,0.0,0.0,43.789999999999985
,,,,,,
,EBITDA,,,40.2,40.5,43.0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,SO,4743.0,4813.0,4972.0,4976.0,4938.0
,,,,,,
,,,,,,
,,,,,,
,CX,,,16.0,16.6,21.0
,FCF,10.8,14.3,15.2,20.9,24.1
