Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112
,Royalty,,,,,,,37.389,,,,47.635999999999996,54.952,50.002,57.032000000000004,56.721,72.96100000000001,54.788,66.13,55.702999999999996,75.73599999999999,46.344,73.221,62.243,93.007,47.785000000000004,48.785000000000004,49.785000000000004,50.785000000000004,,,,,,236.716,252.35699999999997,274.815,197.14000000000001,197.14000000000001,197.14000000000001,197.14000000000001,197.14000000000001,197.14000000000001,197.14000000000001,197.14000000000001,197.14000000000001,197.14000000000001,197.14000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Collab,,,,,,,32.866,,,,12.061,8.229,3.249,1.479,1.479,1.479,1.479,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,,,,,,,81.47,,,,81.64699999999999,83.389,79.935,89.343,90.70299999999999,103.34800000000001,100.49600000000001,108.309,98.05199999999999,127.392,108.833,147.026,139.494,164.877,139.292,147.292,156.292,164.292,,,,,,355.64300000000003,432.77,560.23,607.168,708.9450800000001,760.7399308,812.552730108,864.38365740908,916.2328939831708,927.1006229230026,938.2570291522326,949.7103994437549,961.4692654381925,973.5424109525742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COGS,,,,,,,2.348,,,,4.175,3.509,6.1,8.27,8.631,5.319,12.257,9.914,10.987,12.051,17.533,21.28,21.021,16.894,28.662,14.7292,15.6292,16.4292,,,,,,28.319999999999997,45.209,76.72800000000001,60.716800000000006,70.89450800000002,76.07399308000001,81.25527301080001,86.43836574090801,91.62328939831708,92.71006229230026,93.82570291522326,94.97103994437549,96.14692654381925,97.35424109525742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Margin,,,,,,,79.122,,,,77.472,79.88,73.83500000000001,81.07300000000001,82.07199999999999,98.02900000000001,88.239,98.395,87.065,115.341,91.3,125.74600000000001,118.473,147.983,110.63,132.5628,140.6628,147.8628,,,,,,327.32300000000004,387.561,483.502,546.4512,638.0505720000001,684.66593772,731.2974570972,777.945291668172,824.6096045848537,834.3905606307023,844.4313262370093,854.7393594993794,865.3223388943732,876.1881698573168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R&D,,,,,,,87.314,,,,113.417,123.013,143.155,154.529,237.297,170.808,164.949,164.949,157.245,160.557,178.487,161.503,170.109,187.766,165.772,161.503,170.109,187.766,,,,,,705.789,647.7,697.865,685.15,616.635,554.9715,499.47435,449.52691500000003,404.5742235,364.11680115,327.70512103500005,294.93460893150007,265.4411480383501,238.89703323451508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SG&A,,,,,,,42.123,,,,53.883,59.431,67.312,68.137,69.841,72.849,,81.403,74.917,76.833,78.16,80.604,80.351,82.495,87.797,80.604,80.351,82.495,,,,,,278.139,233.153,321.61,331.247,298.1223,268.31007,241.479063,217.3311567,195.59804103000002,176.038236927,158.43441323430002,142.59097191087002,128.33187471978303,115.49868724780472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Expenses,0,0,0,0,0,0,129.43699999999998,0,0,0,167.3,182.44400000000002,210.46699999999998,222.666,307.138,243.65699999999998,164.949,246.35200000000003,232.162,237.39,256.647,242.10699999999997,250.46,270.26099999999997,253.569,242.10699999999997,250.46,270.26099999999997,,,,,,983.928,880.8530000000001,1019.475,1016.3969999999999,914.7573,823.28157,740.953413,666.8580717,600.17226453,540.155038077,486.13953426930004,437.5255808423701,393.77302275813315,354.3957204823198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Income,0,0,0,0,0,0,-50.31499999999998,0,0,0,-89.82800000000002,-102.56400000000002,-136.63199999999998,-141.593,-225.06599999999997,-145.628,-76.71000000000001,-147.95700000000005,-145.097,-122.04899999999999,-165.34699999999998,-116.36099999999996,-131.98700000000002,-122.27799999999996,-142.939,-109.54419999999996,-109.7972,-122.39819999999997,,,,,,-656.605,-493.2920000000001,-535.973,-469.94579999999996,-276.7067279999999,-138.61563228,-9.655955902799974,111.08721996817201,224.43734005485373,294.23552255370237,358.2917919677093,417.21377865700924,471.54931613624,521.792449374997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interest Income,,,,,,,1.885,,,,-0.007,0.03,0.783,-0.031,2.378,6.378,3.975,-11.4,5.182,10.596,7.219,5.572,13.808,5.944,7.668,7.668,7.668,7.668,,,,,,9.508,8.353,32.543,30.672,30.672,30.672,30.672,30.672,30.672,30.672,30.672,30.672,30.672,30.672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pretax Income,,,,,,,-48.429999999999986,0,0,0,-89.83500000000002,-102.53400000000002,-135.849,-141.624,-222.688,-139.25,-72.73500000000001,-159.35700000000006,-139.91500000000002,-111.45299999999999,-158.128,-110.78899999999996,-118.17900000000003,-116.33399999999996,-135.271,-101.87619999999995,-102.1292,-114.73019999999997,,,,,,-647.097,-484.9390000000001,-503.42999999999995,-439.27379999999994,-246.0347279999999,-107.94363228,21.016044097200027,141.759219968172,255.10934005485373,324.9075225537024,388.9637919677093,447.88577865700927,502.22131613624003,552.464449374997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes,,,,,,,-0.313,,,,0.182,0.02,0.558,0.302,6.287,-1.451,0.732,0.732,0.65,-3.702,0.455,0.858,-0.303,0,0,0,0,0,,,,,,5.696,-1.588,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Income,,,,,,,-48.11699999999998,0,0,0,-90.01700000000002,-102.55400000000002,-136.40699999999998,-141.926,-228.975,-137.799,-73.46700000000001,-160.08900000000006,-140.56500000000003,-107.75099999999999,-158.583,-111.64699999999996,-117.87600000000003,-116.33399999999996,-135.271,-101.87619999999995,-102.1292,-114.73019999999997,,,,,,641.401,486.5270000000001,502.41999999999996,439.27379999999994,-246.0347279999999,-107.94363228,21.016044097200027,141.759219968172,255.10934005485373,324.9075225537024,388.9637919677093,447.88577865700927,502.22131613624003,552.464449374997,524.8412269062471,498.59916556093475,473.669207282888,449.9857469187436,427.4864595728064,406.11213659416603,385.8065297644577,366.5162032762348,348.19039311242307,330.7808734568019,314.24182978396175,298.52973829476366,283.6032513800255,269.4230888110242,255.95193437047294,243.15433765194928,230.9966207693518,219.4467897308842,208.47445024433998,198.05072773212297,188.1481913455168,178.74078177824097,169.8037426893289,161.31355555486246,153.24787777711933,145.58548388826335,138.30620969385018,131.39089920915765,124.82135424869976,118.58028653626477,112.65127220945152,107.01870859897893,101.66777316902999,96.58438451057849,91.75516528504956,87.16740702079707,82.80903666975722,78.66858483626936,74.73515559445589,70.9983978147331,67.44847792399644,64.07605402779662,60.87225132640678,57.82863876008644,54.93720682208212,52.19034648097801,49.580829156929106,47.10178769908265,44.746698314128516,42.50936339842209,40.38389522850098,38.364700467075934,36.44646544372213,34.62414217153602,32.89293506295922,31.248288309811254,29.68587389432069,28.201580199604653,26.79150118962442,25.451926130143196,24.179329823636035,22.970363332454234,21.821845165831522,20.730752907539944
,EPS,,,,,,,-0.7928693074650677,,,,-1.326210218573712,-1.4955984162646163,-1.9622200534697662,-2.0296785609592445,-3.268541903991929,-1.964286447385707,-1.0362352862720752,-2.258018848517161,-1.9614315836993368,-1.3283098743248072,-1.8814803242263878,-1.2895164542562898,-1.234381269373208,-1.215846946133791,-1.404848858094905,-1.0580291654312315,-1.060656681758442,-1.1915236115575405,,,,,,9.174392138733957,6.6063965896210775,5.550954266374239,4.562051705990269,-2.5551789125717295,-1.1210421195021427,0.21826086560773286,1.4722318774660565,2.649422751849296,3.374307590289223,4.0395601347376795,4.651490893859341,5.215789359766078,5.737586406861006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shares,,,,,,,60.687177,,,,67.875363,68.570546,69.516668,69.925358,70.054173,70.152192,70.897991,70.897991,71.664493,81.118873,84.286292,86.580516,95.493996,95.681451,96.28865,96.28865,96.28865,96.28865,,,,,,69.91209775,73.644837,90.51056374999999,96.28865,96.28865,96.28865,96.28865,96.28865,96.28865,96.28865,96.28865,96.28865,96.28865,96.28865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,,,,,,,,,0.11091650642399586,0.2393481154588737,0.25722149246262593,0.21228299922769533,0.08102267841195987,0.2326508495568369,0.08295852571246609,0.3574679851166571,0.4226532860115042,0.29424924642049755,0.27986915733279427,0.0018092038142913935,0.12042095000501818,-0.0035480994923489106,,,,,,,0.21686635193157167,0.29452133927952495,0.08378344608464383,0.16762589596289668,0.0730590454199922,0.06810842603399725,0.06378777078773812,0.05998405468412571,0.011861317151129702,0.012033651961159908,0.012207071128335745,0.012381528096696348,0.012556974984405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maturity,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Discount,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPV,2645.0966415077396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Share,27.977995623933204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
