Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,2013,2024-02-12 00:00:00,Unnamed: 14,Unnamed: 15
,DeepDub,2019,,www.deepdub.ai,,199,4 hours,49.75,,20m,,0.032071,0.092105,,
,Replica Studios,,,www.replicastudios.com,,36,4 hours,9,,,Australia,0.130269,0.090467,,
,Neets.ai,2023,Multiple,www.neets.ai,,,,,0.001,2.5m,,,0.064905,150.75,867
,,,,,,,,,,,,,,,
,Unrealspeech,2022,,www.unrealspeech.com,Eric,4999,"625m chars, 12.5k hours",0.4,0.0079,,"No cloning, a little robotic, but great.",0.016398,0.034521,,
,Rime,2021,Unclear,www.rime.ai,Lily Clifford,75,1m chars (20 hours),3.75,0.075,3.1m,,0.005174,0.005174,370,2822
,LMNT,,,www.lmnt.com,,7,"30k chars, 0.6hrs (35min?)",11.666666666666668,,,10/mo/clone,,0.009794,,
,Gemelo.ai,,,www.gemelo.ai,,99,24 hours,4.166666666666667,,,,,,,
,OpenAI (tts-1),,,www.openai.com,,,,,0.015,,,,,821.3333333333334,10869.333333333334
,OpenAI (tts-1-hd),,,www.openai.com,,,,,0.03,,,,,1309,11126.5
,Amazon Polly (standard),,,aws.amazon.com,,,,,0.004,,,,,91,783
,Amazon Polly (neural),,,aws.amazon.com,,,,,0.016,,,,,140,2449
,Narakeet,,,,,,,,,,,,3.25,,
,Descript,,,,,,,,,,,,2.221,,
,Rask.ai,,,,,,,,,,,,1.155,,
,Typecast,,,,,,,,,,,,0.464106,,
,Google TTS,,,cloud.google.com,,,,,0.004,,,,,157,1525
,Azure (Neural),,,https://azure.microsoft.com/en-us/pricing/details/cognitive-services/speech-services/,,,,,0.015,,,,,465,2342
,Balabolka,,,,,,,,,,,,,,
,Voice Dream Reader,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Non-TTS, no API or 1st-gen",,,,,,,,,,,,,,
,IBM Watson,,,,,20,1m chars (20 hours),1,,,very low quality,,,,
,iFlyTek,,,,,,1m API calls for $1400,,,,very low quality,,,,
,Voice.ai,,,,,,,,,,,1.986,"Voice changer, not TTS",,
,Runway,,,,,,,,,,text-to-video only,,,,
,Respeecher,2018,,,Alex Serdiuk,0.09,1 second,323.99999999999994,,1.5m,,0.109024,"wtf price, no API",,
,Voicemod,,,www.voicemod.net,,,,,,,,3.267,real-time voice changer,,
,Speechki,,,,,99,10k characters,,,,"120/hr for an audiobook, no API",,,,
,SpeechElo,,,,,,,,,,download only,,,,
,Speechmatics,,,,,,,,,,transcription (STT) only,,,,
,Uniphore,,,,,,,,,,ASR suite,,,,
,Aiola,,,,,,,,,,STT,,,,
,Wiz.ai,,,,,,,,,,"no api, talkbot for customer service",,,,
,Coachvox AI,,,,,,,,,,,,,,
,Revoicer,,,,,67 one-time,600k chars/mo,,,,,,,,
,Rephrase AI,,,,,,,,,,text-to-video,,,,
,Voicify,,,,,,,,,,,1.559,no API?,,
,Audiostack.ai,,,,,,,,,,,,,,
,ttsconverter.io,,,,,,,,,,,0.020636,,,
,ttsfree.com,,,,,,,,,,,0.896799,,,
,ReadSpeaker,,,,,,,,,,,0.658545,,,
,iSpeech,,,www.ispeech.org,,,,,,,,,,,
,Vocalware,,,https://www.vocalware.com/index/pricing,,,,,,,,,,,
,Astica.ai,,,,,8e-05,1 word,20,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Narakeet,,,,,,,,,,,,,,
,Speechgen,,,,,,,,,,,,,,
,Voiser,,,,,,,,,,,,,,
,aiVoov,,,,,,,,,,,,,,
,Fliki,,,,,,,,,,,,,,
,Synthesia,,,,,,,,,,,,,,
,Speakatoo,,,,,,,,,,,,,,
,TTSFree,,,,,,,,,,,,,,
,Listnr,,,,,,,,,,,,,,
,speechki,,,,,,,,,,,,,,
