Main,Unnamed: 1,Unnamed: 2,Unnamed: 3
,Last,First,
,Franke,Jens,
,Hendrik,Arjen,
,Lenstra,Arjen,
,Montgomery,Peter,
,Menezes,Alfred,
,Merkle,Ralph,
,Miller,Victor,ECC discovery in 1985.
,Hellman,Martin,"b, 1945 Invented public key cryptography in 1976, won Turing award in 2015."
,Koblitz,Neal,ECC discovery in 1985.
,Law,Laurie,NSA who worked with Solinas from 1996-2007
,Vanstone,Scott,"1947-2014 Founded Certicom in 1985, studied under Ron Mullin, didn't start work in cryptography until the 1980s."
,Diffie,Whitfield,"Diffie-Hellman key exchange, won Turing award in 2015."
,Lehmer,DH,
,Solinas,Jerry,Wrote 1996 NSA paper on electronic cash.
