Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,Stock,P&L,Value,Absolute,Buys,Sells,Buy Avg,Sell Avg,Buy Amt,Sell Amt,Profit,Fee,P&L-ExFee,Fee %,Fee/Shr,Profit,
,AAPL,-587,7209,7209,6493,6733,219.96269,219.94434,1428217.7461700002,1480885.24122,0,271.75,-315.25,9.341367465433379e-05,0.020546650536821413,0,
,ABT,36,-66310,66310,1000,1000,132.55,132.6,132550,132600,1,13.92,49.92,5.2498585706204035e-05,0.00696,1,
,ADBE,-4,15195,15195,490,530,437.22051,437.09717,214238.04989999998,231661.5001,0,60.56,56.56,0.00013581534226710928,0.05937254901960785,1,
,AMZN,-193,27215,27215,2035,2170,196.48253,196.46517,399841.94855,426329.4189,0,127.36,-65.64,0.00015415687957463358,0.030287752675386446,0,
,AVGO,-136,7535,7535,2770,2780,190.1191,190.11831,526629.907,528528.9018,0,136.35,0.3499999999999943,0.00012922225437805585,0.024567567567567568,1,
,BABA,-399,38161,38161,2087,2157,137.90402,137.81283,287805.68974,297262.27431,0,121.77,-277.23,0.00020812966609396084,0.028692271442035816,0,
,COST,-252,0,0,1000,1000,926.436,926.2495,926436,926249.5,0,65.99,-186.01,3.56185655903282e-05,0.032995,0,
,F,-328,0,0,25422,25422,9.58185,9.57947,243589.79069999998,243529.28634000002,0,266.99,-61.00999999999999,0.0005481000695402369,0.0052511604122413656,0,
,GOOGL,-315,15055,15055,4337,4544,163.83113,163.83165,710535.61081,744451.0176,0,232.76,-82.24000000000001,0.00015997397876732285,0.026208760274743833,0,
,JNJ,58,-9927,9927,330,330,165.60909,165.84955,54650.9997,54730.3515,1,21.6,79.6,0.00019747424732855193,0.03272727272727273,1,
,JPM,-31,9312,9312,1883,1888,228.92589,228.97789,431067.45087,432310.25632,0,128.46,97.46000000000001,0.00014878771936108185,0.03406523468575975,1,
,KO,-51,12041,12041,855,685,71.15012,71.10401,60833.3526,48706.24685,0,36.52,-14.479999999999997,0.0003333954130138094,0.023714285714285716,0,
,LLY,64,0,0,120,120,820.6925,821.315,98483.1,98557.8,1,10.77,74.77,5.465870283783721e-05,0.044875,1,
,META,160,167378,167378,880,880,607.39227,607.67841,534505.1976000001,534757.0008,1,92.07,252.07,8.61061020746546e-05,0.0523125,1,
,MSFT,14,-5670,5670,0,15,0,381.54,0,5723.1,1,1.16,15.16,0.00020268735475528993,0.07733333333333332,1,
,NVDA,-251,0,0,7976,8276,108.86861,108.86449,868336.03336,900962.51924,0,264.99,13.990000000000009,0.00014977121843602644,0.0163050701452129,1,
,NVO,-36,12388,12388,2850,2799,77.53289,77.52987,220968.7365,217006.10613,0,46.7,10.700000000000003,0.00010662712889984881,0.008266949902637636,1,
,ORCL,-386,5668,5668,4290,4340,142.1007,142.06266,609612.0029999999,616551.9443999999,0,117.16,-268.84000000000003,9.555002840234381e-05,0.013575898030127462,0,
,PFE,-9,0,0,4500,4500,25.95111,25.96,116779.995,116820,0,49.31,40.31,0.0002110873332852597,0.005478888888888889,1,
,PG,129,-4672,4672,813,813,173.16295,173.38449,140781.47835,140961.59037,1,51.11,180.11,0.00018140641483107363,0.0314329643296433,1,
,TSM,-273,-25378,25378,1700,1850,170.08941,170.06041,289151.997,314611.7585,0,81.18,-191.82,0.00013445656394655843,0.02286760563380282,0,
,UNH,53,0,0,180,180,483.40167,483.77833,87012.3006,87080.09939999999,1,14.46,67.46000000000001,8.305934090172805e-05,0.04016666666666667,1,
,V,150,9909,9909,1050,1160,331.11276,331.39603,347668.398,384419.3948,1,65.96,215.95999999999998,9.009848360908224e-05,0.02984615384615384,1,
,WMT,-257,-10672,10672,2201,1970,88.54191,88.36805,88.36203,174085.05849999998,0,66.31,-190.69,0.00038071250939564937,0.0158978662191321,0,
,Total,-2844,204437,449695,75262,76142,,,8729784.147479996,9138780.36708,0,3752.3985480575993,908.3985480575993,0.00021,0.024784011968360144,1,
,,-0.006324286460823447,0.4546125707423921,,,,,,17868564.514559995,,,,,0.3333333333333333,,,0.5833333333333334
,,-0.00015916219781855444,,,,,,,,,,,,,,,
