2. Product Sales Analysis (vs PY Reported Actual)         Sales amount includes royalty income and service income,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Table of Contents
,■ Year To Date,,,,,,,,,,,,,,
,,Reported,,,,,,,,,,,,,
,,FY20Q4 YTD,FY21Q4 YTD,YOY,US,YOY,,,,,,,Ex-US,YOY,
,(Bn JPY),,,,,,Japan,YOY,EUCAN,YOY,GEM*5,YOY,,,
,REPLAGAL *3,51.8,51.7,-0.001,0,-,,,,,,,51.7,-0.001,
,VPRIV,38.5,42.4,0.10099999999999999,17.5,0.11699999999999999,1.3,0.138,15.6,0.075,8,0.114,,,
,NATPARA/NATPAR,3.6,5.4,0.507,0,-,0,-,5.3,0.42100000000000004,0.1,-0.265,,,
Rare Hematology,,289.8,283.7,-0.021,120,-0.009000000000000001,24.8,-0.03,67.1,-0.040999999999999995,71.8,-0.018000000000000002,,,
,ADVATE,128.5,118.5,-0.078,55.1,-0.081,5.7,-0.114,25.6,-0.172,32.1,0.027000000000000003,,,
,ADYNOVATE/ADYNOVI,58.1,60.7,0.046,26.1,0.011000000000000001,14.8,-0.013000000000000001,14.4,0.094,5.4,0.33,,,
,FEIBA *4,44.5,39.2,-0.12,12.6,0.24600000000000002,0.7,-0.254,9.8,-0.10099999999999999,16.1,-0.28800000000000003,,,
,RECOMBINATE,13.4,12.3,-0.08199999999999999,11.4,-0.052000000000000005,0,-,0.8,-0.047,0.1,-0.8190000000000001,,,
,HEMOFIL/IMMUNATE/IMMUNINE*4,18.7,17.7,-0.05,3.4,-0.004,0,-,4.2,-0.076,10.1,-0.054000000000000006,,,
,Other PDT Products *4 *6,3.5,3.9,0.132,0,-,0,-,3.5,0.201,0.4,-0.258,,,
,Others *7,23.2,31.4,0.353,11.3,0.161,3.6,0.121,8.8,0.311,7.7,1.179,,,
Hereditary Angioedema,,139.3,153.6,0.102,110.4,0.027000000000000003,1.7,0.292,35.5,0.36700000000000005,5.9,0.305,,,
,TAKHZYRO,86.7,103.2,0.19100000000000003,79.1,0.08199999999999999,0,-,21,0.7090000000000001,3.1,1.3900000000000001,,,
,FIRAZYR,26.8,26.7,-0.005,13.5,-0.068,1.7,0.292,9.2,0.129,2.3,-0.20800000000000002,,,
,CINRYZE *4,21.9,19.3,-0.11800000000000001,13.5,-0.157,0,-,5.3,-0.044000000000000004,0.6,0.474,,,
,KALBITOR,3.9,4.4,0.113,4.4,0.113,0,-,0,-,0,-1,,,
Others,,0,1.3,-,1.3,-,0,-,0,-,0,-,,,
,*1 The figures include the amounts of fixed dose combinations and blister packs.,,,,,,,,,,,,,,
,*2 generic name: pantoprazole,,,,,,,,,,,,,,
,*3 License-out product : Regional breakdown is not available due to contract.,,,,,,,,,,,,,,
,*4 PDT products,,,,,,,,,,,,,,
,"*5 GEM: Growth and Emerging Markets, which include Asia (excluding Japan), Latin America, Russia/CIS, Middle East, Oceania and Africa",,,,,,,,,,,,,,
,"*6 Other PDT products in Rare Hematology include BEBULIN, PROTHROMPLEX and Factor VII.",,,,,,,,,,,,,,
,"*7 Others in Rare Hematology include VONVENDI, OBIZUR, RIXUBIS, AGRYLIN/XAGRID, OCTOFACTOR, COAGIL-VII, INNONAFACTOR, and Other Hemophilia.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Reported,,,,,,,,,,,,,
,,FY20Q4 YTD,FY21Q4 YTD,YOY,US,YOY,,,,,,,Ex-US,YOY,
,(Bn JPY),,,,,,Japan,YOY,EUCAN,YOY,GEM*5,YOY,,,
PDT Immunology ,,420.4,507,0.20600000000000002,329.9,0.139,,,,,,,177.1,0.354,
,immunoglobulin *1,334.9,385.9,0.152,288.3,0.136,,,,,,,97.6,0.204,
,albumin *1,57.6,90,0.564,17.4,0.218,,,,,,,72.6,0.6779999999999999,
,Others *1 *6,27.9,31.1,0.11199999999999999,24.2,0.126,,,,,,,6.8,0.063,
Oncology,,416.5,468.7,0.125,222.1,0.10400000000000001,84.3,0.066,79.1,0.085,74.3,0.389,9,-0.083,
,VELCADE *2,101.1,110,0.08800000000000001,106.7,0.10800000000000001,,,,,,,3.4,-0.302,
,LEUPLIN/ENANTONE,95.4,106.5,0.11599999999999999,24,0.8570000000000001,27.3,-0.22100000000000003,32.2,0.055,23,0.36,,,
,NINLARO,87.4,91.2,0.044000000000000004,53.7,-0.057,6.1,0.203,13.6,0.009000000000000001,17.8,0.5,,,
,ADCETRIS,59.4,69.2,0.16399999999999998,0,-,11.5,0.044000000000000004,28.2,0.10099999999999999,29.5,0.294,,,
,ICLUSIG *2,34.2,34.9,0.019,29.2,0.001,,,,,,,5.6,0.129,
,VECTIBIX,23.8,24.7,0.037000000000000005,,,24.7,0.037000000000000005,,,,,,,
,ALUNBRIG,8.8,13.6,0.549,6.7,0.149,1,-,3.9,0.821,2,1.453,,,
,Others,6.4,18.6,1.9169999999999998,1.8,57.691,13.6,2.3169999999999997,1.2,0.053,1.9,0.8340000000000001,,,
Neuroscience,,417.3,482.3,0.156,371.6,0.157,34.8,-0.091,65.7,0.295,10.2,0.41700000000000004,,,
,VYVANSE/ELVANSE,271.5,327.1,0.204,268.6,0.17,0.5,70.997,48.7,0.37700000000000006,9.3,0.423,,,
,TRINTELLIX,68.9,82.3,0.195,76.9,0.151,5.4,1.672,,,0,-1,,,
,INTUNIV,20.4,18.9,-0.07200000000000001,0.1,-0.831,7.1,-0.33,10.9,0.298,0.8,0.325,,,
,ADDERALL XR,17.8,20.9,0.17500000000000002,18.9,0.16399999999999998,0,-,2,0.29,0,-,,,
,ROZEREM,12,11.7,-0.028999999999999998,-0.2,-,11.8,0.008,0,-,0.1,1.263,,,
,Others *7,26.7,21.4,-0.197,7.4,0.002,10,-0.28300000000000003,4.1,-0.24600000000000002,0,-0.562,,,
Others *3,,574.1,624.1,0.087,,,,,,,,,,  ,
,AZILVA-F *4,82.2,76.3,-0.07200000000000001,0,-,76.3,-0.07200000000000001,0,-,0,-,,,
,LOTRIGA,31.8,32.7,0.028999999999999998,,,32.7,0.028999999999999998,,,,,,,
,AIPHAGAN,15.9,14.9,-0.064,0,-,14.9,-0.064,0,-,0,-,,,
,FOSRENOL *2,13.5,13.6,0.01,1.7,-0.102,,,,,,,11.9,0.027999999999999997,
,ACTOVEGIN,10.7,13.4,0.254,0,-,0,-,0.7,0.23,12.7,0.256,,,
,*1 PDT products,,,,,,,,,,,,,,
,*2 License-out product : Regional breakdown is not available due to contract.,,,,,,,,,,,,,,
,*3 The 133.0 billion JPY selling price of the sale of diabetes portfolio in Japan is included in FY21Q4YTD.,,,,,,,,,,,,,,
,*4 The figures include the amounts of fixed dose combinations.,,,,,,,,,,,,,,
,"*5 GEM: Growth and Emerging Markets, which include Asia (excluding Japan), Latin America, Russia/CIS, Middle East, Oceania and Africa",,,,,,,,,,,,,,
,"*6 Other in PDT Immunology include ARALAST, GLASSIA, CEPROTIN, ANTITHROMBIN III, KENKTSU-NONTHRON and others",,,,,,,,,,,,,,
,"*7 Others in Neuroscience include REMINYL, COPAXONE, AZILECT, MYDAYIS, BUCCOLAM, EQUASYM and CARBATROL",,,,,,,,,,,,,,
