Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,Brand,Generic,FDA Approval,MOA,Indication,Form,Company,Peak Revenue,Notes
,Desoxyn,methamphetamine,1943-12-31 00:00:00,DAT inhibitor,ADHD,tablet,Key,25,
,Ritalin,methylphenidate,1955-12-05 00:00:00,DAT inhibitor,ADHD,tablet,NVS,400,
,Atarax,hydroxyzine,1956-04-12 00:00:00,H1 antagonist,Anxiety,tablet,PFE,50,
,Thorazine,chlorpromazine,1957-11-20 00:00:00,D2 antagonist,Schizophrenia,tablet,GSK,50,Antipsychotic activity discovered in 1952
,Tofranil,imipramine,1959-10-02 00:00:00,SNRI,Depression,injection,NVS,50,
,Adderall,"amphetamine aspartate, sulfate, dextroamphetamine saccharate, sulfate",1960-01-19 00:00:00,DAT inhibitor,ADHD,tablet,,200,
,Librium,chlordiazepoxide,1960-02-24 00:00:00,GABA agonist,Anxiety,capsule,,50,
,Prolixin,fluphenazine,1960-08-24 00:00:00,D2 antagonist,Schizophrenia,tablet,,50,
,Parnate,tranylcypromine,1961-02-21 00:00:00,MAO,Depression,tablet,,50,
,Elavil,amitriptyline,1961-04-07 00:00:00,MAO,Depression,tablet,,100,
,Nardil,phenelzine,1961-06-09 00:00:00,MAO,Depression,tablet,PFE,50,
,Mellaril,thioridazine,1962-03-15 00:00:00,D2 antagonist,Schizophrenia,tablet,NVS,50,
,Valium,diazepam,1963-11-15 00:00:00,GABA agonist,Anxiety,tablet,,200,
,Serax,oxazepam,1965-06-04 00:00:00,GABA agonist,Anxiety,,,50,
,Tegretol,carbamazepine,1968-03-11 00:00:00,Na+ channel blocker,Bipolar Disorder,tablet,NVS,400,
,Sinequan,doxepin,1969-09-23 00:00:00,MAO,Depression,capsule,PFE,50,
,"Lithonate, Lithobid",lithium carbonate,1970-04-06 00:00:00,Unknown,Bipolar Disorder,,,50,
,Narcan,naloxone,1971-04-13 00:00:00,opioid receptor antagonist,Opioid Use Disorder,injection,,50,
,Haldol,haloperidol lactate,1971-05-18 00:00:00,D2 antagonist,Schizophrenia,,JNJ,200,Used in the 1960s?
,Moban,molindone,1974-01-18 00:00:00,D2 antagonist,Schizophrenia,"tablet, capsule",,50,
,Klonopin,clonazepam,1975-06-04 00:00:00,GABA agonist,Anxiety,,ROG,200,
,Centrax,prazepam,1976??,GABA agonist,Anxiety,,PFE,50,
,Dexedrine,dextroamphetamine sulfate,1976-08-02 00:00:00,DAT inhibitor,ADHD,capsule,,50,
,Pamelor,nortriptyline,1977-08-01 00:00:00,MAO,Depression,capsule,,50,
,Ativan,lorazepam,1977-09-30 00:00:00,GABA agonist,Anxiety,tablet,,100,
,Depakene,valproic acid,1978-02-28 00:00:00,GABA agonist,Bipolar Disorder,capsule,ABBV,100,
,Xanax,alprazolam,1981-10-16 00:00:00,GABA agonist,Anxiety,,PFE,200,
,Depakote,divalproex,1983-03-10 00:00:00,GABA agonist,Bipolar Disorder,tablet,ABBV,300,
,Seconal,secobarbital,1983-10-03 00:00:00,GABA agonist,Anxiety,,,50,
,Orap,pimozide,1984-07-31 00:00:00,D2 antagonist,Schizophrenia,tablet,TEVA?,50,
