Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
,Brand,,
,Aptivus,,
,Atrovent,,
,Combivent,,
,Gallimune,,
,Giotrif,,
,Glyxambi,,
,Jaradiance,,
,Micardis,,
,Ofev,,
,Pradaxa,,
,Spiriva,,
,Synjardy,,
,Trajenta,,
,Twynsta,,
,Viramune,,
,,,
,Iclepertin,GlyT1,Schizophrenia
,Spesolimab,IL-36R,Psoriasis
,BI 1358894,TRPC4/5,Depression
,BI 764524,,Ischemia
,BI 706321,TKI,Crohn's
