Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,Brand,Generic,Economics,Indication,MOA,
,Androgel,,,,,
,Kaletra,,,,,
,Niaspan,,,,,
,"Rinvoq, fka ABT-494",upadacitinib,1,Rheumatoid Arthritis,JAK,
,Survanta,,,,,
,Synagis,,AZN,,,
,Tricor,,,,,
,"Venetoclax, ABT-199",,,,,
,Zemplar,,,,,
,ABT-267,ombitasvir,,,,
,ABT-450,paritaprevir,,,,
,Restasis (cyclosporine),Dry Eye,,,,Eyedrop
,Orilissa (elagolix),Uterine Fibroids,,,NBIX,Oral
,"Viekira (paritaprevir, ombitasvir)",HCV,,,1,Oral
,Durysta (bimatoprost),Glaucoma,,,,Eyedrop
,,,,,,
,,,,,,
,,,,,,
,,atrasentan,KDNY,DN,,
,ABT-179,modimelanotide,,AKI,MCR/alpha-MSH,
,ABT-126,,,Alzheimer's,alpha7,
,ABT-165,,,Oncology,VEGF/DLL4,
,ABT-122,,,RA,TNF/IL-17A,
,,,,,,
,,,,,,
,ABBV-916,Alzheimer's,discontinued,aBeta-pE3 mab,,
