Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86
,Services,,,,,,,,12.123,,,,48.385,,,,,,,,,,,,88.032,146.363,238.0857,419.34427,666.030697,983.7269167000001,1378.34454162,1792.381232437,2226.7196335050753,2682.2793763065056,3160.018654862178,3660.935877434457,4186.071399187832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,,,,,54.895,62.045,67.661,59.991,92.767,106.251,104.808,132.388,120,145,170,195,168,203,237.99999999999997,273,,210.0,210.0,244.59199999999998,436.214,630.0,882.0,1166.893225,1584.7619503,2099.5865819399996,2657.871680821,3265.308171565875,3928.585621979465,4655.58614966973,5455.616871203519,6339.6885917107065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COGS,,,,,,47.452,52.694,44.499,68.593,79.089,76.812,95.571,84,,,,,,,,,,,193.183,320.06500000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Profit,,,,,,14.593000000000004,14.966999999999999,15.491999999999997,24.173999999999992,27.162000000000006,27.99600000000001,36.81700000000001,36,43.5,51,58.5,53.76,64.96000000000001,76.16,87.36,,210.0,210.0,51.40899999999999,116.14899999999994,195.3,291.06,385.07476425000004,522.971443599,692.8635720401999,877.0976546709301,1077.5516966167388,1296.4332552532235,1536.343429391011,1800.3535674971613,2092.097235264533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R&D,,,,,,31.035,26.626,37.488,38.504,39.912,47.723,48.255,51.255,,,,,,,,,,,119.054,174.394,191.8334,220.60841,253.69967149999997,291.75462222499993,335.5178155587499,385.84548789256235,443.72231107644666,510.2806577379136,586.8227563986006,674.8461698583907,776.0730953371492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SG&A,,,,,,28.717,27.2,25.887,28.749,30.524,32.172,40.111,43.111,,,,,,,,,,,110.273,131.55599999999998,144.7116,166.41834,191.381091,220.08825464999998,253.10149284749997,291.0667167746249,334.72672429081865,384.93573293444143,442.6760928746076,509.0775068057987,585.4391328266685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Expenses,,,,,0,59.751999999999995,53.826,63.375,67.253,70.436,79.895,88.366,94.366,0,0,0,0,0,0,0,,0.0,0.0,229.327,305.95,336.545,387.02675,445.0807625,511.8428768749999,588.6193084062498,676.9122046671873,778.4490353672653,895.216390672355,1029.4988492732082,1183.9236766641893,1361.5122281638178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Income,,,,,0,-45.15899999999999,-38.859,-47.883,-43.07900000000001,-43.274,-51.89899999999999,-51.54899999999999,-58.366,43.5,51,58.5,53.76,64.96000000000001,76.16,87.36,,210.0,210.0,-177.918,-189.80100000000004,-141.245,-95.96674999999999,-60.00599824999995,11.128566724000166,104.24426363395003,200.18545000374274,299.1026612494735,401.21686458086845,506.8445801178027,616.429890832972,730.5850071007153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interest Income,,,,,,0.121,-0.2370000000000001,-1.209,,1.069,1.3940000000000001,-0.4990000000000001,0,,,,,,,,,,,-0.5330000000000004,1.964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pretax Income,,,,,0,-45.03799999999999,-39.096000000000004,-49.092000000000006,-43.07900000000001,-42.205,-50.50499999999999,-52.047999999999995,-58.366,43.5,51,58.5,53.76,64.96000000000001,76.16,87.36,,210.0,210.0,-178.451,-187.83700000000005,-141.245,-95.96674999999999,-60.00599824999995,11.128566724000166,104.24426363395003,200.18545000374274,299.1026612494735,401.21686458086845,506.8445801178027,616.429890832972,730.5850071007153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes,,,,,,0,1.352,1.011,,0,0.944,0.675,0,,,,,,,,,,,0.675,1.619,,-9.596675,-6.000599824999995,1.1128566724000166,10.424426363395003,20.018545000374274,29.910266124947352,40.12168645808685,50.68445801178027,61.6429890832972,73.05850071007153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Income,,,,,0,-45.03799999999999,-40.448,-50.10300000000001,-43.07900000000001,-42.205,-51.44899999999999,-52.72299999999999,-58.366,43.5,51,58.5,53.76,64.96000000000001,76.16,87.36,,210.0,210.0,-179.126,-189.45600000000005,-141.245,-86.37007499999999,-54.00539842499995,10.015710051600148,93.81983727055503,180.16690500336847,269.1923951245262,361.0951781227816,456.1601221060224,554.7869017496748,657.5265063906438,664.1017714545503,670.7427891690958,677.4502170607867,684.2247192313946,691.0669664237085,697.9776360879456,704.957412448825,712.0069865733133,719.1270564390464,726.3183270034369,733.5815102734713,740.917325376206,748.3264986299681,755.8097636162678,763.3678612524304,771.0015398649548,778.7115552636044,786.4986708162404,794.3636575244028,802.3072940996468,810.3303670406433,818.4336707110498,826.6180074181603,834.884187492342,843.2330293672654,851.6653596609381,860.1820132575475,868.7838333901229,877.4716717240242,886.2463884412645,895.1088523256772,904.0599408489339,913.1005402574233,922.2315456599976,931.4538611165975,940.7683997277635,950.1760837250412,959.6778445622916,969.2746230079146,978.9673692379937,988.7570429303736,998.6446133596774,1008.6310594932742,1018.717370088207,1028.904543789089,1039.19358922698,1049.58552511925,1060.0813803704425,1070.6821941741468
