Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424
,NorthAm,,,,,883,,,,1116,,,,,,,,,,,
,EMEA,,,,,343,,,,434,,,,,,,,,,,
,APAC,,,,,134,,,,172,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,cRPO,,,,,,,,,5690,,,,,,,,,,,
,RPO,,,,,,,,,11500,,,,,,,,,,,
,Digital workflow,,,,,1131,,,,1440,,,,,,,,,,,
,ITOM,,,,,162,,,,191,,,,,,,,,,,
,Subscription,,,,,1293,,,,1631,,,,,2075,,,,2542,,
,Services,,,,,67,,,,91,,,,,75,,,,85,,
,Revenue,,,,,1360,,,,1722,0,0,0,0,2150,0,0,0,2627,,
,COGS,,,,,299,,,,369,,,,,471,,,,552,,
,Gross Margin,,,,,1061,,,,1353,,,,,1679,,,,2075,,
,S&M,,,,,524,,,,673,,,,,832,,,,960,,
,R&D,,,,,314,,,,414,,,,,521,,,,643,,
,G&A,,,,,126,,,,179,,,,,209,,,,232,,
,OpEx,,,,,964,,,,1266,,,,,1562,,,,1835,,
,OpInc,,,,,97,,,,87,,,,,117,,,,240,,
,Interest,,,,,2,,,,-2,,,,,57,,,,94,,
,Pretax,,,,,99,,,,85,,,,,174,,,,334,,
,Taxes,,,,,17,,,,10,,,,,0,,,,72,,
,Net Income,,,,,82,,,,75,,,,,174,,,,262,,
,EPS,,,,,0.40540273300769275,,,,0.3698224852071006,,,,,0.848780487804878,,,,1.2596153846153846,,
,Shares,,,,,202.268,,,,202.8,,,,,205,,,,208,,
,,,,,,,,,,,,,,,,,,,,,
,Revenue Growth,,,,,,,,,0.26617647058823524,,,,,,,,,0.221860465116279,,
,,,,,,,,,,,,,,,,,,,,,
,Cash,,,,,,,,,5498,,,,,,,,,8885,,
,AR,,,,,,,,,824,,,,,,,,,1518,,
,Commissions,,,,,,,,,977,,,,,,,,,1410,,
,Prepaid,,,,,,,,,282,,,,,,,,,608,,
,PP&E,,,,,,,,,798,,,,,,,,,1606,,
,Lease,,,,,,,,,583,,,,,,,,,675,,
,Intangibles,,,,,,,,,1040,,,,,,,,,1459,,
,Taxes,,,,,,,,,686,,,,,,,,,1447,,
,Other,,,,,,,,,305,,,,,,,,,599,,
,Assets,,,,,,,,,10993,,,,,,,,,18207,,
,,,,,,,,,,,,,,,,,,,,,
,AP,,,,,,,,,166,,,,,,,,,296,,
,Accrued Expenses,,,,,,,,,661,,,,,,,,,1163,,
,DR,,,,,,,,,3907,,,,,,,,,5700,,
,Lease,,,,,,,,,635,,,,,,,,,767,,
,Debt,,,,,,,,,1572,,,,,,,,,1488,,
,OLTL,,,,,,,,,55,,,,,,,,,127,,
,SE,,,,,,,,,3997,,,,,,,,,8666,,
,L+SE,,,,,,,,,10993,,,,,,,,,18207,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Model NI,,,,,,,,,75,,,,,,,,,262,,
,Reported NI,,,,,,,,,75,,,,,,,,,262,,
,D&A,,,,,,,,,101,,,,,,,,,136,,
,Amortization of DC,,,,,,,,,83,,,,,,,,,132,,
,SBC,,,,,,,,,325,,,,,,,,,444,,
,Taxes,,,,,,,,,-2,,,,,,,,,24,,
,Other,,,,,,,,,15,,,,,,,,,-7,,
,WC,,,,,,,,,266,,,,,,,,,-371,,
,CFFO,,,,,,,,,863,,,,,,,,,620,,
,,,,,,,,,,,,,,,,,,,,,
,CapEx,,,,,,,,,-93,,,,,,,,,-262,,
,Acquisitions,,,,,,,,,,,,,,,,,,-40,,
,Investments,,,,,,,,,-187,,,,,,,,,-69,,
,CFFI,,,,,,,,,-280,,,,,,,,,-371,,
,,,,,,,,,,,,,,,,,,,,,
,Converts,,,,,,,,,-6,,,,,,,,,0,,
,ESOP,,,,,,,,,105,,,,,,,,,-137,,
,Taxes,,,,,,,,,-150,,,,,,,,,0,,
,CFFF,,,,,,,,,-51,,,,,,,,,-137,,
,FX,,,,,,,,,-5,,,,,,,,,-9,,
,CIC,,,,,,,,,527,,,,,,,,,103,,
