Main,Unnamed: 1,Unnamed: 2
,Brand,Xdemvy
,Generic,Lotilaner
,Approval,7/24/2023 FDA
,IP,"8383659 - composition of matter from Elanco, expires 2030"
,,12/17/2009 - application date - 12/17/2029
,,2/26/2013 - issue date - 2/26/2030
,,US10835517B2 - obvious method of use
,,11197847 - obvious method of use
,,11690826 - obvious method of use
,,11752137 - continuation
,Payors,Medicare is 50% of the market.
,Clinical Trials,
