Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
,EUR in 000s,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,,,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0
,Europe,,,,,,,,,191,191.3,194.9,201.8,189.7,,,,,,,,,,,,
,Asia,,,,,,,,,197.6,200.7,202.2,202.2,201.9,,,,,,,,,,,,
,,,,,,,,,,62.1,60.2,64.8,70.6,71.5,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Live,,,,,,371.8,385.8,405.6,431.3,438.1,,,,,,,,,,,,,,,
,RNG,,,,,,69.3,66.8,69.8,70.1,70.3,,,,,,,,,,,,,,,
,Revenue,326.767,343.958,378.532,407.48,429.549,441.1,452.6,475.40000000000003,501.45099999999996,508.41,519.4,533.8,520.9,,,,,,365.8,561.1,1068.8,1456.737,1798.6490000000001,2063.0609999999997,
,Net Profit,197.689,200.873,221.297,223.502,251.15000000000003,264.089,272.76,282.859,269.157,269.143,328.611,285.69599999999997,254.7,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,FTEs,,,,,17331,17447,17823,19221,20537,21141,20772,21252,22223,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,0.3145421661306067,0.28242401688578256,0.1956717001468833,0.16668302738784724,0.16738951784313305,0.15259578326910006,0.14759169244365866,0.12284392090870822,0.03878544463965583,,,,,,,0.5338983050847457,0.9048297986098732,0.36296500748503013,0.23471086407498398,0.14700589164422828,
,FTE y/y,,,,,,,,,0.18498644048237267,0.21172694446036577,0.16546036020871902,0.10566567816450756,0.08209572965866485,,,,,,,,,,,,
