Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
,Alchemy,Series B,2021-04-28 00:00:00,$80M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Alchemy,Series A,2019-12-17 00:00:00,$15M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Aleo,Series A,2021-04-20 00:00:00,$28M,,,,,,,,,,,,,,,,,,,,,Polychain
,Alkimiya Labs,,2021-06-02 00:00:00,—,,,,,,,,,,,,,,,,,Dragonfly,,,,
,Alluva,ICO,2019-03-01 00:00:00,$10M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,AltLayer,Seed,2022-07-04 00:00:00,$7.2M,,,,,,,Jump Crypto,,,,,,,,,,,,,,Polychain
,Altonomy,Seed,2019-07-15 00:00:00,$7M,,,,,,,,,,,,,,,,,,,,,Polychain
,Amber Group,Series B,2022-02-21 00:00:00,$200M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Amber Group,Series B,2021-06-20 00:00:00,$100M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Amber Group,Series A,2020-02-14 00:00:00,$28M,,,,,,,,,Pantera Capital,,,,,,,,Dragonfly,Paradigm,,,Polychain
,Ampleforth,,2018-12-10 00:00:00,$1.8M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Ampleforth,Seed,2018-03-19 00:00:00,$3M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Anchor Protocol,,2021-03-17 00:00:00,$20M,,,,,,,,,Pantera Capital,,,,,,,,Dragonfly,,,,
,Anchorage,Series A,2019-01-23 00:00:00,$17M,,,,,,,,,,,,,,,,,,,,,Polychain
,Ancient8,Seed,2022-06-08 00:00:00,$6M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Ancient8,Seed,2022-01-19 00:00:00,$4M,,,,,,,,,Pantera Capital,,,,,,,,Dragonfly,,,,
,Angelic,Seed,2022-03-25 00:00:00,$10M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Ankr,,2018-06-21 00:00:00,$15M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Anoma,Series A,2021-11-17 00:00:00,$26M,,,,,,,,,,,,,,,,,,,,,Polychain
,Anoma,,2021-01-31 00:00:00,$6.8M,,,,,,,,,,,,,,,,,,,,,Polychain
,Apex,Seed,2022-03-03 00:00:00,—,,,,,,,,,,,,,,,,,Dragonfly,,,,
,API3,Seed,2020-11-12 00:00:00,$3M,,,,,,,,,Pantera Capital,,,,,,,,,,Digital Currency Group,,
,Aptos,Seed,,,,,,,,Multicoin,,,,,,,,,a16z,,,,,,
,Aptos,Series A,,,,,,,,Multicoin,Jump Crypto,,,,,,,,a16z,,,,,,
,Arcade,Series A,2021-12-22 00:00:00,$15M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,ARCx,,2021-06-02 00:00:00,$1.3M,,,,,,,,,,,,,,,,,Dragonfly,,,,
,Argent,Series B,2022-04-28 00:00:00,$40M,,,,,,,,,,,,,,,,,,Paradigm,,,
,Argent,Series A,2020-03-09 00:00:00,$12M,,,,,,,,,,,,,,,,,,Paradigm,,,
,AscendEX,Series B,2021-11-03 00:00:00,$50M,,,,,,,,,,,,,,,,,,,,,Polychain
,Astar Network,,2022-01-28 00:00:00,$22M,,,,,,,,,,,,,,,,,,,,,Polychain
,Audius,,2021-09-16 00:00:00,$5M,,,,,,Multicoin,,,Pantera Capital,,,,,,,,,,,,
,Audius,,2020-07-30 00:00:00,$3.1M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
,Audius,Series A,2018-08-08 00:00:00,$5.5M,,,,,,,,,Pantera Capital,,,,,,,,,,,,
