Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,Brand (generic),MOA,Company,Indications,Approved,BLA/NDA
,Avastin (bevacizumab),VEGF,ROG,,,
,Keytruda (pembrolizumab),PD-1,MRK,"RCC, gastric cancer",2014-09-04 00:00:00,125514
,Opdivo (nivolumab),PD-1,BMY,,2014-12-22 00:00:00,125527
,Imfinzi (durvalumab),PD-L1,AZN,,2017-05-01 00:00:00,
,Tecentriq (atezolizumab),PD-L1,ROG,,2016-05-18 00:00:00,
,Bavencio (avelumab),PD-L1,MRK GR/PFE,,2017-03-23 00:00:00,
,Libtayo (cemiplimab),PD-1,REGN/SNY,,2018-09-28 00:00:00,
,Jemperli (dostarlimab),PD-1,GSK,,2021-07-22 00:00:00,
,Uloxcyt (cosibelimab),PD-L1,CKPT,,2024-12-13 00:00:00,
,Xeloda (capecitabine),,ROG,,,
,Zelboraf (vemurafenib),RAF,ROG,,,
,Erbitux (cetuximab),EGFR,MRK GR,,,
,Truqap (capivasertib),AKT,AZN,HR+ HER2- mBC,2023-11-16 00:00:00,
,anastrozole,aromatase inhibitor,,,,
,gemcitabine,,,,,
,paclitaxel,,,,,
,nab-paclitaxel,,,,,
,docetaxel,,,,,
,Lenvima (lenvatinib),VEGF,MRK/Eisai,RCC,,
,Herceptin (trastuzumab),HER2,,,,
,Enhertu,,,,,
,Pluvicto (Lu-177 vipivotide tetraxetan),radiolabeled PSMA,NVS,mCRPC,,
,Piqray (alpelisib),PI3Kalpha,NVS,aBC,,
,imlunestrant,SERD,LLY,,,
,BNT327/PM8002,PD-L1/VEGF,BNTX,"SCLC, NSCLC",,
,berzosertib,ATR,MRK GR/VRTX,,,
,ZN-c3,Wee1,ZNTL,,,
,BNT325/DB-1305,TROP2 ADC,BNTX,,,
,BNT323/DB-1303 (trastuzumab pamirtecan),HER2 ADC,BNTX,,,
,BNT326/YL202,HER3 ADC,BNTX,,,
,boserlimab,CD27 agonist mab,"MRK, Chinook",,,
,MK-0482,ILT3 mab,MRK,,,
,MK-4830,ILT4 mab,MRK,,,
,MK-4280 (favezelimab),LAG3,MRK,,,
,MK-2400 (ifinatamab deruxtecan),B7-H3 ADC,MRK/Daiichi,,,
,,,,,,
,tiragolumab,TIGIT,Roche,,III,
,MK-7684 (vibostolimab),TIGIT,MRK,,,
,cetrelimab,PD-1,JNJ,,,
,tislelizumab,PD-1,NVS,,,
,budigalimab,PD-1,ABBV,,,
