Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52
,,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,,,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,,,
,Product,,,,,0,0,0,0,21.163,74.833,131.329,173.396,218,269.313,329.097,374.351,398.365,477.635,573,737,,,,,,,,0.0,0.0,400.721,1190.761,2186.0,3500.0,4500.0,5500.0,6000.0,6500.0,7000.0,7500.0,8000.0,8500.0,9000.0,9500.0,10000.0,5000.0,4000.0,3200.0,2560.0,,,
,Other,,,,,178.567,320.062,7.105,33.68399999999997,10.317,10.350000000000001,15.16,8.72,11.858,11.722,10.742,43.489,14.23,11.793,15.881,,,,,,,,,64.911,539.418,,,41.903999999999996,,,,,,,,,,,,,,,,,,,
,Revenue,,,,,178.567,320.062,7.105,33.68399999999997,31.48,85.18299999999999,146.489,182.11599999999999,229.858,281.03499999999997,339.839,417.84,412.595,489.428,588.881,737,,,,,,,,64.911,539.418,,,2227.904,3500.0,4500.0,5500.0,6000.0,6500.0,7000.0,7500.0,8000.0,8500.0,9000.0,9500.0,10000.0,5000.0,4000.0,3200.0,2560.0,,,
,COGS,,,,,0,0,0,0,1.372,5.01,10.264,12.786,18.335,24.024,35.999,39.477,43.178,52.383,59.072,,,,,,,,,0.0,0.0,,,,350.0,450.0,550.0,600.0,650.0,700.0,750.0,800.0,850.0,900.0,950.0,1000.0,500.0,400.0,320.0,256.0,,,
,Gross Profit,,,,,178.567,320.062,7.105,33.68399999999997,30.108,80.17299999999999,136.225,169.32999999999998,211.523,257.01099999999997,303.84,378.363,369.41700000000003,437.045,529.809,,,,,,,,,64.911,539.418,,,,3150.0,4050.0,4950.0,5400.0,5850.0,6300.0,6750.0,7200.0,7650.0,8100.0,8550.0,9000.0,4500.0,3600.0,2880.0,2304.0,,,
,R&D,,,,,122.328,151.579,139.44,167.17299999999997,151.968,126.919,236.681,147.798,165.855,195.509,191.755,306.373,224.969,225.286,235.94,,,,,,,,,370.885,580.52,,,,,,,,,,,,,,,,,,,,,,
,SG&A,,,,,56.253,73.346,80.623,97.42200000000001,100.866,127.798,108.181,135.287,149.172,161.977,191.93,208.826,235.995,255.699,277.698,,,,,,,,,171.643,307.644,,,,350.0,450.0,550.0,600.0,650.0,700.0,750.0,800.0,850.0,900.0,950.0,1000.0,500.0,400.0,320.0,256.0,,,
,Operating Expenses,,,,,178.58100000000002,224.925,220.063,264.59499999999997,252.834,254.71699999999998,344.862,283.08500000000004,315.027,357.486,383.685,515.199,460.964,480.985,513.6379999999999,,,,,,,,,542.528,888.164,,,,350.0,450.0,550.0,600.0,650.0,700.0,750.0,800.0,850.0,900.0,950.0,1000.0,500.0,400.0,320.0,256.0,,,
,Operating Income,,,,,-0.014000000000010004,95.137,-212.958,-230.911,-222.726,-174.54399999999998,-208.63700000000003,-113.75500000000005,-103.50399999999999,-100.47500000000002,-79.84500000000003,-136.83599999999996,-91.54699999999997,-43.94,16.17100000000005,,,,,,,,,-477.617,-348.746,,,,2800.0,3600.0,4400.0,4800.0,5200.0,5600.0,6000.0,6400.0,6800.0,7200.0,7600.0,8000.0,4000.0,3200.0,2560.0,2048.0,,,
,Interest Income,,,,,-0.41999999999999993,-0.32500000000000007,-0.29500000000000004,0.09600000000000009,-0.132,3.734,7.2219999999999995,12.935,16.400000000000002,20.441,30.049,40.028,38.383,38.933,40.586,,,,,,,,,-1.501,-0.944,,,,67.48,116.22716000000001,179.40302172,257.25287308924,343.22617193175705,437.4610168545969,540.097854141125,651.2795176615242,771.1512694617702,899.8608410426203,1037.558475340345,1184.3969694211307,1340.5317179012902,1431.320757105612,1510.0532099764075,1579.2441145460064,,,
,Pretax Income,,,,,-0.43400000000000993,94.812,-213.253,-230.815,-222.858,-170.80999999999997,-201.41500000000002,-100.82000000000005,-87.10399999999998,-80.03400000000002,-49.79600000000003,-96.80799999999996,-53.163999999999966,-5.006999999999998,56.75700000000005,,,,,,,,,-479.118,-349.69,,,,2867.48,3716.22716,4579.40302172,5057.25287308924,5543.226171931757,6037.461016854597,6540.097854141125,7051.279517661525,7571.15126946177,8099.86084104262,8637.558475340345,9184.39696942113,5340.53171790129,4631.320757105612,4070.0532099764077,3627.244114546006,,,
,Taxes,,,,,11.184,1.651,-2.749,-1.5639999999999983,-2.885,-8.229,-5.982,-2.625,-47.307,-44.069,-10.637,37.994,-12.753,10.507,-3.386,,,,,,,,,3.103,8.522,,,,430.122,557.434074,686.910453258,758.5879309633859,831.4839257897635,905.6191525281895,981.0146781211687,1057.6919276492285,1135.6726904192656,1214.979126156393,1295.6337713010519,1377.6595454131696,801.0797576851935,694.6981135658417,610.5079814964612,544.0866171819009,,,
,Net Income,,,,,-11.61800000000001,93.161,-210.504,-229.251,-219.973,-162.58099999999996,-195.43300000000002,-98.19500000000005,-39.79699999999998,-35.96500000000002,-39.15900000000003,-134.80199999999996,-40.410999999999966,-15.513999999999998,60.14300000000005,,,,,,,,,-482.221,-358.212,,,,2437.358,3158.7930859999997,3892.492568462,4298.664942125854,4711.742246141993,5131.841864326408,5559.083176019956,5993.587590012296,6435.478579042505,6884.881714886227,7341.924704039294,7806.737424007961,4539.451960216096,3936.6226435397703,3459.5452284799467,3083.1574973641054,,,
,EPS,,,,,-0.2326088216565262,1.8147777385731643,-4.090103044156302,-4.488444210604754,-4.223400375563977,-2.966679944080488,-3.5402184873447244,-1.7736214881680428,-0.7163507651652896,-0.6442080324260275,-0.6736657555030104,-2.28018732509696,-0.6813522631159842,-0.26078140928768095,1.0009236863215716,,,,,,,,,-10.619165521445485,-7.029840797151354,,,,,,,,,,,,,,,,,,,,,,
,Shares,,,,,49.946515,51.334661,51.466674,51.075827,52.084335,54.802339,55.203655,55.364124,55.555186,55.828239,58.128233,59.118827,59.309996,59.490437,60.087498,,,,,,,,,45.410442,50.955919249999994,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Discount,0.08
,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3374.0,5811.358,8970.151086,12862.643654462,17161.308596587853,21873.050842729845,27004.892707056253,32563.975883076208,38557.56347308851,44993.042052131015,51877.923767017244,59219.84847105654,67026.5858950645,71566.0378552806,75502.66049882038,78962.20572730032,82045.36322466443,,ROIC,0.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPV,45168.39937408411
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Share,751.5540661245276
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upside,0.38919420725421006
