Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425
,Zoryve cream 0.3%,15.026,,,,23.387,,,
,Zoryve foam,6.543,,,,30.24,,,
,Zoryve cream 0.15%,0,,,,10.219,,,
,Products,21.569,,,,63.846,,,
,Other,28,,,,2,,,
,Revenue,49.569,0,0,0,65.846,,,
