Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424
,Revenue,,,,,,195.987,,,,202.195,,
,COGS,,,,,,158.331,,,,143.239,,
,Gross Profit,,,,,,37.656000000000006,,,,58.95599999999999,,
,R&D,,,,,,5.321,,,,10.898,,
,SG&A,,,,,,106.695,,,,84.261,,
,Operating Expenses,,,,,,112.01599999999999,,,,95.15899999999999,,
,Operating Income,,,,,,-74.35999999999999,,,,-36.203,,
,Interest Income,,,,,,-12.632000000000001,,,,7.513,,
,Pretax Income,,,,,,-86.99199999999999,,,,-28.690000000000005,,
,Taxes,,,,,,-0.273,,,,1.751,,
,Net Income,,,,,,-86.719,,,,-30.441000000000006,,
,EPS,,,,,,-0.1461910557571311,,,,-0.05105472982004194,,
,Shares,,,,,,593.189505,,,,596.242505,,
,,,,,,,,,,,,,
,Revenue y/y,,,,,,,,,,0.03167557031843948,,
,Gross Margin,,,,,,,,,,0.291579910482455,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,CFFO,,,,,,-113.09,,,,-86.013,,
