Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,$ in billions,2024.0,PC,,Quest,Shkreli,Stream
,Individual Taxes,4085.5,12.016176470588235,,4494.05,3676.9500000000003,3500
,Corporate,534.9,0.12353348729792148,0.35,736.1,588.39,750
,Excise,92.1,,,92.1,184.2,2000
,Unemployment,46.3,,,46.3,46.3,
,Customs,76.4,,,76.4,76.4,
,Estate,31.6,,,31.6,31.6,
,Other,95.9,,,95.9,95.9,
,Wealth Tax,0.0,,,1200,0,
,Earned,15.2,,,15.2,15.2,
,Revenue,4977.9,,,6787.650000000001,4714.94,6250
,,,,,,,
,HHS,1738.2,,,1633.908,869.1,1651.29
,SSA,1530.2,,,1285.368,1147.65,1500
,DoD,1232.3,,,850.2869999999999,924.2249999999999,1170.685
,Interest,909.1,,,909.1,0,909
,VA,472.0,,,401.2,354,377.6
,Treasury,222.3,1500,,200.07000000000002,166.72500000000002,177.84000000000003
,Agriculture,203.1,,,162.48000000000002,20.310000000000002,162.48000000000002
,OPM,199.6,,,179.64,19.96,159.68
,Education,191.7,,,141.7,1.9169999999999998,153.35999999999999
,Transportation,115.3,,,69.17999999999999,1.153,92.24000000000001
,DHS,101.4,,,60.84,1.014,81.12
,Energy,75.5,,,45.3,0.755,60.400000000000006
,Security Assistance???,74.4,,,44.64,74.4,59.52000000000001
,DOJ,47.5,,,28.5,11.875,38
,HUD,46.8,,,28.08,11.7,37.44
,Labor,40.6,,,24.36,10.15,32.480000000000004
,State,37.8,,,22.679999999999996,9.45,30.24
,Interior,28.7,,,17.22,7.175,22.96
,NASA,24.5,,,24.5,24.5,19.6
,FCC,17.2,,,10.319999999999999,4.3,13.76
,Commerce,15.5,,,9.299999999999999,3.875,12.4
,Railroad,14.6,,,8.76,3.65,11.68
,EPA,13.7,,,8.219999999999999,3.425,10.96
,USPS,11.6,,,6.96,2.9,9.28
,Pension Benefit Guaranty,10.5,,,10.5,2.625,8.4
,NSF,9.4,,,9.4,9.4,7.5200000000000005
,Smithsonian,1.2,,,0,1.2,0.96
,Costs,7384.700000000001,,,6192.513,3687.434,6810.8949999999995
,Operating Income,-2406.800000000001,,,595.1370000000006,1027.5059999999994,-560.8949999999995
,,,,,-0.16144013974839877,,
