Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,Name,Indication,Economics,,,,,,Price JPY,1792.0,
,Xtandi (enzalutamide),CRPC,PFE,,,,,,Shares,1822.613,Q224
,Padcev (efortumab vedotin),,SGEN,,,,,,MC JPY,3266122.4960000003,
,Xospata (gilteritinib),,,,,,,,Cash JPY,471543.0,Q224
,Evrenzo (roxadustat),,FGEN,,,,,,Debt JPY,1202652.0,Q224
,Prograf,,,,,,,,EV JPY,3997231.4960000003,
,Repatha,,,,,,,,,,
,Linzess,,,,,,,,,,
,Blincyto,,,,,,,,,,
,Evenity,,,,,,,,,,
,Cimzia,,,,,,,,,,
,Betanis/Myrbetriq/Betmiga,,,,,,,,,,
,,,,,,,,,,,
,AT845,Pompe,,,,,,,CEO: Naoki Okamura replacing Kenji Yasukawa,,
,AT132,XLMTM,,,,,,,,,
,,,,,,,,,,,
,ASP3082,KRAS G12D PROTAC,,,,,,,,,
