Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,Brand,Generic,Indication,MOA,,,,,,"GlucoFi, Abmaxis - Q2 closing"
,,boceprevir,Hepatitis C,Protease,,,,,,
,Cozaar/Hyzaar,losartan,Hypertension,ARB,1,1995,Feb 2010,,,
,Elonva,corifollitropin alfa,Fertility,,EU only?,Filed,Injectable,,,
,Fosamax,,Osteoporosis,Biphosphonate,1,2008,,,,
,"Keytruda, fka MK-3475",,,,,,,,,
,Tredaptive,Dyslipidemia,,,7/2007,Oral,,,,
,Vytorin/Inegy,,Dyslipidemia,Statin,1,2004-07-23 00:00:00,"2024, IPXL",,,
,Zetia/Ezetrol,,Dyslipidemia,,1,2002-10-25 00:00:00,2015/2016,,,
,"Zolinza, fka SAHA",vorinostat,CTCL,HDAC,1,,,,,
,Singulair,montelukast,"Asthma, Allergic Rhinitis",Leukotriene,1,2002,8/3/12 COM,,,
,Zostavax,,Shingles,Vaccine,1,,Injectable,,,
,Nexium,"GERD, Heartburn",PPI,"27% US, AZN",,Generic 2014,,,,
,Saphris,Schizophrenia,Atypical,100%?,?,,,,,
,Asmanex (mometasone),Asthma,Steroid,1,2005,2012-2018,,,,
,Vasotec,,,,,,,,,
,Zontivity (vorapaxar),ACS/MI,Thrombin Receptor,1,III,Oral,,,,
,Cancidas (caspofungin),Antifungal,Echinocandin,1,2001,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Failures,,,,,,,,,
,MK-7009,,Hepatitis C,Protease,,,,,,
,MK-859,anacetrapib,Dyslipidemia,CETP,,,,,,
,MK2578,,,,,,,,,
,Betrixaban,,,,,,,,,
,ANAC,,,,,,,,,
,AVEO,,,,,,,,,
,Cordaptive,,,,,,,,,
,Cordaptive (MK-524A),Niacin XR,Niacin,,,III,ABT/AZN combo,Oral,,
,MK-524B,Niacin XR/Zocor,Niacin,,,III,,,,
,MK-677,ibutamoren,"Fibromyalgia, Hip Fracture",GH secretagogue,1,III,,,,
,MK-974,telcagepant,Migraine Headache,Calcitonin (CGRP),1,III,Oral,,,
,odanacatib (MK-0882),"Osteoporosis, Oncology, Arthritis",Cathespin-K,CRA,III,,,,,
,Lipitor+Zetia (0653C),Dyslipidemia,Statin,1,Filed,,,,,
,MK-8669 (ridaforolimus),Sarcoma,MTOR,ARIA,III,,,,,
,MK-0724 (ONO-2506),Stroke,,,II,,,,,
,MK-0646,mCRC,IGF-1,1,II/III,,,,,
,MK-6213,Dyslipidemia,,,,,,,,
,narlaprevir,,,,,,,,,
,MK-533,Type 2 Diabetes,PPAR,,II,,,,,
,MK-0140,Ophthalmic,,,II,,,,,
,MK-0752,Cancer,NOTCH,1,I,,,,,
,MK-2206,Oncology,AKT,,I,,,,,
,MK-1775,,WEE1,,I,,,,,
,MK-4074,Diabetes,ACC1,,I,,,,,
,MK-5108,,Aurora kinase,VRTX?,I,,,,,
,MK-634,urinary incontinence,,,,,,,,
,MK-3281,Hepatitis C,Polymerase,1,,,,,,
,MK-594,urinary incontinence,,,,,,,,
,MK-1942,"TRD, Alzheimer's",,,,,,,discontinued for liver toxicity,
