Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,3DExperience,,,,,,,,,Price EUR,39.74
,Biovia,Life Sciences,,,,,,,,Shares,1322.7
,Delmia (Apriso),"Manufacturing software: QA/QC, supply chain",,,,,,,,MC EUR,52564.098000000005
,Enovia,,,,,,,,,Cash EUR,3157.0
,Catia,Autodesk competitor,,,,,,,,Debt EUR,3642.4
,Medidata,CRO,,,,,,,,EV EUR,53049.49800000001
,Centric PLM,Collaboration software,,,,,,,,,
,Simulia,Simulation,,,,,,,,,
,Solidworks,Autodesk competitor,,,,,,,,,
,,,,,,,,,,,
,,,,,,,7/26/22: Q222 results.,,,,
