Main,Unnamed: 1,https://arxiv.org/pdf/2309.09493,Unnamed: 3
,2023-04-25 00:00:00,"AudioGPT: Understanding and Generating Speech, Mussic, Sound, and Talking Head",
,,Authors,Huang et al.
,,Citations,
,,Link,https://arxiv.org/pdf/2304.12995.pdf
,,,
,2023-04-24 00:00:00,TANGO: Text-to-Audio Generation using Instruction-Tuned LLM and Latent Diffusion Model,
,,Authors,Ghosal et al.
,,Citations,
,,Link,https://arxiv.org/abs/2304.13731
,,,
,2023-04-05 00:00:00,AUDIT: Audio Editing by Following Instructions with Latent Diffusion Models,
,,Authors,Microsoft: Wang et al.
,,Citations,
,,Link,https://arxiv.org/pdf/2304.00830.pdf
,,,
,2023-03-08 00:00:00,FoundationTTS: Text-to-Speech for ASR Customization with Generative Language Model,
,,Authors,Xue et al.
,,Citations,
,,Link,https://arxiv.org/pdf/2303.02939v3.pdf
,,,
,2023-03-07 00:00:00,Speak Foreign Languages with Your Own Voice: Cross-Lingual Neural Codec Language Modeling (VALL-E X),
,,Authors,Microsoft: Zhang et al.
,,Citations,
,,Link,https://arxiv.org/pdf/2303.03926.pdf
,,,
,2023-03-06 00:00:00,Noise2Music: Text-conditioned Music Generation with Diffusion Models,
,,Authors,Google: Huang et al.
,,Citations,
,,Link,https://arxiv.org/pdf/2302.03917.pdf
,,,
,2023-02-07 00:00:00,"Spear-TTS: Speak, Read and Prompt: High-Fidelity Text-to-Speech with Minimal Supervision",
,,Authors,Google: Kharitonov et al.
,,Citations,
,,Link,https://arxiv.org/abs/2302.03540
,,,
,2023-01-30 00:00:00,SingSong: Generating musical accompaniments from singing,
,,Authors,Google: Donahue et al.
,,Citations,
,,Link,https://arxiv.org/pdf/2301.12662.pdf
,,,
,2023-01-30 00:00:00,Make-An-Audio: Text-To-Audio Generation with Prompt-Enhanced Diffusion Models,
,,Authors,Huang et al.
,,Citations,
,,Link,https://arxiv.org/abs/2301.12661
,,,
,2023-01-30 00:00:00,ArchiSound: Audio Generation with Diffusion,
,,Authors,Flavio Schneider
,,Citations,
,,Link,https://arxiv.org/abs/2301.13267
,,,
,2023-01-26 00:00:00,MusicLM: Generating Music From Text,
,,Authors,Google: Agostinelli et al.
,,Citations,
,,Link,https://arxiv.org/pdf/2301.11325.pdf
,,,
,2023-01-05 00:00:00,Neural Codec Language Models are Zero-Shot Text to Speech Synthesizers (Vall-E),
,,Authors,"Microsoft: Chengyi Wang, Sanyuan Chen, Yu Wu, Ziqiang Zhang, Long Zhou, Shujie Liu, Zhuo Chen, Yanqing Liu, Huaming Wang, Jinyu Li, Lei He, Sheng Zhao, Furu Wei"
,,Citations,
,,Link,https://arxiv.org/abs/2301.02111
,,,
,2022-11-22 00:00:00,PromptTTS: Controllable TTS with Text Descriptions,
,,Authors,Guo et al.
,,Citations,
,,Link,https://arxiv.org/pdf/2211.12171.pdf
,,,
,2022-10-25 00:00:00,"data2vec: A General Framework for Self-supervised Learning in Speech, Vision and Language",
,,Authors,Meta: Baevski et al.
,,Citations,
,,Link,https://arxiv.org/pdf/2202.03555.pdf
,,,
,2022-08-26 00:00:00,Mulan: A Joint Embedding of Music Audio and Natural Language,
,,Authors,Google: Huang et al.
,,Citations,
,,Link,https://arxiv.org/pdf/2208.12415.pdf
,,,
,2022-07-20 00:00:00,Diffsound: Discrete Diffusion Model for Text-to-sound Generation,
,,Authors,Yang et al
,,Citations,
,,Link,https://arxiv.org/pdf/2207.09983v1.pdf
,,,
,2022-04-20 00:00:00,ContentVec: An Improved Self-Supervised Speech Representation by Disentangling Speakers,
,,Authors,Qian et al.
,,Citations,
,,Link,https://arxiv.org/abs/2204.09224
,,,
,2022-03-30 00:00:00,Generative Spoken Dialogue Language Modeling,
,,Authors,"Meta: Tu Anh Nguyen, Eugene Kharitonov, Jade Copet, Yossi Adi, Wei-Ning Hsu, Ali Elkahky, Paden Tomasello, Robin Algayres, Benoit Sagot, Abdelrahman Mohamed, Emmanuel Dupoux"
,,Citations,
,,Link,https://arxiv.org/abs/2203.16502
,,,
,2022-03-29 00:00:00,Efficient Training of Audio Transformers with Patchout,
,,Authors,Koutini et al.
,,Citations,
,,Link,https://arxiv.org/pdf/2110.05069.pdf
,,,
,2021-12-21 00:00:00,Augmented Contrastive Self-Supervised Learning for Audio Invariant Representations,
,,Authors,Emami et al.
,,Citations,
,,Link,https://arxiv.org/pdf/2112.10950.pdf
,,,
,2021-11-03 00:00:00,A Comparison of Discrete and Soft Speech Units for Improved Voice Conversion,
,,Authors,Ubisoft: van Niekerk et al.
,,Citations,
,,Link,https://arxiv.org/abs/2111.02392
,,,
,2021-09-13 00:00:00,W2V-BERT: Combining Contrastive Learning and Masked Language Modeling for Self-Supervised Speech Pre-Training,
,,Authors,Google: Chung et al.
,,Citations,
,,Link,https://arxiv.org/pdf/2108.06209.pdf
,,,
,2021-06-14 00:00:00,HuBERT: Self-Supervised Speech Representation Learning by Masked Prediction of Hidden Units,
,,Authors,Meta: Hsu et al.
,,Citations,
,,Link,https://arxiv.org/pdf/2106.07447.pdf
,,,
,2021-05-13 00:00:00,Grad-TTS: A Diffusion Probabilistic Model for Text-to-Speech,
,,Authors,"Huawei: Vadim Popov, Ivan Vovk, Vladimir Gogoryan, Tasnima Sadekova, Mikhail Kudinov"
,,Citations,
,,Link,https://arxiv.org/abs/2105.06337
,,,
,2021-03-04 00:00:00,Perceiver: General Perception with Iterative Attention,
,,Authors,"Google: Andrew Jaegle, Felix Gimeno, Andrew Brock, Andrew Zisserman, Oriol Vinyals, Joao Carreira"
,,Citations,
,,Link,https://arxiv.org/abs/2103.03206
,,,
,2021-02-25 00:00:00,Mixspeech: Data Augmentation for Low-Resource Automatic ASR,
,,Authors,"Google: Andrew Jaegle, Felix Gimeno, Andrew Brock, Andrew Zisserman, Oriol Vinyals, Joao Carreira"
,,Citations,
,,Link,https://arxiv.org/abs/2103.03206
,,,
,2020-10-29 00:00:00,Improved Noisy Student Training for ASR,
,,Authors,Google: Park et al.
,,Citations,
,,Link,https://arxiv.org/pdf/2005.09629.pdf
,,,
,2020-10-22 00:00:00,wav2vec 2.0: A Framework for Self-Supervised Learning of Speech Representations,
,,Authors,Facebook: Baevski et al.
,,Citations,
,,Link,https://arxiv.org/pdf/2006.11477.pdf
,,,
,2020-10-12 00:00:00,HiFi-GAN: Generative Adversarial Networks for Efficient and High Fidelity Speech Synthesis,
,,Authors,Kakao: Kong et al.
,,Citations,1234
