Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424
,Revenue,,,,,597,495,,,3139,7766,,
,COGS,,,,,181,150,,,903,1519,,
,Gross Profit,,,,,416,345,,,2236,6247,,
,R&D,,,,,4576,3555,,,3700,3394,,
,SG&A,,,,,4165,4787,,,8814,6765,,
,Operating Expenses,,,,,8741,8342,,,12514,10159,,
,Operating Income,,,,,-8325,-7997,,,-10278,-3912,,
,Interest Expense,,,,,-701,-365,,,-221,-74,,
,Net Income,,,,,-9026,-8362,,,-10499,-3986,,
,EPS,,,,,-0.7766048686741034,-0.6709102017745181,,,-0.4218637868975111,-0.14052662794510548,,
,Shares,,,,,11622.384,12463.665,,,24887.18,28364.731,,
