Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Master Pipeline,,,,,,,,
,"PD-332,334",GAD,Alpha-2-delta,1,III,Lexapro,Oral,
,"S,S-reboxetine",Fibromyalgia,NRI,1,II,Droxidopa,,Disclosed 11/30/2006
,torcetrapib,,,,,,,
,Exubera,,,,,,,
,PEG HGH?,,,,,,,
,"CP-607,366",,SSRI,,,,,
,PNU-108112,,liposomal cancer,NEOL,,,,
,PNU-93914,,liposomal cancer,NEOL,,,,
,VIC-ACNE,,,,,,,
,Fablyn,Osteoporosis,,LGND,,,,
,Edotecarin,Cancer,,,,,,
,Camptosar,,,,,,Oral,
,"CP-751,871",Cancer,IGF inhibitor,,,,,
,PF-514273,Obesity,CB1,,,,,
,CE-326597,Obesity,Cholecystokinin 1 Receptor,,,,,
,PF-3185043,Atherosclerosis,CETP,,,,,
,CP-800569,Atherosclerosis,CETP,,,,,
,PF-3392455,Hypertension,,,,,,
,PF-277343,Alopecia,,,,,,
,PF-04548043/KOS-2187,GERD,Motilin Receptor Antagonist,,,,,
,"CP-424,391 (capromorelin)",GERD? Aging,GH secretagogue,,,,,
,PF-885706,GERD?,,,,,,
,PF-708093,Antibacterial,,,,,,
,PF-4522625,Seasonal Flu Vaccine,,,,,,
,PF-572778,Anxiety,CRF1,,,,,
,PF-477736,Cancer,CHK1 inhibitor,,,,,
,PF-3814735,Cancer,Aurora 2,,,,,
,PF-562271,Cancer,FAK,,,,,
,CVX-045,Cancer,TSP1,,,,,
,PF-337210,Cancer,VEGF Kinase,,,,,
,"PF-3,732,010",Cancer,P-Cadhedrin Antibody,,,,,
,PF-04217903,Cancer,CMET,,,,,
,UK 396082,Thrombosis,TAFI Inhibitor,,,,,
,SNX5422/PF-04929113,Cancer,HSP90,,,,,
,CP-870893,Cancer,CD40,,,,,
,PF-3557156,Pain,,,,,,
,CP-601927,Depression,A4B2 Nicotinic,,,,,
,PF-3463275,Schizophrenia,GLY,,,,,
,PF-2400013,Schizophrenia,,,,,,
,CP-903397,Schizophrenia,,,,,,
,PF-04447943,Alzheimer's,PDE9,,,,,
,PF-592379,Pain/ED,D3 agonist,,,,,
,PF-04191834,Asthma,5-LO inhibitor,,,,,
,PF-4136309,CCR2,Pain,,,,,
,PF-4480682,PDE5,Pain,,,,,
,PF-4523655,AMD,RNAi,,,,,
,AG-13958,AMD,,,,,,
,CP-675206,Cancer,tremilmumab,,,,,
,SU-14813,Breast Cancer,Kinase Inhibitor,,,,,
,PF-1367338/AG-014699,Cancer,PARP,,,,,
,PF-4494700,Alzheimer's,RAGE,,,,,
,CP-448187 (elzasonan),5HT1B/D,Depression,,,,,
,"PD-200,390",Insoma,Alpha2Delta,,,,,
,"PD-299,685",Hot Flashes,,,,,,
,PF-4360365,Alzheimer's,Abeta AB,Rinat,,,,
,PF-232798,HIV,CCR5,,,,,
,UK-369003,LUTS,PDE5,,,,,
,PF-217830,Schizophrenia,D2/5HT1A,,,,,
,PF-03654746,ADHD/Tourette's,,,,,,
,PF-3491390,Liver Fibrosis,Caspase Inhibitor,,,,,
,UK-157147,Alopecia,,,,,,
,PF-275366,Excessive Sebum,,,,,,
,PH-794428,Short Stature,,,,,,
,CP-533536,Bone Healing,Prostaglandin,,,,,
,PF-610355,Asthma,Beta Agonist,,,,,
,UK-453061 (lersivirine),HIV,NNRTI,,,,,
