Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
,,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,,,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0
,Individual MA,,,,,,5269.1,,,,5617.6,,,,,,,,,,,,,,,
,Group MA,,,,,,509.5,,,,544.9,,,,,,,,,,,,,,,
,PDP,,,,,,2915.3,,,,2341.2,,,,,,,,,,,,,,,
,Medical Membership,,,,,,17128.3,,,,16303.6,,,,,,,,,,,,,,,
,PPPY,,,,,,1488.4722943899862,,,,1726.121838121642,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,MA PPPY,,,,,,3748.0784194644248,,,,3954.5357448020504,,,,,,,,,,,,,,,
,Group MA PPPY,,,,,,3399.4111874386654,,,,3556.6158928243717,,,,,,,,,,,,,,,
,PDP PPPY,,,,,,194.83415085925975,,,,370.32291132752437,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Individual MA,,,,,,19749,,,,22215,,,,,,,,,,,,,,,
,Group MA,,,,,,1732,,,,1938,,,,,,,,,,,,,,,
,PDP,,,,,,568,,,,867,,,,,,,,,,,,,,,
,Commercial,,,,,,950,,,,152,,,,,,,,,,,,,,,
,Specialty Benefits,,,,,,252,,,,240,,,,,,,,,,,,,,,
,Medicare Supplement,,,,,,182,,,,206,,,,,,,,,,,,,,,
,State,,,,,,2062,,,,2524,,,,,,,,,,,,,,,
,Premiums,,,,,,25495,,,,28142,,,,,,79822.0,87712.0,101272.0,,,,,,,
,Services,,,,,,978,,,,1100,,,,,,3055.0,4776.0,4033.0,,,,,,,
,Investment,,,,,,274,,,,298,,,,,,187.0,382.0,1069.0,,,,,,,
,Revenue,,,,,,26747,,,,29540,,,,,,83064.0,92870.0,106374.0,,,,,,,
,Benefits,,,,,,22009,,,,25039,,,,,,69199.0,75690.0,88394.0,,,,,,,
,Gross Profit,,,,,,4738,,,,4501,,,,,,13865.0,17180.0,17980.0,,,,,,,
,Operating Costs,,,,,,3148,,,,3148,,,,,,10121.0,12671.0,13188.0,,,,,,,
,Operating Income,,,,,,1590,,,,1353,,,,,,3744.0,4509.0,4792.0,,,,,,,
,Interest Expense,,,,,,-174,,,,-223,,,,,,-326.0,-469.0,-630.0,,,,,,,
,Pretax Income,,,,,,1416,,,,1130,,,,,,3418.0,4040.0,4162.0,,,,,,,
,Taxes,,,,,,286,,,,206,,,,,,420.0,766.0,899.0,,,,,,,
,Net Income,,,,,,1130,,,,924,,,,,,2998.0,3274.0,3263.0,,,,,,,
,EPS,,,,,,9.245303426767626,,,,7.67431273228033,,,,,,,,,,,,,,,
,Shares Outstanding,,,,,,122.22421999999999,,,,120.40166099999999,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,,,,0.10442292593561886,,,,,,,,,,,,,,,
,Lives Covered,,,,,,,,,,-0.04814838600444871,,,,,,,,,,,,,,,
,Premiums y/y,,,,,,,,,,0.12486708187756346,,,,,,,,,,,,,,,
,PPPY inflation,,,,,,,,,,0.15966003843494492,,,,,,,,,,,,,,,
,MLR,,,,,,,,,,0.8897377585104115,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Cash,,,,,,,,,,-647,,,,,,,,,,,,,,,
,Cash,,,,,,,,,,24049,,,,,,,,,,,,,,,
,AR,,,,,,,,,,4090,,,,,,,,,,,,,,,
,OCA,,,,,,,,,,5843,,,,,,,,,,,,,,,
,PP&E,,,,,,,,,,2821,,,,,,,,,,,,,,,
,Goodwill,,,,,,,,,,9567,,,,,,,,,,,,,,,
,OLTA,,,,,,,,,,3723,,,,,,,,,,,,,,,
,Assets,,,,,,,,,,50093,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Benefits,,,,,,,,,,11446,,,,,,,,,,,,,,,
,AP,,,,,,,,,,6527,,,,,,,,,,,,,,,
,Overdraft,,,,,,,,,,355,,,,,,,,,,,,,,,
,DR,,,,,,,,,,313,,,,,,,,,,,,,,,
,Debt,,,,,,,,,,12895,,,,,,,,,,,,,,,
,OLTL,,,,,,,,,,1829,,,,,,,,,,,,,,,
,SE,,,,,,,,,,16728,,,,,,,,,,,,,,,
,L+SE,,,,,,,,,,50093,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,6mo CFFO,,,,,,9836,,,,1636,,,,,,2262.0,4587.0,3981.0,,,,,,,
,6mo CapEx,,,,,,487,,,,291,,,,,,1342.0,1137.0,1004.0,,,,,,,
,6mo FCF,,,,,,9349,,,,1345,,,,,,920.0,3450.0,2977.0,,,,,,,
