Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,Raise,Round
,Syapse,,,,
,WebMD,KKR,2.8B,,
,Happify,,,73m,D
,Datavant,,,,
,Trove Health Tech Inc.,,,,
,TandemAI,,,25m,A
