Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94
,Video,,,,,,,,6903,,6781,,6502,,,32440.0,30496.0,28797.0,26872.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Advertising,,,,,,,,1109,,993,,1158,,,4507.0,4546.0,3969.0,4089.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other,,,,,,,,1426,,1313,,1286,,,7095.0,6378.0,5820.0,5259.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Business Services Connectivity,,,,,,,,2361,,2421,,2448,,,8056.0,8819.0,9255.0,9701.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Domestic Advertising,,,,,,,,2635,,1991,,2645,,,10177.0,10360.0,8600.0,10008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Domestic Media Distribution,,,,,,,,2747,,2764,,2885,,,10080.0,10525.0,10663.0,11826.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,International Networks,,,,,,,,1047,,1102,,1090,,,5060.0,3729.0,4109.0,4282.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other Media,,,,,,,,550,,467,,603,,,2090.0,2105.0,1983.0,2031.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Content licensing,,,,,,,,2375,,1714,,2383,,,8193.0,9348.0,8231.0,8063.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Theatrical,,,,,,,,343,,237,,515,,,691.0,1607.0,2079.0,1693.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other Studios,,,,,,,,345,,302,,371,,,1193.0,1302.0,1315.0,1335.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Theme Parks,,,,,,,,2371,,1975,,2374,,,5051.0,7541.0,8947.0,8617.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Studios/Other Revenue,,,,,,,,760,,715,,784,,,10077.0,12257.0,11625.0,11092.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eliminations,,,,,,,,,,-1825,,,,,-9831.0,-9032.0,-8383.0,-2798.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,,,,,29691,30513,,,30058,29688,29688,29688,,,116385.0,121427.0,121572.0,121572.0,117924.84,114387.09479999999,110955.48195599999,107626.81749732,104398.0129724004,101266.07258322838,98228.09040573152,95281.24769355958,92422.81026275278,89650.1259548702,86960.62217622409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Programming,,,,,9004,8849,,,8823,7961,7961,7961,,,38450.0,38213.0,36762.0,36471.600000000006,36556.7004,35459.999388,35505.75422592,34440.58159914239,34451.344280892125,33417.80395246536,33397.55073794872,32395.624215810254,32347.98359196347,31377.544084204565,31305.82398344067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Profit,,,,,20687,21664,,,21235,21727,21727,21727,,,77935.0,83214.0,84810.0,85100.4,81368.1396,78927.095412,75449.72773007999,73186.2358981776,69946.66869150827,67848.26863076302,64830.5396677828,62885.62347774932,60074.82667078931,58272.58187066563,55654.79819278342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M&P,,,,,1963,2100,,,2018,1922,1922,1922,,,7695.0,8506.0,7971.0,7971.0,7731.87,7499.9139,7274.916482999999,7056.668988509999,6844.968918854698,6639.619851289057,6440.431255750385,6247.218318077874,6059.801768535537,5878.007715479471,5701.667484015086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,G&A,,,,,9301,9317,,,9857,9630,9630,9630,,,35619.0,38263.0,39190.0,39190.0,38014.299999999996,36873.87099999999,35767.65486999999,34694.62522389999,33653.78646718299,32644.1728731675,31664.847686972473,30714.902256363297,29793.455188672397,28899.651533012224,28032.661987021856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Expenses,,,,,11264,11417,,,11875,11552,11552,11552,,,43314.0,46769.0,47161.0,47161.0,45746.17,44373.78489999999,43042.57135299999,41751.294212409986,40498.75538603769,39283.79272445656,38105.278942722856,36962.12057444117,35853.25695720794,34777.65924849169,33734.329471036945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Income,,,,,9423,10247,,,9360,10175,10175,10175,,,34621.0,36445.0,37649.0,37939.399999999994,35621.9696,34553.310512000004,32407.15637708,31434.94168576762,29447.91330547058,28564.475906306463,26725.260725059947,25923.502903308152,24221.569713581375,23494.922622173937,21920.468721746474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interest Expense,,,,,-1010,-998,,,-1002,-1026,-1026,-1026,,,-4281.0,-3896.0,-4087.0,-4087.0,-1163.5380000000002,-336.5356416000003,484.6669552895998,1274.07071526647,2059.087012891288,2815.255020531973,3568.3685627760956,4295.415665684161,5020.669711339976,5722.483457538088,6423.701203451176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pretax Income,,,,,8413,9249,,,8358,9149,9149,9149,,,30340.0,32549.0,33562.0,33852.399999999994,34458.431599999996,34216.774870400004,32891.8233323696,32709.012401034088,31507.00031836187,31379.730926838434,30293.629287836044,30218.91856899231,29242.23942492135,29217.406079712026,28344.16992519765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes,,,,,1476,1537,,,1328,1336,1336,1336,,,5259.0,4359.0,5371.0,5371.0,6891.68632,6843.354974080001,6578.36466647392,6541.802480206818,6301.400063672374,6275.946185367688,6058.7258575672095,6043.7837137984625,5848.447884984271,5843.4812159424055,5668.8339850395305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Income,,,,,6937,7712,,,7030,7813,7813,7813,,,25081.0,28190.0,28191.0,28481.399999999994,27566.745279999996,27373.419896320003,26313.458665895676,26167.20992082727,25205.600254689496,25103.784741470747,24234.903430268834,24175.13485519385,23393.79153993708,23373.924863769622,22675.33594015812,22448.582580756538,22224.096754948972,22001.855787399483,21781.83722952549,21564.018857230232,21348.37866865793,21134.89488197135,20923.54593315164,20714.310473820122,20507.16736908192,20302.0956953911,20099.07473843719,19898.08399105282,19699.10315114229,19502.112119630867,19307.090998434556,19114.020088450212,18922.87988756571,18733.65108869005,18546.31457780315,18360.85143202512,18177.24291770487,17995.47048852782,17815.51578364254,17637.36062580611,17460.98701954805,17286.37714935257,17113.513377859046,16942.378244080457,16772.954461639652,16605.224917023257,16439.172667853025,16274.780941174495,16112.03313176275,15950.912800445121,15791.40367244067,15633.489635716263,15477.1547393591,15322.38319196551,15169.159360045855,15017.467766445396,14867.293088780942,14718.620157893132,14571.4339563142,14425.719616751057,14281.462420583546,14138.64779637771,13997.261318413934,13857.288705229794,13718.715818177496,13581.52865999572,13445.713373395762,13311.256239661803,13178.143677265185,13046.362240492534,12915.898618087607,12786.73963190673,12658.872235587663,12532.283513231787,12406.960678099469,12282.891071318474,12160.06216060529,12038.461538999238,11918.076923609246
,EPS,,,,,,,,,,,,,,,5.389127632144392,6.363431151241535,6.796287367405979,6.8662970106075205,6.645792015429121,6.599185124474446,6.343649630158071,6.308391977055755,6.076567081651277,6.05202139379719,5.8425514537774434,5.828142443392924,5.639776166812218,5.634986707755454,5.466570863104657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shares,,,,,,,,,,,,,,,4654.0,4430.0,4148.0,4148.0,4148.0,4148.0,4148.0,4148.0,4148.0,4148.0,4148.0,4148.0,4148.0,4148.0,4148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue growth,,,,,,,,,0.01236064800781378,-0.027037656081014605,,,,,,0.043321733900416826,0.0011941331005460576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Margin,,,,,0.6967431208110202,0.7099924622292137,,,0.7064674961740635,0.7318445163028833,,,,,0.6696309661898011,0.6853006333023133,0.6976112920738328,0.7,,,,,,,,,,,,,Maturity,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROIC,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Cash,,,,,,,,,-80510,-82892,-75079,-67266,,,,,-67266.0,-38784.600000000006,-11217.85472000001,16155.565176319993,42469.02384221567,68636.23376304294,93841.83401773244,118945.6187592032,143180.52218947202,167355.65704466586,190749.44858460294,214123.37344837256,236798.70938853067,,Discount,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cash,,,,,,,,,16063,15236,,,,,,,,,,,,,,,,,,,,,NPV,230517.7080642071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AR,,,,,,,,,13144,13167,,,,,,,,,,,,,,,,,,,,,Share,61.11969426355658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OCA,,,,,,,,,4319,4220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Film,,,,,,,,,12757,12853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PP&E,,,,,,,,,59918,60507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Goodwill,,,,,,,,,85731,84739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Franchise,,,,,,,,,59365,59365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ONCA,,,,,,,,,12304,12468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Assets,,,,,,,,,263601,262555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AP,,,,,,,,,11792,11736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Participations,,,,,,,,,1583,1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DR,,,,,,,,,3446,3943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AE,,,,,,,,,11834,7955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Debt,,,,,,,,,96573,98128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Advance,,,,,,,,,9167,9167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DT,,,,,,,,,25978,26252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Commitments,,,,,,,,,19935,19914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S/E,,,,,,,,,83292,83940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L+S/E,,,,,,,,,263600,262555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Model NI,,,,,,,,,7030,7813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reported NI,,,,,,,,,3777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D&A,,,,,,,,,3551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SBC,,,,,,,,,373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Noncash Interest,,,,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gain of Investment,,,,,,,,,-164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DT,,,,,,,,,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WC,,,,,,,,,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,,,,,7847,,,,,,29146.0,26413.0,28501.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,9174.0,10626.0,12242.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FCF,,,,,,,,,,,,,,,19972.0,15787.0,16259.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
