Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,Ensoma,,,Series B,85m,,,,
,Ensoma,,,Series A,70m,"Catalio, Solasta, QIA, 5AM, Cormorant",,,
,SetPoint Medical,,,Series C,42m,,,,
,SetPoint Medical,,,Series D,30m,,,,
,PharmCADD,,,Series B,16m,,,,
,Athos Therapeutics,,,Series A,15m,,,,
,Vevo Therapeutics,,,Seed,12m,,,,
,Verseon,,,,,,,,
,Nutcracker Therapeutics,,,,,,,,
,Afimmune,,,,,,,,
,Melinta Therapeutics,,,,,,,,
,EVA Pharma,,,,,,,"Egypt based company, deal with LLY",
,Quris,,,Seed,9m,Softbank,2022-12-20 00:00:00,Software,
,Cugene,,,,,,,,
,Valo Health,,,,,,,,
,EvolveImmune,,,,,,,,
,Duality Biologics,,,,,,,BNTX deal,
,OncoC4,,,,,,,spun out of MRK after their acquisition of OncoImmune,
,Avilar Therapeutics,,,,,,,,
,Curon Biopharmaceuticals,,,,,,,,
,Immune-Onc,,,,,,,ILT family mabs,
