Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,Price,269,
,,,,,,,,,,,,,Shares,14948,Q225
,,,,,,,,,,,,,MC,4021012,
,,,,,,,,,,,,,Cash,132986,Q225
,,,,,,,,,,,,,Debt,101698,Q225
,,,,,,,,,,,,,EV,3989724,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CFO: ,Kevan,
