Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,1H23,,1H24,2H24,,2020.0,2021.0,2022.0,2023.0,2024.0
,Secure Microcontrollers,10156,,3872,,,,,,,
,,,,,,,,,,,
,IoT,,,,,,,14850.0,18336.0,20927.0,
,,,,,,,,,,,
,Revenue,14751,,4828,4828,,14317.0,16995.0,23198.0,30058.0,9656.0
,COGS,6760,,3667,,,8147.0,9547.0,13267.0,15589.0,
,Gross Profit,7991,,1161,,,6170.0,7448.0,9931.0,14469.0,
,R&D,,,,,,,3050.0,2308.0,,
,S&M,,,,,,,4245.0,3824.0,,
,G&A,,,,,,,4984.0,3091.0,,
,Operating Expenses,,,,,,0.0,12279.0,9223.0,0.0,
,Operating Income,,,,,,6170.0,-4831.0,708.0,14469.0,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Revenue y/y,,,-0.6727001559216325,,,,0.18705035971223016,0.3649897028537805,0.2957151478575739,-0.6787544081442545
,,,,,,,,,,,
,,,,,,,,,,,
,Cash,,,18858,,,,,,,
,AR,,,1565,,,,,,,
,Inventories,,,2772,,,,,,,
,Prepaids,,,471,,,,,,,
,Government Assistance,,,1826,,,,,,,
,OCA,,,625,,,,,,,
,Tax,,,1838,,,,,,,
,PP&E,,,3013,,,,,,,
,Lease,,,1181,,,,,,,
,ONCA,,,85,,,,,,,
,Assets,,,32234,,,,,,,
,,,,,,,,,,,
,AP,,,6904,,,,,,,
,DR,,,2,,,,,,,
,Lease,,,1109,,,,,,,
,OCL,,,34,,,,,,,
,Debt,,,18525,,,,,,,
,Pension,,,436,,,,,,,
,SE,,,5224,,,,,,,
,L+SE,,,32234,,,,,,,
,,,,,,,,,,,
,SO,,,22734.63,98654.244,,,,,,
