Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
,,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,,,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,,,
,CF End-Market,,,,,,,,,,,,,,,,,,,,,,,,,,,8931.0,,,,,,,,,,,,,,,,
,CF Royalties,,,,,,,,,,,,,,208.338,,,,195.978,,,,,,,,702.14,811.0,851.5500000000001,894.1275,938.8338750000001,985.7755687500002,1035.0643471875003,1086.8175645468752,1141.158442774219,1198.2163649129302,1258.1271831585768,1321.0335423165056,1387.085219432331,1248.376697489098,124.8376697489098,,,
,Tysabri End-Market,,,,,,,,,,,,,,,,,,,,,,,,,,,2028.0,,,,,,,,,,,,,,,,
,Tysabri Royalties,,,,,,,,,,,,,,43.796,,,,30.647,,,,,,,,369.149,370.0,351.5,333.925,317.22875,301.36731249999997,286.29894687499996,271.98399953124994,258.38479955468745,245.46555957695307,233.1922815981054,221.53266751820013,210.45603414229012,199.9332324351756,189.9365708134168,,,
,Imbruvica End-Market,,,,,,,,,,,,,,,,,,,,,,,,,,,5820.0,,,,,,,,,,,,,,,,
,Imbruvica Royalties,,,,,,,,,,,,,,41.725,,,,33.171,,,,,,,,352.911,313.0,281.7,253.53,228.177,205.3593,184.82336999999998,166.34103299999998,149.7069297,134.73623673,121.26261305700001,109.13635175130001,98.22271657617001,88.40044491855302,79.56040042669773,,,
,Xtandi End-Market,,,,,,,,,,,,,,,,,,,,,,,,,,,4817.0,,,,,,,,,,,,,,,,
,Xtandi Royalties,,,,,,,,,,,,,,,,,,,,,,,,,,158.103,187.0,188.87,190.7587,192.666287,194.59294987,196.5388793687,198.504268162387,200.48931084401087,202.494203952451,101.2471019762255,50.62355098811275,25.311775494056374,12.655887747028187,6.327943873514093,,,
,Promacta End-Market,,,,,,,,,,,,,,,,,,,,,,,,,,,2088.0,,,,,,,,,,,,,,,,
,Promacta Royalties,,,,,,,,,,,,,,,,,,,,,,,,,,173.621,182.0,187.46,193.08380000000002,96.54190000000001,9.654190000000002,0.9654190000000002,0.09654190000000003,0.009654190000000003,0.0009654190000000003,9.654190000000005e-05,9.654190000000006e-06,9.654190000000006e-07,9.654190000000007e-08,9.654190000000008e-09,,,
,Tremfya End-Market,,,,,,,,,,,,,,,,,,,,,,,,,,,2668.0,4041.666666666667,4850.0,5335.000000000001,5868.500000000001,6455.350000000001,7100.885000000003,6745.840750000002,6071.256675000002,5464.131007500002,4644.511356375001,3947.8346529187506,3158.267722335001,2526.6141778680008,,,
,Other Products,,,,,,,,,,,,,,116.404,,,,123.924,,,,,,,,404.019,262.739,236.46509999999998,212.81858999999997,191.53673099999997,172.38305789999998,155.14475210999998,139.630276899,125.66724920909999,113.10052428819,101.79047185937101,91.61142467343392,82.45028220609052,74.20525398548148,66.78472858693333,,,
