Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,FY2023,Unnamed: 9,Unnamed: 10,Unnamed: 11,FY2024,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78
,CFFF,,,,,,,-1117,-2041,-1580,-3449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FX,,,,,,,5,15,-10,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CIC,,,,,,,2350,-333,1025,-1449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,QCOM FCF,,,,,,,3787,2735,3370,2665,3787,,,,6834,9849,12557,9235.372060000003,10383.40059255,11623.901909133378,12963.108287849547,14407.634349980217,15964.499230385249,17641.149987125787,19445.486317849834,21385.88665408978,23471.23570842599,25710.953553476247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Intel NI,,,,,,,,,,,,,,,,,-670.8400000000001,3000,4000,5000,6000,6060,6120.6,6181.8060000000005,6243.624060000001,6306.060300600001,6369.120903606001,6432.812112642061,,Terminal,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Intel FCF,,,,,,,,,,,,,,,,,-10670.84,-5000,-2000,1000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,-10670.84,-5000,-2000,1000,4000,6060,6120.6,6181.8060000000005,6243.624060000001,6306.060300600001,6369.120903606001,6432.812112642061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NewCo,,,,,,,,,,,,,,,,,1886.1599999999999,4235.372060000003,8383.40059255,12623.901909133378,16963.108287849547,20467.634349980217,22085.099230385247,23822.955987125788,25689.110377849836,27691.94695468978,29840.35661203199,32143.765666118306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Low Synergies,,,,,,,,,,,,,,,,,3886.16,8235.372060000003,13383.40059255,12623.901909133378,16963.108287849547,20467.634349980217,22085.099230385247,23822.955987125788,25689.110377849836,27691.94695468978,29840.35661203199,32143.765666118306,31822.328009457124,31504.104729362552,31189.063682068925,30877.173045248237,30568.401314795756,30262.717301647797,29960.09012863132,29660.489227345006,29363.884335071554,29070.245491720838,28779.54303680363,28491.74760643559,28206.830130371236,27924.761829067524,27645.514210776848,27369.059068669078,27095.368477982385,26824.414793202563,26556.170645270537,26290.60893881783,26027.70284942965,25767.425820935354,25509.751562726,25254.65404709874,25002.10750662775,24752.086431561474,24504.56556724586,24259.5199115734,24016.924712457665,23776.755465333088,23538.987910679756,23303.598031572958,23070.562051257228,22839.856430744654,22611.457866437206,22385.343287772834,22161.489854895106,21939.874956346153,21720.476206782692,21503.271444714865,21288.238730267716,21075.35634296504,20864.602779535388,20655.956751740032,20449.39718422263,20244.903212380406,20042.454180256602,19842.029638454034,19643.609342069492
,High Synergies,,,,,,,,,,,,,,,,,4886.16,10235.372060000003,17383.400592550002,24623.901909133376,16963.108287849547,20467.634349980217,22085.099230385247,23822.955987125788,25689.110377849836,27691.94695468978,29840.35661203199,32143.765666118306,31822.328009457124,31504.104729362552,31189.063682068925,30877.173045248237,30568.401314795756,30262.717301647797,29960.09012863132,29660.489227345006,29363.884335071554,29070.245491720838,28779.54303680363,28491.74760643559,28206.830130371236,27924.761829067524,27645.514210776848,27369.059068669078,27095.368477982385,26824.414793202563,26556.170645270537,26290.60893881783,26027.70284942965,25767.425820935354,25509.751562726,25254.65404709874,25002.10750662775,24752.086431561474,24504.56556724586,24259.5199115734,24016.924712457665,23776.755465333088,23538.987910679756,23303.598031572958,23070.562051257228,22839.856430744654,22611.457866437206,22385.343287772834,22161.489854895106,21939.874956346153,21720.476206782692,21503.271444714865,21288.238730267716,21075.35634296504,20864.602779535388,20655.956751740032,20449.39718422263,20244.903212380406,20042.454180256602,19842.029638454034,19643.609342069492
,Interest Expense,,,,,,,,,,,,,,,,,,-4500,-5597.4,-4890.239964447,-3412.805849898997,-2395.019352628024,-1166.9612916292112,158.14466219390349,1587.5220214214507,3128.8686440924407,4790.385461373828,6580.806858095746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Income,,,,,,,,,,,,,,,,,4886.16,5735.372060000003,11786.000592550003,19733.661944686377,13550.30243795055,18072.614997352193,20918.137938756037,23981.10064931969,27276.632399271286,30820.81559878222,34630.74207340582,38724.572524214054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shares,,,,,,,,,,,,,,,,,1114,1762,1762,1762,1762,1762,1762,1762,1762,1762,1762,1762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,,,,,,,,,,,,,,,,,4.386140035906642,3.255035221339389,6.688990120629968,11.199581126382734,7.69029650280962,10.256875707918384,11.871814948215686,13.61015927884205,15.480495118769175,17.491949829047797,19.654223651195128,21.977623453015923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cash,,,,,,,,,,,,,,,,,710,-93290,-81503.99940745,-56880.09749831662,-39916.98921046707,-19449.354860486856,2635.7443698983916,26458.70035702418,52147.810734874016,79839.75768956379,109680.11430159578,141823.87996771408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,QCOM GOALONE,,,,,,,,,,,,,,,,,,8.163864804419893,9.17869665639779,10.27527240586376,11.459101248927777,12.736030364623396,14.112264513047734,15.594386728950973,17.18938017047499,18.904651185935716,20.74805366490695,22.72791474340442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,QCOM MERGE,,,,,,,,,,,,,,,,,,3.255035221339389,6.688990120629968,11.199581126382734,7.69029650280962,10.256875707918384,11.871814948215686,13.61015927884205,15.480495118769175,17.491949829047797,19.654223651195128,21.977623453015923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
