Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
,,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,,,,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0
,WW Subs,,,,,207639,209180,213560,221840,221641,219640,,,,,,,,,,,,,,,,,,,,,,,
,US Subs,,,,,74384,,,,74579,,,,,,,,,,,,,,,,,,,,,,,,
,EMEA,,,,,68508,,,,73733,,,,,,,,,,,,,,,,,,,,,,,,
,Latin America,,,,,37894,,,,39610,,,,,,,,,,,,,,,,,,,,,,,,
,APAC,,,,,26853,,,,33719,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,US Revenue,,,,,,,,,,,,,,,,,4224.315,4295.56,4322.476,4517.018,4617.098,4929.003,5071.781,,,,,,,,,,
,EMEA,,,,,,,,,,,,,,,,,2958.193,3007.772,3133.466,3287.604,3404.676,3538.175,3699.052,,,,,,,,,,
,LATAM,,,,,,,,,,,,,,,,,1165.008,1204.145,1240.892,1229.771,1261.934,1306.735,1370.913,,,,,,,,,,
,APAC,,,,,,,,,,,,,,,,,1022.924,1051.833,1127.869,1212.12,1259.093,1305.253,1368.561,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenues,5767.691,6148.286,6435.637,6644.442,7163.282,7341.777,7483.467,7709.318,7867.767,,,,,,,,9370.439999999999,9559.310000000001,9824.703,10246.512999999999,10542.801,11079.166000000001,11510.307,11783.489949999997,,,,24996.055999999997,29697.844,,,39000.966,44915.76395
,COGS,3599.701,3643.707,3867.751,4165.16,3868.511,4018.008,4206.589,5239.575,4284.705,,,,,,,,4977.073,5174.143,5119.884,5767.364,5263.147,5325.311,6164.25,6009.579874499998,,,,15276.319,17332.683,,,21038.464,22762.287874499998
,Gross Margin,2167.99,2504.579,2567.8859999999995,2479.282,3294.771,3323.7690000000002,3276.8779999999997,2469.7430000000004,3583.062,,,,,,,,4393.366999999998,4385.167000000001,4704.8189999999995,4479.148999999999,5279.6539999999995,5753.855000000001,5346.057000000001,5773.910075499999,,,,,,,,17962.502,22153.476075500002
,Marketing,503.83,434.37,527.597,762.565,512.512,603.973,635.948,792.713,555.978,,,,,,,,654.34,644.084,642.926,976.204,688.37,713.265,786.295,976.204,,,,2228.362,2545.1459999999997,,,2917.554,3164.134
,Tech & Dev,453.817,435.045,453.802,486.936,525.207,537.321,563.887,647.47,657.53,,,,,,,,702.473,711.254,735.063,776.505,822.823,824.683,853.584,776.505,,,,1829.6000000000001,2273.885,,,2925.295,3277.595
,G&A,252.087,277.236,271.624,275.539,297.196,334.845,321.79,397.79,397.928,,,,,,,,404.02,426.992,417.353,453.674,421.462,441.213,457.931,453.674,,,,1076.4859999999999,1351.621,,,1702.039,1774.28
,Operating Expenses,1209.734,1146.6509999999998,1253.0230000000001,1525.04,1334.915,1476.139,1521.625,1837.973,1611.4359999999997,,,,,,,,1760.833,1782.33,1795.342,2206.383,1932.6549999999997,1979.161,2097.81,2206.383,,,,,,,,7544.888,8216.009
,Operating Income,958.2559999999999,1357.9280000000003,1314.8629999999994,954.2420000000002,1959.8560000000002,1847.6300000000003,1755.2529999999997,631.7700000000004,1971.6260000000002,,,,,,,,2632.5339999999983,2602.8370000000014,2909.4769999999994,2272.7659999999996,3346.999,3774.6940000000013,3248.2470000000008,3567.5270754999992,,,,,,,,10417.614000000001,13937.467075500002
,Interest expense ,-184.083,-189.151,-197.079,-197.186,-194.44,-191.322,-190.429,-189.429,-187.579,,,,,,,,-17.954999999999984,-88.981,-206.52300000000002,-138.49800000000002,-133.273,-143.019,-138.83700000000002,-138.83700000000002,,,,-767.4990000000001,-765.62,,,-451.957,-553.966
,Interest,21.697,-133.175,-256.324,-250.639,269.086,-62.519,96.135,108.512,195.645,,,,,,,,,,,,,,,,,,,-618.441,411.214,,,,
,Pretax Income,2005.6039999999996,2182.253,2114.4829999999993,2031.4569999999999,3369.4170000000004,3069.9280000000003,3182.584,2388.8260000000005,3591.1279999999997,,,,,,,,2614.5789999999984,2513.8560000000016,2702.9539999999993,2134.2679999999996,3213.7259999999997,3631.675000000001,3109.4100000000008,3428.6900754999992,,,,8333.796999999999,12010.755000000001,,,9965.657000000001,13383.501075500002
,Taxes,-86.803,-315.406,-71.484,35.739,-327.787,-240.776,-211.888,56.576,-382.245,,,,,,,,282.37,366.55,339.445,265.661,323.375,506.262,562.494,514.3035113249998,,,,-437.954,-723.875,,,1254.026,1906.4345113249997
,Net income,1918.8009999999995,1866.8470000000002,2042.9989999999993,2067.196,3041.6300000000006,2829.1520000000005,2970.696,2445.4020000000005,3208.883,,,,,,,,2332.2089999999985,2147.3060000000014,2363.508999999999,1868.6069999999995,2890.3509999999997,3125.413000000001,2546.9160000000006,2914.3865641749994,,,,7895.842999999999,11286.880000000001,,,8711.631000000001,11477.066564175002
,Basic,1.61,1.63,1.79,1.23,3.85,3.05,3.27,1.37,3.6,,,,,,,,5.280624651876805,4.883137497470094,5.397396197287951,4.268311458109669,6.614650701891697,7.186790470080461,5.867942742472453,6.714573031858887,,,,6.26,11.55,,,19.832098422550633,26.385228689258092
,Diluted,1.57,1.59,1.74,1.19,3.75,2.97,3.19,1.33,3.53,,,,,,,,441.654,439.739,437.898,437.786,436.962,434.883,434.039,434.039,,,,6.08,11.24,,,439.26925000000006,434.98075
