Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
,,Q419,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424
,Ronapreve,,,,,,0,0,42800,34600,60800,0,0,142800,81200,,,,,,,
,Hemlibra,,,,,,17300,34600,39100,64800,54700,58400,57100,72800,58400,,,,,,,
,Actemra,,,,,,26600,31500,37200,50700,35600,48400,27400,61800,41700,,,,,,,
,Avastin,,,,,,18800,20400,20600,21100,16500,17700,16700,16600,13000,,,,,,,
,Tecentriq,,,,,,14100,16400,15500,16100,13400,15000,15500,17100,15100,,,,,,,
,Alecensa,,,,,,12000,22100,24200,19300,11500,16800,19500,21500,23300,,,,,,,
,Other,,,,,,9600,9900,9700,12200,10800,10900,6400,14500,16800,,,,,,,
,Perjeta,,,,,,7400,8200,8100,8500,7400,8200,8000,8700,7500,,,,,,,
,Polivy,,,,,,0,900,2600,3300,2700,2900,3500,6400,7200,,,,,,,
,Kadcyla,,,,,,3200,4000,4100,4400,4100,4800,4700,4500,3800,,,,,,,
,Herceptin,,,,,,2600,2600,2300,2300,1800,1900,1700,1700,1300,,,,,,,
,Gazyva,,,,,,1000,1100,1100,1200,1000,1100,1000,1000,800,,,,,,,
,Rituxan,,,,,,1200,1200,1200,1500,1000,1200,1100,1100,900,,,,,,,
,Foundation Medicine,,,,,,1000,1200,1300,1600,1600,1700,1900,1800,1900,,,,,,,
,Enspryng,,,,,,1400,3100,2900,3800,4500,4400,4700,6000,5400,,,,,,,
,Edirol,,,,,,2900,4700,9900,4900,3300,2700,2500,2600,1800,,,,,,,
,Mircera,,,,,,3400,3600,3700,3700,2600,2800,2700,2800,2000,,,,,,,
,Evrysdi,,,,,,0,0,400,1900,2100,2800,3100,3500,3000,,,,,,,
,CellCept,,,,,,2000,2200,2000,2200,1800,2000,2000,2100,1600,,,,,,,
,Bonviva,,,,,,2000,2100,2000,2100,1700,1800,1700,,,,,,,,,
,Oxarol,,,,,,1400,1500,1600,1600,1400,1400,1400,,,,,,,,,
,Vabysmo,,,,,,0,0,0,0,0,900,2300,3200,3000,,,,,,,
,Neutrogin,,,,,,2200,2500,2100,2300,2400,2200,2200,2000,1900,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Sales,,,,,,130265,173885,,,242716,210095,187100,394500,291600,,,,,,,
,Royalties,,,,,,38553,47526,52700,58100,25924,25516,33400,,,,,,,,,
,Other,,,,,,0,0,,,91915,0,,43900,20700,,,,,,,
,Revenue,,,,,,168818,221411,287300,322300,360555,235611,220500,438400,312300,267357,0,0,,552860,,
,COGS,,,,,,55338,68059,,,114424,79823,69100,,,,,,,,,
,Gross Profit,,,,,,113480,153352,,,246131,155788,151400,,,,,,,,,
,M&D,,,,,,15874,17914,,,16790,18496,18800,,,,,,,,,
,R&D,,,,,,29727,33562,,,33866,33819,36700,,,,,,,,,
,G&A,,,,,,3912,5164,,,8467,3534,3800,,,,,,,,,
,Operating Expenses,,,,,,49513,56640,,,59123,55849,59300,,,,,,,,,
,Operating Income,,,,,,63967,96712,,,187008,99939,92100,,,,,,,,,
,Interest,,,,,,273,305,,,-801,773,,,,,,,,,,
,Pretax Income,,,,,,64240,97017,,,186207,100712,92100,,,,,,,,,
,Taxes,,,,,,16830,26289,,,54431,28334,,,,,,,,,,
,Net Income,,,,,,47410,70728,,,131776,72378,92100,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Cash,,,,,,,,,,434207,594550,,,,,,,,815658,,
,OCA,,,,,,,,,,43049,46919,,,,,,,,44426,,
,Tax,,,,,,,,,,64925,63445,,,,,,,,66344,,
,AR,,,,,,,,,,390567,268484,,,,,,,,349656,,
,Inventories,,,,,,,,,,225480,218465,,,,,,,,265704,,
,PP&E,,,,,,,,,,348368,354787,,,,,,,,420292,,
,ONCA,,,,,,,,,,39700,40656,,,,,,,,59797,,
,Pension,,,,,,,,,,993,654,,,,,,,,7995,,
,Intangibles,,,,,,,,,,24897,25520,,,,,,,,20350,,
,ROU,,,,,,,,,,12763,12123,,,,,,,,9941,,
,Assets,,,,,,,,,,1584949,1625603,0,0,0,0,0,0,0,2060163,,
,,,,,,,,,,,,,,,,,,,,,,
,OCL,,,,,,,,,,104205,117485,,,,,,,,136084,,
,AP,,,,,,,,,,153074,93258,,,,,,,,78954,,
,Provisions,,,,,,,,,,6641,12905,,,,,,,,10215,,
,Tax,,,,,,,,,,67513,82315,,,,,,,,72689,,
,ONCL,,,,,,,,,,10088,9247,,,,,,,,6582,,
,Pension,,,,,,,,,,2916,3054,,,,,,,,3949,,
,SE,,,,,,,,,,1240510,1307340,,,,,,,,1751691,,
,L+SE,,,,,,,,,,1584947,1625604,,,,,,,,2060164,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Headcount,,,,,7555,7490,7679,7674,7664,7642,7791,7797,,,,,,,,,
