Drugs,Unnamed: 1,Unnamed: 2
,Brand,"Aduhelm, fka BIIB037"
,Generic,aducanumab
,MOA,"IgG1 mab for aggregated AB, soluble oligomers, insoluble fibrils, but not monomers"
,,N-terminus epitope
,Economics,"BIIB, 4523, Neurimmune"
,,https://www.nature.com/articles/s41582-019-0295-9
