Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,Price,12.0,
,,,,,,,,,,,,Shares,192.0,Q125
,,,,,,,,,,,,MC,2304.0,
,,,,,,,,,,,,Cash,396.673,Q125
,,,,,,,,,,,,Debt,2734.8529999999996,Q125
,,,,,,,,,,,,EV,4642.179999999999,
