Main,Unnamed: 1,Unnamed: 2
,Brand,PF-06863135
,Generic,elranatamab
,Indication,Multiple Myeloma
,MOA,BCMA/CD3 mab
,Clinical Trials,
,,"Phase II ""MagnetisMM-3"""
,,60.6% ORR
