Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
£ millions,1Q04A,2Q04A,3Q04A,4Q04A,1Q05A,2Q05A,3Q05A,4Q05A,1Q06A,2Q06E,3Q06E,4Q06E,,2003,2004,2005,2006,2007.0,2008.0,2009.0,2010.0,2011.0
- USA,148,146,117,108,50,30,21,32,53,50,52.5,54.5,,1179,519,133,210,224.7,240.42900000000003,257.25903000000005,275.26716210000006,294.5358634470001
- Europe,71,67,58,55,52,46,49,40,41,40,38,36,,369,251,187,155,147.25,139.8875,132.893125,126.24846874999996,119.93604531249996
- RoW,72,71,71,79,61,76,72,86,67,70,70,73,,329,293,295,280,252.0,226.8,204.12,183.708,165.3372
