Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92
,,Q110,Q210,Q310,Q410,Q111,Q211,Q311,Q411,,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Myelofibrosis US Prevalence,,,,,27000,27000,27000,27000,,27000.0,27000.0,27000.0,27000.0,27810.0,28644.3,29503.629,30388.73787,31300.4000061,32239.412006283,33206.594366471494,34202.79219746564,35228.87596338961,36285.7422422913,37374.31450956004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diagnosed and Treatment-Eligible,,,,,18900,18900,18900,18900,,18900.0,18900.0,18900.0,18900.0,19467.0,20051.01,20652.5403,21272.116509,21910.28000427,22567.5884043981,23244.616056530045,23941.95453822595,24660.213174372726,25400.019569603908,26162.020156692026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Penetration,,,,,0.005,0.02,0.04,0.06,,0.0,0.0,0.0,0.0875,0.2,0.25,0.3,0.35,0.4,0.45,0.1,0.05,0.05,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# pts,,,,,94.5,378,756,1134,,0.0,0.0,0.0,2362.5,5562.0,7161.075,8851.0887,10636.0582545,12520.160002440001,14507.735402827351,3320.6594366471495,1710.139609873282,1761.4437981694807,1814.2871121145652,1868.7157254780022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,424 Price,,,,,100,100,100,100,,100.0,100.0,100.0,100.0,105.0,110.25,115.7625,121.55062500000001,127.62815625000002,134.00956406250003,134.00956406250003,134.00956406250003,134.00956406250003,134.00956406250003,134.00956406250003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,424 Revs,,,,,9.45,37.8,75.6,113.4,,0.0,0.0,0.0,236.25,584.01,789.5085187499999,1024.62415563375,1292.8195283708842,1597.924937066413,1944.1752968669916,445.00012350511145,229.1750636051324,236.0503155132864,243.13182497868502,250.42577972804557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Myelofibrosis ex-US Prevalence,,,,,27000,27000,27000,27000,,27000.0,27000.0,27000.0,27000.0,27540.0,28090.8,28652.615999999998,29225.668319999997,29810.1816864,30406.385320128,31014.51302653056,31634.80328706117,32267.499352802395,32912.84933985845,33571.106326655616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diagnosed and Treatment-Eligible,,,,,13500,13500,13500,13500,,13500.0,13500.0,13500.0,13500.0,13905.0,14322.15,14751.8145,15194.368935,15650.20000305,16119.7060031415,16603.297183235747,17101.39609873282,17614.437981694806,18142.87112114565,18687.15725478002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Penetration,,,,,0,0,0,0,,0.0,0.0,0.0,0.0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
