Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,Impella - catheter-based LVAD - acquired Abiomed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,designed for temporary usage vs. LVADs which are designed for permanent implantation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SmartAssist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Biosense Webster - CARTO 3 magnetic navigation/mapping for catheters in electrophysiology (arrythmias, AF ablation). CARTO EXPRESS.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  Irrigated Catheter platform - ThermoCool Catheter technology. Contact force catheter allows physicians to see pressure amounts.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ThermoCool SmartTouch SF Catheter - dual energy between RF and pulsed energy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  OCTARAY Mapping Catheter with TRUEref technology (CARTO 3 Version 7 System),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRUPulse Generator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Nevo sirolimus-eluting stent: RES technology allows for a number of reservoirs for polymer and drug. Submit Q1 2010 for CE Mark. Thin strut CoCr stent scaffold. Superior to TAXUS Liberte. NEVO2 versus Xience data will be available in 2011, 2012 PMA submission.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Cypher, Cypher Select Plus, Cypher Stent 225: Shelf life has hurt.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Endovascular - ""STROLL"" Study enrollment completed in Q1 2010, indication in 2011. PTA Balloon portfolio (014 and 035 balloons).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AAA device.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Exoseal - vascular closure device area, submission in Q1 2010 for CE Mark and FDA, extravascular bio-reabsorbable product. Launched in US 5/27/2010.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2002,2003.0,2004.0,2005.0,2006,2007.0,2008.0,2009.0,2010.0,,,,,,,,,,,,,,,,,,,,
,EU Coronary Stents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EU Cordis ex Coronary Stents,344.5,524.0,654.2,,,,,,,,,,,,,,,,,,,,,,,,,,
,EU Total Cordis,155,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,WW Coronary Stents,,,,2602.0,2905,2599.0,1864.0,1420.0,1283.0,,,,,,,,,,,,,,,,,,,,
,WW Cordis ex Coronary Stents,738.8,1120.0,1301.3000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,
,WW Total,,,,,,,,2700.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PTCA procedures,,,,,=*1.03,,,,,,,,,,,,,,,,,,,,,,,,
,Pricing,,,,,=*.97,,,,,,,,,,,,,,,,,,,,,,,,
,DES ASP,,,,2351.0,2245,2151.0,1875.0,1719.0,1619.0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000 - JNJ wins damages against BSX and MDT for $324m and $271m and wins retrials but still faces appeal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ding patent - held by BSX - upheld twice - covers the use of polymer/drug combination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Palmaz-Schatz, Gray - JNJ wins in May 2006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jang - BSX wins in May 2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JNJ looking to prevent the launch of Taxus Liberte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BSX liability to JNJ 500m-1B as a result of Palmaz (expired 11/2005),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/12/2006: Largest Independent US DES Registry Shows Excellent Outcomes for TAXUS Stent System in Diabetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Analysis on data on diabetic patients revealed numerically favorable outcomes for TAXUS Express compared to Cypher in reducing MACE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Follow-up on 5,566 at 8 coronary centers, including 1,680 diabetics.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TAXUS patients had more complex lesions but 6.8% MACE vs 7.1% for Cypher. Death 1.9% vs 3.4% for Cypher p=NS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q106: 14.7% operational growth driven by CYPHER worldwide. Biosense Webster also had double-digit growth.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/28/06 Signs agreement with ClearStream to distribute PTCA balloon catheter CRESCENDO.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MDT - Endeavor delivery weak - lack of a Rapid Exchange system. Positive clinical data - EU before US. Zero incidence of LST while Cypher has 0.6% and Taxus 0.7%.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ABT/GDT will market both Xience and Zomaxx? Different stents and different coating. Bear says 28% share by 2010. Xience little better than Zomaxx? Unclear.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DES pricing has been firm in 2006 according to JNJ and BSX - 7/1/06 - BSX mgmt comments DES pricing/penetration and share little changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cypher Select Plus - hydrophilic coating - 3rd-gen product - launch in EU in September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  Competition includes Xience V and Endeavor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"9/26/2006 - Cordis Endovascular receives approval to market PRECISE Nitinol Stent and ANGIOGUARD Emboli Capture Guidewire to treat clogged neck arteries, (carotid artery disease)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/2007 - CoSTAR stent fails.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q208: Xience to launch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POTECT - n=8800 ENDEAVOR vs CYPHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1995,1996,1997.0,1998.0,1999.0,2000,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,,,,,,,,,,,,,,,
Cordis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Stents - Coronary,450,700,600.0,207.0,201.0,240,444.0,610.0,,,,,2680.853686494346,1750.9916706694423,1618.0,,0.5555555555555556,-0.14285714285714285,-0.655,-0.028985507246376812,0.19402985074626866,0.85,0.3738738738738739,,,,,,-0.34685295229254015,-0.07595220062845685
    U.S.,255,510,460.0,102.0,79.0,140,314.0,370.0,,,,1494.3634471151063,1705.8536864943464,930.9916706694423,818.0,,1.0,-0.09803921568627451,-0.7782608695652173,-0.22549019607843138,0.7721518987341772,1.2428571428571429,0.17834394904458598,,,,,0.14152530282209835,-0.45423709076556384,-0.12136700491444152
    International,195,190,140.0,105.0,122.0,100,130.0,240.0,370.0,694.0,,,975.0,820.0,800.0,,-0.02564102564102564,-0.2631578947368421,-0.25,0.1619047619047619,-0.18032786885245902,0.3,0.8461538461538461,0.5416666666666666,0.8756756756756757,,,,-0.15897435897435896,-0.024390243902439025
  Stents - Peripheral,85,110,131.0,139.0,180.0,232,300.0,383.0,465.0,548.0,632.0,790.0,915.0,1055.0,1175.0,,0.29411764705882354,0.19090909090909092,0.061068702290076333,0.2949640287769784,0.28888888888888886,0.29310344827586204,0.27666666666666667,0.21409921671018275,0.17849462365591398,0.15328467153284672,0.25,0.15822784810126583,0.15300546448087432,0.11374407582938388
    U.S.,50,70,86.0,89.0,100.0,132,175.0,223.0,265.0,310.0,357.0,470.0,545.0,625.0,675.0,,0.4,0.22857142857142856,0.03488372093023256,0.12359550561797752,0.32,0.32575757575757575,0.2742857142857143,0.18834080717488788,0.16981132075471697,0.15161290322580645,0.3165266106442577,0.1595744680851064,0.14678899082568808,0.08
    International,35,40,45.0,50.0,80.0,100,125.0,160.0,200.0,238.0,275.0,320.0,370.0,430.0,500.0,,0.14285714285714285,0.125,0.1111111111111111,0.6,0.25,0.25,0.28,0.25,0.19,0.15546218487394958,0.16363636363636364,0.15625,0.16216216216216217,0.16279069767441862
"  PTCA, Angiography",0,562,609.0,553.0,533.0,549,536.0,559.0,580.0,601.0,635.0,692.0,737.24,774.9744000000001,814.372864,,,0.08362989323843416,-0.09195402298850575,-0.03616636528028933,0.0300187617260788,-0.023679417122040074,0.04291044776119403,0.03756708407871199,0.03620689655172414,0.056572379367720464,0.08976377952755905,0.06537572254335261,0.05118333242905981,0.050838407049316706
    U.S.,,272,286.0,250.0,227.0,248,243.0,259.0,249.0,244.0,235.0,260.0,275.0,285.0,295.0,,,0.051470588235294115,-0.1258741258741259,-0.092,0.09251101321585903,-0.020161290322580645,0.06584362139917696,-0.03861003861003861,-0.020080321285140562,-0.036885245901639344,0.10638297872340426,0.057692307692307696,0.03636363636363636,0.03508771929824561
    International,,290,323.0,303.0,306.0,301,293.0,300.0,331.0,357.0,400.0,432.0,462.24,489.97440000000006,519.372864,,,0.11379310344827587,-0.06191950464396285,0.009900990099009901,-0.016339869281045753,-0.026578073089700997,0.023890784982935155,0.10333333333333333,0.07854984894259819,0.12044817927170869,0.08,0.07,0.06,0.06
" Biosense (Noga, DMR)",,,,7.6,21.3,34.5,63.9,88.668,115.9866,139.18392,162.937008,187.37755919999998,215.48419307999995,247.80682204199994,284.97784534829987,,,,,1.8026315789473686,0.6197183098591549,0.8521739130434782,0.38760563380281704,0.3080998781973202,0.20000000000000004,0.1706597141393919,0.14999999999999994,0.14999999999999988,0.14999999999999994,0.14999999999999974
    U.S.,,,,2.6,11.0,20.5,41.4,56.718,68.0616,81.67392,93.92500799999999,108.01375919999998,124.21582307999996,142.84819654199995,164.27542602329993,,,,,3.230769230769231,0.8636363636363636,1.0195121951219512,0.37,0.2,0.2,0.15,0.15,0.15,0.15,0.15
    International,,,,5.0,10.3,14,22.5,31.95,47.925,57.51,69.012,79.3638,91.26836999999999,104.95862549999998,120.70241932499997,,,,,1.06,0.3592233009708737,0.6071428571428571,0.42,0.5,0.2,0.2,0.15,0.15,0.15,0.15
Total Cordis,535,1372,1340.0,906.6,935.3,1055.5,1343.9,1640.6680000000001,,,,,4548.577879574346,3828.772892711442,3892.3507093483,,1.5644859813084113,-0.023323615160349854,-0.3234328358208955,0.03165673946613714,0.12851491500053464,0.2732354334438655,0.2208259543120768,,,,,,-0.1582483593597969,0.016605272346627353
    U.S.,305,852,832.0,443.6,417.0,540.5,773.4,908.718,,,,2332.3772063151064,2650.0695095743463,1983.8398672114422,1952.2754260233,,1.7934426229508196,-0.023474178403755867,-0.46682692307692303,-0.059963931469792654,0.2961630695443645,0.4308973172987974,0.17496508921644685,,,,,0.1362096587117476,-0.2514008179619084,-0.01591078075898852
    International,230,520,508.0,463.0,518.3,515,570.5,731.95,948.925,1346.51,,,1898.50837,1844.9330255,1940.0752833249999,,1.2608695652173914,-0.023076923076923078,-0.08858267716535433,0.11943844492440595,-0.006366968936909039,0.10776699029126213,0.28299737072743214,0.29643418266275007,0.4189846405142662,,,,-0.02821970413541028,0.05156949141783353
